Date, Close/Last, Volume, Open, High, Low
2020-04-21,19.33, 82076,19.13,20.22,18.32
2020-04-20,25.57, 44255,25.47,26.54,25.38
2020-04-17,28.08, 34615,28.47,29.0,27.6
2020-04-16,27.82, 29580,28.06,29.01,27.2
2020-04-15,27.69, 29940,30.01,30.42,27.17
2020-04-14,29.6, 29849,32.09,32.38,29.4
2020-04-13,31.74, 26185,32.44,33.23,30.64
2020-04-09,31.48, 46392,33.66,36.43,31.24
2020-04-08,32.84, 36253,32.41,33.78,32.73
2020-04-07,31.87, 34982,33.31,34.18,31.73
2020-04-06,33.05, 35676,31.25,33.32,33.02
2020-04-03,34.11, 54728,29.96,35.0,28.28
2020-04-02,29.94, 63068,30.65,32.21,28.03
2020-04-01,24.74, 41906,25.93,26.27,24.54
2020-03-31,26.35, 40333,26.46,27.91,25.7
2020-03-30,22.76, 5745,24.0,23.06,21.69
2020-03-27,24.93, 21201,26.71,27.0,24.17
2020-03-26,26.34, 24090,27.59,27.67,26.04
2020-03-25,27.39, 24748,27.6,28.28,25.73
2020-03-24,27.15, 27959,27.64,28.64,26.69
2020-03-23,27.03, 30457,26.5,27.52,24.68
2020-03-20,26.98, 51408,28.0,30.93,26.79
2020-03-19,28.47, 41004,26.44,29.38,24.98
2020-03-18,24.88, 46551,28.66,29.19,24.51
2020-03-17,28.73, 32080,29.7,31.22,28.46
2020-03-16,30.05, 42843,29.57,31.27,29.47
2020-03-13,33.85, 49603,32.86,35.99,32.17
2020-03-12,33.22, 66611,36.13,36.53,32.48
2020-03-11,35.79, 59919,37.8,36.1,35.49
2020-03-10,37.22, 66431,33.46,38.21,33.44
2020-03-09,34.36, 75418,39.24,39.24,31.25
2020-03-06,45.27, 68455,50.12,49.68,45.16
2020-03-05,49.99, 38582,51.96,52.01,49.7
2020-03-04,51.13, 39131,51.73,53.03,51.04
2020-03-03,51.86, 41465,52.98,53.87,51.24
2020-03-02,51.9, 46064,49.04,52.78,48.38
2020-02-28,50.52, 1149,51.37,51.49,50.12
2020-02-27,52.18, 7441,52.79,53.12,51.05
2020-02-26,53.43, 25129,55.08,53.44,53.34
2020-02-25,54.95, 25874,55.14,55.18,54.61
2020-02-24,56.3, 26796,58.02,56.36,56.0
2020-02-21,58.5, 35606,59.16,59.27,57.74
2020-02-20,59.31, 32650,59.34,60.02,58.9
2020-02-19,59.12, 35452,57.7,59.41,57.54
2020-02-18,57.75, 46485,57.54,57.82,56.29
2020-02-14,57.32, 40762,56.4,57.53,56.16
2020-02-13,56.34, 48127,56.34,56.83,54.97
2020-02-12,55.79, 42664,54.18,56.3,54.18
2020-02-11,54.01, 35703,53.35,54.66,53.35
2020-02-10,53.27, 35455,54.24,54.7,53.11
2020-02-07,54.47, 43021,55.36,55.47,54.21
2020-02-06,54.93, 49497,55.57,56.56,54.24
2020-02-05,55.28, 54972,53.88,56.47,53.88
2020-02-04,53.96, 51878,54.15,55.64,53.69
2020-02-03,54.45, 65537,55.85,56.76,54.07
2020-01-31,58.16, 573,59.07,59.53,57.98
2020-01-30,58.29, 9426,59.61,59.61,57.73
2020-01-29,59.81, 19776,59.67,60.61,59.25
2020-01-28,59.51, 39174,58.95,60.11,58.5
2020-01-27,59.32, 37086,60.28,60.49,58.5
2020-01-24,60.69, 32842,60.73,60.86,60.62
2020-01-23,62.04, 40984,62.63,62.78,61.25
2020-01-22,63.21, 34046,63.17,63.47,62.53
2020-01-21,64.59, 49011,65.3,66.0,64.06
2020-01-17,64.85, 34060,64.75,65.14,64.49
2020-01-16,64.62, 36606,64.31,64.96,63.92
2020-01-15,64.0, 33681,64.46,64.61,63.55
2020-01-14,64.49, 34006,64.22,65.04,63.91
2020-01-13,64.2, 34898,65.18,65.25,63.92
2020-01-10,64.98, 45308,65.41,65.66,64.86
2020-01-09,65.37, 49531,65.79,66.09,64.55
2020-01-08,65.44, 83539,68.47,66.31,65.68
2020-01-07,68.27, 40677,68.58,68.74,67.65
2020-01-06,68.91, 51077,69.07,70.72,68.19
2020-01-03,68.6, 76623,66.29,69.48,66.22
2020-01-02,66.25, 25300,66.47,66.57,65.73
2019-12-31,66.0, 30166,66.68,66.92,65.64
2019-12-30,68.44, 2269,68.21,68.91,68.18
2019-12-27,68.16, 6667,67.92,68.29,67.58
2019-12-26,67.92, 10101,67.37,67.95,67.19
2019-12-24,67.2, 16842,66.51,67.25,66.37
2019-12-23,66.39, 19990,66.21,66.6,65.81
2019-12-20,66.14, 31172,66.52,66.71,65.73
2019-12-19,66.54, 27484,66.12,66.78,66.04
2019-12-18,66.17, 30914,65.83,66.42,65.57
2019-12-17,66.1, 33438,65.37,66.23,65.12
2019-12-16,65.34, 30341,64.98,65.65,64.88
2019-12-13,65.22, 33913,64.41,65.78,64.39
2019-12-12,64.2, 32566,63.89,64.57,64.3
2019-12-11,63.72, 30836,64.16,63.9,63.79
2019-12-10,64.34, 30819,64.0,64.68,63.77
2019-12-09,64.25, 30310,64.4,64.5,63.61
2019-12-06,64.39, 41683,63.29,64.86,62.83
2019-12-05,63.39, 37069,63.05,63.9,62.75
2019-12-04,63.0, 40515,61.16,63.53,60.99
2019-12-03,60.82, 31827,60.91,61.59,60.3
2019-12-02,60.92, 37632,60.8,62.08,60.5
2019-11-29,62.43, 2968,63.87,64.04,62.4
2019-11-27,64.06, 12361,64.14,64.6,63.53
2019-11-26,64.27, 19406,63.51,64.31,63.45
2019-11-25,63.65, 24092,63.46,63.79,62.96
2019-11-22,63.39, 30521,63.67,64.3,62.99
2019-11-21,63.97, 32667,62.44,64.03,61.93
2019-11-20,62.4, 37744,60.74,62.8,60.3
2019-11-19,60.91, 30852,62.33,62.55,60.63
2019-11-18,62.44, 27766,63.3,63.58,61.94
2019-11-15,63.3, 30329,63.41,63.5,63.24
2019-11-14,62.28, 26971,62.55,63.2,62.14
2019-11-13,62.37, 32610,61.97,62.71,62.43
2019-11-12,62.06, 29716,62.17,62.85,61.8
2019-11-11,62.18, 22835,62.51,62.75,61.58
2019-11-08,62.51, 1,62.51,62.51,62.51
2019-11-07,62.29, 31721,61.78,62.36,62.06
2019-11-06,61.74, 34345,61.78,61.98,61.68
2019-11-05,62.96, 26787,62.06,63.17,61.9
2019-11-04,62.13, 28320,62.0,62.78,61.29
2019-11-01,61.69, 27821,59.55,61.81,59.4
2019-10-31,60.23, 911,60.69,61.03,60.07
2019-10-30,60.61, 8203,61.31,61.91,60.47
2019-10-29,61.59, 14804,61.65,61.98,60.67
2019-10-28,61.57, 22277,61.99,62.34,61.2
2019-10-25,62.02, 28529,61.52,62.08,61.93
2019-10-24,61.67, 31927,61.09,61.91,60.66
2019-10-23,61.17, 35245,59.63,61.3,58.85
2019-10-22,59.7, 32762,59.05,60.26,58.77
2019-10-21,58.96, 33900,59.36,59.54,58.26
2019-10-18,59.42, 32258,59.88,60.27,59.0
2019-10-17,59.91, 43888,59.1,60.03,58.64
2019-10-16,59.42, 41204,58.76,59.73,58.35
2019-10-15,58.74, 48761,59.29,59.68,58.0
2019-10-14,59.35, 37789,60.56,60.75,58.51
2019-10-11,60.51, 50840,59.58,60.69,59.21
2019-10-10,59.1, 35156,58.39,59.53,57.11
2019-10-09,58.32, 35380,58.24,58.36,58.19
2019-10-08,58.24, 37987,58.47,58.93,57.37
2019-10-07,58.35, 28243,58.28,58.58,58.22
2019-10-04,58.37, 41166,57.6,58.95,57.6
2019-10-03,57.71, 46326,57.5,57.99,56.15
2019-10-02,57.69, 39598,59.22,59.49,57.23
2019-10-01,58.89, 39983,59.53,60.09,58.41
2019-09-30,60.78, 801,61.88,62.08,60.77
2019-09-27,61.91, 6930,62.53,62.72,60.77
2019-09-26,62.74, 10186,62.58,62.92,61.46
2019-09-25,62.39, 22920,62.43,62.81,61.22
2019-09-24,63.1, 26817,64.48,64.53,62.35
2019-09-23,64.77, 22643,65.32,65.32,63.54
2019-09-20,64.28, 21494,64.98,65.27,64.05
2019-09-19,64.4, 35586,63.65,65.57,63.47
2019-09-18,63.6, 36559,64.25,63.69,63.45
2019-09-17,64.55, 86039,66.76,66.78,63.56
2019-09-16,69.02, 67806,68.57,69.67,67.58
2019-09-13,60.22, 25712,60.41,60.8,59.6
2019-09-12,60.38, 44041,61.03,61.39,58.91
2019-09-11,60.81, 36364,62.68,63.25,60.52
2019-09-10,62.38, 31529,62.74,63.77,62.17
2019-09-09,62.59, 30493,61.54,62.99,61.54
2019-09-06,61.54, 35099,60.81,61.88,59.41
2019-09-05,60.95, 36766,60.51,62.39,60.25
2019-09-04,60.7, 35248,58.24,60.96,58.09
2019-09-03,58.26, 48849,58.68,59.22,57.22
2019-08-30,60.37, 549,61.03,61.14,60.3
2019-08-29,61.08, 5720,60.49,61.18,60.01
2019-08-28,60.49, 15019,60.14,61.05,59.82
2019-08-27,59.51, 27976,58.71,60.14,58.51
2019-08-26,58.7, 24570,58.4,60.17,58.27
2019-08-23,59.34, 40095,60.04,60.28,58.32
2019-08-22,59.92, 31426,60.42,60.89,59.47
2019-08-21,60.3, 31355,60.06,61.41,60.05
2019-08-20,60.03, 29269,59.74,60.32,58.96
2019-08-19,59.74, 29626,58.63,59.92,58.59
2019-08-16,58.64, 24508,58.42,59.5,58.29
2019-08-15,58.23, 44032,59.05,59.42,57.69
2019-08-14,59.48, 42291,60.98,61.08,58.23
2019-08-13,61.3, 44444,58.4,61.5,57.98
2019-08-12,58.57, 29973,58.36,58.87,57.88
2019-08-09,58.53, 32688,57.65,59.1,57.12
2019-08-08,57.38, 36552,57.37,58.01,56.77
2019-08-07,56.23, 51688,58.56,59.19,55.88
2019-08-06,58.94, 33052,60.0,60.54,58.57
2019-08-05,59.81, 45081,61.55,61.55,59.67
2019-08-02,61.89, 45978,61.1,62.93,60.89
2019-08-01,60.5, 59354,64.29,64.52,60.03
2019-07-31,65.17, 593,64.61,65.36,64.54
2019-07-30,64.72, 7963,63.85,65.04,63.85
2019-07-29,63.71, 12484,63.12,63.91,62.91
2019-07-26,63.46, 25420,63.24,63.96,63.02
2019-07-25,63.39, 26183,63.15,64.23,63.03
2019-07-24,63.18, 40154,64.24,64.66,62.59
2019-07-23,63.83, 30227,63.29,64.45,62.66
2019-07-22,63.26, 32971,62.91,64.02,62.77
2019-07-19,62.47, 35595,62.58,63.34,61.84
2019-07-18,61.93, 48107,63.63,64.46,61.29
2019-07-17,63.66, 33378,64.33,65.28,63.23
2019-07-16,64.35, 40089,66.13,67.08,63.85
2019-07-15,66.48, 34524,66.65,67.46,66.07
2019-07-12,66.72, 31142,66.78,67.27,66.51
2019-07-11,66.52, 36938,66.72,67.64,66.44
2019-07-10,67.01, 40176,64.49,67.13,64.49
2019-07-09,64.16, 27987,63.92,65.02,63.74
2019-07-08,64.11, 28359,64.37,65.13,63.8
2019-07-05,64.23, 33351,63.28,64.52,62.91
2019-07-03,63.82, 10182,63.88,64.06,62.95
2019-07-02,62.4, 46602,65.19,65.5,62.23
2019-07-01,65.06, 40858,65.28,66.74,64.22
2019-06-28,64.74, 1798,66.65,66.78,66.06
2019-06-27,66.55, 8906,66.09,66.79,65.65
