Date, Close/Last, Volume, Open, High, Low
2020-04-21,9.06,12250,11.35,13.86,8.91
2020-04-20,-37.63,148427,-37.25,-35.2,-40.32
2020-04-17,18.27,213600,20.0,20.22,17.31
2020-04-16,19.75,319273,20.15,20.53,19.42
2020-04-15,19.87,504320,20.72,20.89,19.2
2020-04-14,20.11,668308,22.36,23.08,19.95
2020-04-13,22.41,676148,23.67,24.57,22.03
2020-04-09,22.76,999324,26.28,28.36,22.57
2020-04-08,25.09,690628,25.78,26.39,24.87
2020-04-07,23.63,686575,26.34,27.24,23.54
2020-04-06,26.08,713558,25.95,28.24,25.63
2020-04-03,28.34,947533,24.81,29.13,23.52
2020-04-02,25.32,1041769,25.87,27.13,23.34
2020-04-01,20.31,663543,20.1,21.55,19.9
2020-03-31,20.48,604605,20.23,21.89,20.01
2020-03-30,20.09,695356,20.93,20.86,19.27
2020-03-27,21.51,551742,23.29,23.44,20.88
2020-03-26,22.6,594194,24.25,24.65,22.38
2020-03-25,24.49,594780,24.37,25.24,22.91
2020-03-24,24.01,633894,23.87,25.16,23.09
2020-03-23,23.36,801593,22.19,24.07,20.8
2020-03-20,22.43,18012,24.73,27.89,19.46
2020-03-19,25.22,78126,22.3,27.71,21.36
2020-03-18,20.37,286707,26.94,27.22,20.06
2020-03-17,26.95,521494,28.69,30.3,26.63
2020-03-16,28.7,663525,28.23,30.42,28.22
2020-03-13,31.73,715399,30.77,33.87,30.33
2020-03-12,31.5,963502,33.07,33.63,30.02
2020-03-11,32.98,824665,34.62,36.35,32.56
2020-03-10,34.36,997569,30.37,35.02,30.2
2020-03-09,31.13,1693652,32.87,34.88,27.34
2020-03-06,41.28,1204734,46.09,46.38,41.05
2020-03-05,45.9,683404,47.45,47.54,45.65
2020-03-04,46.78,724225,46.94,48.41,46.65
2020-03-03,47.18,985670,47.72,48.66,46.47
2020-03-02,46.75,918575,43.7,47.56,43.32
2020-02-28,44.76,1059301,46.49,47.03,43.85
2020-02-27,47.09,980446,46.97,46.99,46.17
2020-02-26,48.73,863928,48.71,48.74,48.59
2020-02-25,49.9,746438,50.14,50.17,49.69
2020-02-24,51.43,739360,51.44,51.46,51.17
2020-02-21,53.38,690203,53.74,53.86,52.55
2020-02-20,53.78,18321,53.5,54.5,53.22
2020-02-19,53.29,78294,52.12,53.66,51.93
2020-02-18,52.12,200409,52.1,52.41,50.88
2020-02-14,52.05,571940,51.51,52.34,51.32
2020-02-13,51.42,694375,51.72,51.96,50.6
2020-02-12,51.17,734341,49.96,51.73,49.95
2020-02-11,49.94,671000,49.61,50.69,49.58
2020-02-10,49.57,663623,50.12,50.49,49.42
2020-02-07,50.32,705408,51.11,51.48,50.09
2020-02-06,50.95,715101,51.17,52.2,50.24
2020-02-05,50.75,849264,49.51,51.88,49.47
2020-02-04,49.61,825721,49.94,51.55,49.31
2020-02-03,50.11,839671,51.01,51.97,49.8
2020-01-31,51.56,790646,52.92,53.36,50.97
2020-01-30,52.14,686601,53.09,53.2,51.66
2020-01-29,53.33,603478,53.97,54.37,52.81
2020-01-28,53.48,609189,52.77,54.06,52.68
2020-01-27,53.14,685508,53.7,53.71,52.13
2020-01-24,54.19,558150,54.25,54.42,54.15
2020-01-23,55.59,670777,56.11,56.27,54.77
2020-01-22,56.74,598300,56.88,57.1,56.03
2020-01-21,58.34,36251,58.8,59.73,57.68
2020-01-17,58.54,90539,58.59,58.98,58.27
2020-01-16,58.52,170200,58.1,58.87,57.56
2020-01-15,57.81,412514,58.2,58.36,57.36
2020-01-14,58.23,471167,58.03,58.72,57.72
2020-01-13,58.08,549744,59.04,59.27,57.91
2020-01-10,59.04,553817,59.61,59.78,58.85
2020-01-09,59.56,712658,59.99,60.31,58.66
2020-01-08,59.61,1157077,59.91,60.46,59.84
2020-01-07,62.7,556048,62.91,63.15,62.11
2020-01-06,63.27,705242,63.71,64.72,62.64
2020-01-03,63.05,852975,61.18,64.09,61.13
2020-01-02,61.18,471119,61.6,61.6,60.64
2019-12-31,61.06,474053,61.68,61.88,60.63
2019-12-30,61.68,406253,61.71,62.34,61.09
2019-12-27,61.72,333129,61.73,61.97,61.24
2019-12-26,61.68,253345,61.2,61.83,61.06
2019-12-24,61.11,190859,60.63,61.16,60.47
2019-12-23,60.52,301631,60.41,60.77,60.1
2019-12-20,60.44,534878,61.11,61.2,60.02
2019-12-19,61.18,417022,60.81,61.4,60.69
2019-12-18,60.93,95329,60.55,61.18,60.32
2019-12-17,60.94,147235,60.23,61.06,60.03
2019-12-16,60.21,306591,59.87,60.34,59.71
2019-12-13,60.07,485594,59.36,60.48,59.27
2019-12-12,59.18,485241,59.46,59.5,59.2
2019-12-11,58.76,555721,58.8,58.87,58.79
2019-12-10,59.24,514628,58.92,59.52,58.52
2019-12-09,59.02,466515,59.11,59.25,58.23
2019-12-06,59.2,637852,58.32,59.85,57.7
2019-12-05,58.33,620670,58.36,59.12,58.1
2019-12-04,58.43,731078,56.43,58.66,56.28
2019-12-03,56.1,540776,55.96,56.8,55.35
2019-12-02,55.96,581647,55.47,56.67,55.42
2019-11-29,55.17,692806,58.2,58.3,55.02
2019-11-27,58.11,432902,58.27,58.68,57.51
2019-11-26,58.41,427362,57.92,58.56,57.76
2019-11-25,58.01,406785,57.92,58.15,57.21
2019-11-22,57.77,480281,58.31,58.74,57.5
2019-11-21,58.58,570480,57.0,58.67,56.6
2019-11-20,57.11,20010,55.16,57.25,54.76
2019-11-19,55.21,76021,56.9,57.11,55.04
2019-11-18,57.05,137000,57.88,58.09,56.55
2019-11-15,57.72,350171,57.75,57.94,57.59
2019-11-14,56.77,487284,57.39,57.79,56.63
2019-11-13,57.12,515248,57.19,57.52,57.17
2019-11-12,56.8,545060,56.89,57.55,56.54
2019-11-11,56.86,462661,57.4,57.4,56.25
2019-11-08,57.24,589272,57.08,57.48,55.76
2019-11-07,57.15,633837,56.84,57.1,56.83
2019-11-06,56.35,588671,56.34,56.58,56.29
2019-11-05,57.23,411763,56.56,57.5,56.3
2019-11-04,56.54,551001,56.41,57.43,55.83
2019-11-01,56.2,514826,54.15,56.33,54.07
2019-10-31,54.18,645900,54.9,55.59,53.71
2019-10-30,55.06,630266,55.53,55.73,54.42
2019-10-29,55.54,505147,55.8,55.91,54.61
2019-10-28,55.81,417828,56.65,56.92,55.58
2019-10-25,56.66,418474,56.71,56.74,56.57
2019-10-24,56.23,459548,55.9,56.51,55.41
2019-10-23,55.97,600372,54.3,56.07,53.62
2019-10-22,54.16,23001,53.39,54.62,53.1
2019-10-21,53.31,63794,53.71,54.03,52.71
2019-10-18,53.78,156871,54.09,54.62,53.35
2019-10-17,53.93,405330,52.99,54.16,52.62
2019-10-16,53.36,432727,52.92,53.74,52.51
2019-10-15,52.81,484794,53.51,53.79,52.39
