Date, Close/Last, Volume, Open, High, Low
2020-04-21,0.7942, 80157,0.7598,0.8025,0.7592
2020-04-20,0.9152, 48113,0.9138,0.9362,0.9128
2020-04-17,0.98, 39901,0.9854,1.0058,0.9677
2020-04-16,0.9727, 45563,0.9609,0.993,0.9391
2020-04-15,0.9507, 36623,0.9885,1.0005,0.9358
2020-04-14,0.9442, 44168,1.004,1.0153,0.9362
2020-04-13,0.9946, 38982,1.0063,1.0142,0.94
2020-04-09,0.9726, 50479,1.03,1.0777,0.969
2020-04-08,1.0107, 48209,1.0331,1.0371,1.0079
2020-04-07,1.0275, 42874,1.062,1.0778,1.0229
2020-04-06,1.0457, 40024,1.0352,1.09,1.03
2020-04-03,1.0706, 46049,0.9969,1.1104,0.988
2020-04-02,0.9951, 52542,1.0781,1.1351,0.9643
2020-04-01,0.9323, 65260,0.9903,1.0008,0.9303
2020-03-31,1.0015, 46954,1.0166,1.0472,0.9868
2020-03-30,1.0153, 56082,1.0522,1.057,0.9857
2020-03-27,1.0685, 38829,1.0705,1.0779,1.0453
2020-03-26,1.0505, 40681,1.0909,1.0975,1.0445
2020-03-25,1.0995, 51973,1.0896,1.1076,1.0554
2020-03-24,1.0836, 50781,1.0486,1.0977,1.0451
2020-03-23,1.0244, 48286,0.9964,1.0525,0.9635
2020-03-20,1.0063, 22168,1.0414,1.112,1.001
2020-03-19,1.0475, 69656,1.0044,1.0674,0.9622
2020-03-18,0.9627, 65841,1.0394,1.0585,0.943
2020-03-17,1.0357, 45869,1.0401,1.084,1.0309
2020-03-16,1.0514, 48157,1.0403,1.0946,1.0389
2020-03-13,1.1457, 39653,1.1534,1.2168,1.138
2020-03-12,1.1598, 89228,1.2426,1.2538,1.1197
2020-03-11,1.238, 78468,1.259,1.3023,1.2213
2020-03-10,1.2499, 93206,1.1581,1.2771,1.1519
2020-03-09,1.1629, 105830,1.228,1.2297,1.0799
2020-03-06,1.3852, 81892,1.4917,1.4993,1.3783
2020-03-05,1.4885, 65367,1.5534,1.5555,1.4815
2020-03-04,1.5332, 58461,1.533,1.5633,1.5225
2020-03-03,1.533, 71602,1.5522,1.5766,1.5138
2020-03-02,1.5287, 77992,1.4595,1.5509,1.4435
2020-02-28,1.4773, 80946,1.4785,1.4908,1.4401
2020-02-27,1.4871, 95644,1.4951,1.4952,1.469
2020-02-26,1.4974, 98042,1.5016,1.5025,1.4984
2020-02-25,1.5657, 74672,1.5742,1.5743,1.5586
2020-02-24,1.6092, 74208,1.6112,1.6114,1.6026
2020-02-21,1.6815, 53525,1.685,1.6867,1.6517
2020-02-20,1.6928, 48816,1.7023,1.714,1.6826
2020-02-19,1.7021, 57811,1.6678,1.7076,1.6628
2020-02-18,1.6724, 49350,1.6918,1.7027,1.658
2020-02-14,1.6982, 57384,1.679,1.7021,1.6711
2020-02-13,1.6783, 44613,1.6766,1.6924,1.6568
2020-02-12,1.6757, 61565,1.628,1.6836,1.628
2020-02-11,1.6267, 64862,1.6111,1.6425,1.6103
2020-02-10,1.6125, 53425,1.64,1.6528,1.61
2020-02-07,1.6433, 70380,1.6712,1.6777,1.64
2020-02-06,1.6654, 57197,1.6566,1.6783,1.6414
2020-02-05,1.6454, 65152,1.589,1.672,1.5875
2020-02-04,1.5839, 66881,1.5699,1.6179,1.5697
2020-02-03,1.5779, 62146,1.6188,1.6273,1.5707
2020-01-31,1.6284, 68513,1.6677,1.6786,1.6181
2020-01-30,1.642, 70173,1.6952,1.699,1.6305
2020-01-29,1.7043, 69082,1.7261,1.7355,1.6933
2020-01-28,1.7162, 79852,1.674,1.7303,1.66
2020-01-27,1.6829, 97184,1.7279,1.7305,1.6598
2020-01-24,1.7374, 80351,1.7394,1.7441,1.7369
2020-01-23,1.7943, 89084,1.7919,1.7981,1.7558
2020-01-22,1.8048, 90311,1.7929,1.811,1.7838
2020-01-21,1.8292, 53130,1.8782,1.8859,1.8242
2020-01-17,1.8637, 79766,1.8669,1.875,1.8472
2020-01-16,1.8647, 99020,1.8866,1.8926,1.8615
2020-01-15,1.8822, 92401,1.9043,1.9168,1.8797
2020-01-14,1.9103, 62254,1.898,1.9224,1.8848
2020-01-13,1.898, 61328,1.9366,1.94,1.8941
2020-01-10,1.9284, 67329,1.9522,1.96,1.9262
2020-01-09,1.9501, 73527,1.9665,1.9722,1.9282
2020-01-08,1.9582, 110514,1.9759,1.9776,1.9648
2020-01-07,2.0324, 72421,2.0274,2.0392,2.0065
2020-01-06,2.0339, 87832,2.0755,2.103,2.0193
2020-01-03,2.0614, 91145,2.026,2.1056,2.0235
2020-01-02,2.0241, 54075,2.0307,2.0378,2.0166
2019-12-31,2.0228, 53030,2.0468,2.0506,2.0162
2019-12-30,2.0438, 49126,2.055,2.0782,2.0328
2019-12-27,2.0519, 47459,2.0537,2.0664,2.0479
2019-12-26,2.0535, 39393,2.0425,2.0559,2.036
2019-12-24,2.0373, 31035,2.026,2.0426,2.0202
2019-12-23,2.0221, 56506,2.0205,2.0313,2.0118
2019-12-20,1.9965, 16359,2.0053,2.0139,1.9899
2019-12-19,2.0039, 22758,1.9955,2.0099,1.9889
2019-12-18,2.0202, 60285,2.0266,2.033,2.012
2019-12-17,2.0317, 51964,2.0062,2.0327,2.0017
2019-12-16,2.0031, 45528,1.9868,2.0102,1.9803
2019-12-13,1.9864, 55544,1.9553,1.9997,1.9553
2019-12-12,1.9508, 53410,1.959,1.9604,1.9526
2019-12-11,1.9288, 58851,1.93,1.9327,1.93
2019-12-10,1.9655, 61265,1.9431,1.9693,1.93
2019-12-09,1.9442, 57458,1.9547,1.9552,1.9252
2019-12-06,1.9521, 67350,1.932,1.9734,1.9188
2019-12-05,1.933, 66778,1.926,1.9472,1.9125
2019-12-04,1.9229, 67421,1.8863,1.9415,1.8838
2019-12-03,1.8799, 49650,1.8867,1.9009,1.8693
2019-12-02,1.886, 58376,1.8822,1.9237,1.8817
2019-11-29,1.8785, 56993,1.9521,1.9646,1.875
2019-11-27,1.9465, 11902,1.955,1.9735,1.9396
2019-11-26,1.958, 59580,1.9416,1.9646,1.9379
2019-11-25,1.9423, 55541,1.9343,1.945,1.922
2019-11-22,1.9294, 19036,1.9401,1.9599,1.9197
2019-11-21,1.9431, 63470,1.8904,1.9453,1.881
2019-11-20,1.8921, 27129,1.8558,1.9127,1.8468
2019-11-19,1.8574, 41139,1.8986,1.9072,1.8527
2019-11-18,1.9004, 54729,1.9514,1.9514,1.8903
2019-11-15,1.9433, 48068,1.9469,1.9481,1.9421
2019-11-14,1.9145, 33283,1.9107,1.9364,1.9102
2019-11-13,1.9095, 62735,1.9106,1.9165,1.9101
2019-11-12,1.8976, 54038,1.9149,1.9235,1.892
2019-11-11,1.9142, 50252,1.9212,1.9345,1.8942
2019-11-08,1.9181, 80770,1.9191,1.9254,1.8718
2019-11-07,1.9203, 59286,1.9132,1.9208,1.9132
2019-11-06,1.9278, 56294,1.9261,1.9339,1.9254
2019-11-05,1.9566, 43740,1.9459,1.9616,1.9379
2019-11-04,1.9405, 60779,1.9411,1.9644,1.9267
2019-11-01,1.9331, 63037,1.8749,1.936,1.8729
2019-10-31,1.8758, 81105,1.9019,1.9165,1.8594
2019-10-30,1.9136, 10760,1.9554,1.9605,1.906
2019-10-29,1.9459, 65571,1.9537,1.9611,1.9209
2019-10-28,1.9537, 58572,1.97,1.9788,1.946
2019-10-25,1.9707, 69768,1.9699,1.9717,1.968
2019-10-24,1.9748, 76602,1.955,1.9799,1.942
2019-10-23,1.9522, 99417,1.9319,1.9548,1.9065
2019-10-22,1.9294, 67508,1.9255,1.9529,1.9166
2019-10-21,1.9232, 52136,1.9316,1.9332,1.8959
2019-10-18,1.9298, 58868,1.9361,1.9455,1.9169
2019-10-17,1.9333, 56992,1.9213,1.938,1.9043
2019-10-16,1.9295, 62304,1.9032,1.9384,1.8976
2019-10-15,1.9006, 60374,1.9024,1.922,1.8804
2019-10-14,1.9053, 68073,1.9408,1.9465,1.8915
2019-10-11,1.9576, 64869,1.9344,1.97,1.9256
2019-10-10,1.9208, 62506,1.916,1.9405,1.889
2019-10-09,1.9193, 62346,1.9143,1.9165,1.9127
2019-10-08,1.9101, 60167,1.9055,1.917,1.8744
2019-10-07,1.9033, 57878,1.9021,1.9085,1.9005
2019-10-04,1.8945, 62270,1.8761,1.912,1.8761
2019-10-03,1.876, 66250,1.87,1.882,1.8239
2019-10-02,1.873, 44606,1.9071,1.9142,1.8587
2019-10-01,1.8985, 47449,1.9021,1.9223,1.8867
2019-09-30,1.8972, 49180,1.9421,1.95,1.8957
2019-09-27,1.936, 62016,1.9506,1.9608,1.9108
2019-09-26,1.9505, 45046,1.9497,1.9598,1.9203
2019-09-25,1.9497, 48375,1.9506,1.9541,1.9174
2019-09-24,1.9676, 16556,1.9925,1.995,1.95
2019-09-23,1.9925, 42149,2.0159,2.0189,1.9671
2019-09-20,1.9863, 18430,2.0129,2.0188,1.984
2019-09-19,1.9994, 63195,1.9716,2.0223,1.9668
2019-09-18,1.9706, 43039,1.9686,1.976,1.9674
2019-09-17,1.9889, 84035,2.0359,2.0361,1.9664
2019-09-16,2.0838, 90458,2.074,2.0966,2.0479
2019-09-13,1.8778, 38840,1.8881,1.891,1.8614
2019-09-12,1.8851, 53653,1.9055,1.9168,1.8513
2019-09-11,1.9032, 57821,1.9416,1.9529,1.8885
2019-09-10,1.9312, 49167,1.932,1.9624,1.9261
2019-09-09,1.9277, 41548,1.8992,1.9369,1.8981
2019-09-06,1.9003, 41916,1.8868,1.9099,1.8444
2019-09-05,1.8885, 55901,1.8798,1.9206,1.8754
2019-09-04,1.8802, 62461,1.8026,1.885,1.8006
2019-09-03,1.8033, 68280,1.8162,1.8389,1.777
