Date, Close/Last, Volume, Open, High, Low
2020-04-21,1.821, 247507,1.943,1.974,1.779
2020-04-20,1.924, 214783,1.774,1.97,1.701
2020-04-17,1.753, 185107,1.689,1.806,1.661
2020-04-16,1.686, 209348,1.591,1.719,1.555
2020-04-15,1.598, 139411,1.639,1.666,1.586
2020-04-14,1.65, 163589,1.725,1.737,1.633
2020-04-13,1.724, 172293,1.752,1.813,1.698
2020-04-09,1.733, 176109,1.791,1.825,1.721
2020-04-08,1.783, 194188,1.905,1.918,1.771
2020-04-07,1.852, 224752,1.759,1.912,1.747
2020-04-06,1.731, 166277,1.65,1.755,1.63
2020-04-03,1.621, 143914,1.551,1.659,1.53
2020-04-02,1.552, 155341,1.591,1.624,1.521
2020-04-01,1.587, 132272,1.643,1.679,1.58
2020-03-31,1.64, 132129,1.702,1.731,1.636
2020-03-30,1.69, 98568,1.63,1.708,1.613
2020-03-27,1.634, 5967,1.64,1.65,1.597
2020-03-26,1.637, 39953,1.657,1.68,1.612
2020-03-25,1.659, 40221,1.673,1.716,1.638
2020-03-24,1.653, 77255,1.59,1.687,1.586
2020-03-23,1.602, 120287,1.533,1.628,1.519
2020-03-20,1.604, 139912,1.647,1.7,1.574
2020-03-19,1.654, 162363,1.632,1.683,1.602
2020-03-18,1.604, 204438,1.721,1.728,1.555
2020-03-17,1.729, 141423,1.797,1.82,1.711
2020-03-16,1.815, 152067,1.854,1.854,1.778
2020-03-13,1.869, 210791,1.81,1.951,1.795
2020-03-12,1.841, 260199,1.883,1.883,1.75
2020-03-11,1.878, 296710,1.938,1.998,1.86
2020-03-10,1.936, 319153,1.835,1.955,1.794
2020-03-09,1.778, 263705,1.678,1.83,1.61
2020-03-06,1.708, 188207,1.767,1.767,1.705
2020-03-05,1.772, 141261,1.829,1.847,1.756
2020-03-04,1.827, 128687,1.805,1.845,1.785
2020-03-03,1.8, 195284,1.763,1.839,1.756
2020-03-02,1.756, 183402,1.695,1.765,1.68
2020-02-28,1.684, 205887,1.748,1.75,1.642
2020-02-27,1.752, 242291,1.796,1.804,1.719
2020-02-26,1.821, 6103,1.848,1.88,1.81
2020-02-25,1.847, 55593,1.836,1.862,1.819
2020-02-24,1.827, 70969,1.884,1.842,1.824
2020-02-21,1.905, 134568,1.915,1.925,1.861
2020-02-20,1.92, 245537,1.967,2.025,1.907
2020-02-19,1.955, 226263,1.969,1.978,1.945
2020-02-18,1.981, 292608,1.937,1.983,1.874
2020-02-14,1.837, 178300,1.828,1.854,1.795
2020-02-13,1.826, 225160,1.846,1.869,1.823
2020-02-12,1.844, 248341,1.79,1.855,1.789
2020-02-11,1.788, 226387,1.768,1.8,1.753
2020-02-10,1.766, 287673,1.813,1.813,1.759
2020-02-07,1.858, 222719,1.863,1.898,1.842
2020-02-06,1.862, 174131,1.865,1.906,1.832
2020-02-05,1.861, 174844,1.876,1.884,1.825
2020-02-04,1.872, 158659,1.823,1.888,1.804
2020-02-03,1.819, 148231,1.852,1.88,1.814
2020-01-31,1.841, 128869,1.832,1.856,1.812
2020-01-30,1.829, 195471,1.879,1.886,1.815
2020-01-29,1.877, 9741,1.927,1.938,1.858
2020-01-28,1.934, 47831,1.902,1.952,1.883
2020-01-27,1.902, 69383,1.935,1.976,1.888
2020-01-24,1.893, 130167,1.938,1.945,1.872
2020-01-23,1.926, 165951,1.915,1.98,1.913
2020-01-22,1.905, 195688,1.912,1.942,1.895
2020-01-21,1.895, 234410,1.934,1.97,1.83
2020-01-17,2.003, 201575,2.077,2.078,1.994
2020-01-16,2.077, 197537,2.134,2.17,2.071
2020-01-15,2.12, 210609,2.181,2.189,2.104
2020-01-14,2.187, 248407,2.188,2.255,2.173
2020-01-13,2.182, 208380,2.21,2.226,2.163
2020-01-10,2.202, 252594,2.166,2.234,2.137
2020-01-09,2.166, 202842,2.151,2.17,2.105
2020-01-08,2.141, 207012,2.153,2.185,2.115
2020-01-07,2.162, 144422,2.149,2.178,2.102
2020-01-06,2.135, 138798,2.112,2.173,2.099
2020-01-03,2.13, 138619,2.129,2.163,2.083
2020-01-02,2.122, 152564,2.184,2.188,2.116
2019-12-31,2.189, 110448,2.191,2.207,2.151
2019-12-30,2.186, 118904,2.247,2.258,2.182
2019-12-27,2.231, 205795,2.273,2.275,2.167
2019-12-26,2.294, 41930,2.184,2.297,2.184
2019-12-24,2.172, 43392,2.202,2.223,2.162
2019-12-23,2.214, 115740,2.254,2.269,2.192
2019-12-20,2.328, 140691,2.289,2.345,2.279
2019-12-19,2.273, 191967,2.282,2.302,2.232
2019-12-18,2.286, 170134,2.318,2.327,2.257
2019-12-17,2.319, 149185,2.349,2.362,2.282
2019-12-16,2.341, 146084,2.296,2.377,2.285
2019-12-13,2.296, 158538,2.341,2.342,2.253
2019-12-12,2.328, 218180,2.329,2.347,2.325
2019-12-11,2.243, 180661,2.265,2.303,2.24
2019-12-10,2.264, 224657,2.253,2.289,2.216
2019-12-09,2.232, 267977,2.21,2.258,2.158
2019-12-06,2.334, 218797,2.417,2.437,2.328
2019-12-05,2.427, 166387,2.406,2.463,2.396
2019-12-04,2.399, 182055,2.439,2.463,2.368
2019-12-03,2.441, 282335,2.345,2.51,2.34
2019-12-02,2.329, 181770,2.315,2.369,2.289
2019-11-29,2.281, 216405,2.472,2.513,2.27
2019-11-27,2.501, 139439,2.529,2.558,2.488
2019-11-26,2.47, 11293,2.52,2.532,2.421
2019-11-25,2.531, 54683,2.689,2.709,2.51
2019-11-22,2.665, 79059,2.585,2.675,2.557
2019-11-21,2.567, 120082,2.566,2.595,2.526
2019-11-20,2.559, 136096,2.514,2.581,2.505
2019-11-19,2.51, 172615,2.547,2.56,2.501
2019-11-18,2.566, 177621,2.641,2.65,2.533
2019-11-15,2.688, 167495,2.636,2.724,2.606
2019-11-14,2.647, 217736,2.674,2.696,2.625
2019-11-13,2.6, 181621,2.622,2.68,2.584
2019-11-12,2.621, 176540,2.637,2.685,2.607
2019-11-11,2.637, 223400,2.716,2.716,2.618
2019-11-08,2.789, 158046,2.792,2.822,2.755
2019-11-07,2.772, 279749,2.823,2.882,2.753
2019-11-06,2.828, 162587,2.863,2.866,2.82
2019-11-05,2.862, 200842,2.822,2.905,2.817
2019-11-04,2.821, 226740,2.796,2.842,2.781
2019-11-01,2.714, 217072,2.637,2.718,2.575
2019-10-31,2.633, 207456,2.686,2.738,2.606
2019-10-30,2.691, 193319,2.628,2.723,2.616
2019-10-29,2.597, 8152,2.459,2.64,2.449
2019-10-28,2.446, 64519,2.366,2.47,2.346
2019-10-25,2.3, 61408,2.331,2.336,2.273
2019-10-24,2.316, 111607,2.285,2.342,2.269
2019-10-23,2.282, 130453,2.274,2.305,2.251
