Date, Close/Last, Volume, Open, High, Low
2020-04-21,309.25, 162602,314.25,316.25,301.0
2020-04-20,314.25, 130021,322.5,323.25,313.5
2020-04-17,322.25, 85312,319.75,325.5,319.5
2020-04-16,319.75, 118287,318.75,323.0,317.75
2020-04-15,319.25, 140829,326.0,326.75,317.5
2020-04-14,326.0, 170899,331.25,332.0,325.75
2020-04-13,331.5, 113422,332.25,334.0,326.5
2020-04-09,331.75, 149687,330.75,333.5,328.0
2020-04-08,330.0, 131551,332.0,334.0,328.25
2020-04-07,331.5, 135987,328.0,335.5,328.0
2020-04-06,327.75, 95376,329.75,331.75,325.5
2020-04-03,330.75, 147431,334.5,338.5,328.0
2020-04-02,333.5, 135548,335.0,343.25,333.0
2020-04-01,334.75, 139005,341.25,342.75,333.5
2020-03-31,340.75, 192229,341.75,344.75,333.5
2020-03-30,341.25, 92080,343.0,346.75,340.0
2020-03-27,346.0, 102199,348.5,350.0,342.5
2020-03-26,348.75, 103100,348.25,349.25,343.75
2020-03-25,348.5, 107365,347.5,352.75,345.75
2020-03-24,347.25, 117573,343.5,350.5,338.0
2020-03-23,343.5, 104834,340.25,345.5,338.25
2020-03-20,343.75, 175220,346.5,356.75,342.25
2020-03-19,345.5, 210654,336.5,354.75,336.5
2020-03-18,335.25, 229884,344.0,345.25,332.0
2020-03-17,344.0, 204696,355.25,356.75,342.75
2020-03-16,354.75, 170520,362.5,367.75,354.0
2020-03-13,370.75, 118,370.0,375.5,370.0
2020-03-12,369.75, 342,377.5,377.5,367.0
2020-03-11,379.25, 722,380.25,380.5,377.0
2020-03-10,380.0, 495,379.0,381.5,377.5
2020-03-09,374.25, 688,372.0,377.5,368.5
2020-03-06,377.25, 1233,383.75,385.5,377.0
2020-03-05,384.5, 1763,385.5,385.75,382.0
2020-03-04,387.0, 3055,382.0,388.5,380.0
2020-03-03,381.75, 3194,375.75,383.75,375.75
2020-03-02,374.75, 5926,370.75,375.75,372.5
2020-02-28,366.5, 17973,364.5,367.25,362.75
2020-02-27,364.5, 151508,368.75,370.0,361.75
2020-02-26,370.5, 250650,372.0,374.0,368.25
2020-02-25,372.5, 97266,373.0,374.75,371.25
2020-02-24,372.25, 139812,376.25,376.25,370.0
2020-02-21,377.0, 145754,378.25,380.5,376.25
2020-02-20,378.5, 153934,380.25,380.25,378.25
2020-02-19,380.5, 133149,382.25,382.75,378.5
2020-02-18,383.0, 194910,378.5,383.25,378.0
2020-02-14,377.75, 203519,379.5,381.5,376.25
2020-02-13,379.5, 185648,382.25,382.75,379.0
2020-02-12,383.0, 222274,379.75,383.75,378.25
2020-02-11,379.75, 181378,381.0,382.0,378.0
2020-02-10,381.75, 199573,383.25,383.5,379.0
2020-02-07,383.5, 235786,380.25,385.0,380.0
2020-02-06,379.25, 173790,380.25,381.75,376.0
2020-02-05,380.75, 108750,381.5,383.25,379.5
2020-02-04,382.25, 160592,378.25,383.5,378.25
2020-02-03,378.75, 189673,380.5,382.0,376.5
2020-01-31,381.25, 136103,381.5,382.75,379.75
2020-01-30,379.5, 144240,384.5,385.0,378.5
2020-01-29,384.25, 121289,385.5,388.25,382.75
2020-01-28,386.5, 224825,382.5,387.0,378.5
2020-01-27,380.5, 242410,384.25,384.75,377.25
2020-01-24,387.25, 184087,393.25,393.25,386.5
2020-01-23,393.75, 244067,388.5,394.0,387.5
2020-01-22,388.75, 142431,387.5,391.0,386.75
2020-01-21,387.5, 168620,389.0,389.25,384.25
2020-01-17,389.25, 275953,377.0,389.5,376.75
2020-01-16,375.5, 213486,387.25,387.75,375.25
2020-01-15,387.5, 129405,388.75,390.25,386.5
2020-01-14,389.0, 101032,389.25,390.5,388.25
2020-01-13,389.5, 123587,388.5,389.5,388.25
2020-01-10,385.75, 206470,383.25,386.75,376.5
2020-01-09,383.25, 114754,383.75,387.0,382.25
2020-01-08,384.25, 117017,384.0,385.5,382.25
2020-01-07,384.5, 81838,385.0,385.75,383.5
2020-01-06,384.75, 97994,385.25,385.75,384.5
2020-01-03,386.5, 112048,391.5,392.0,385.5
2020-01-02,391.5, 92345,387.75,392.0,387.25
2019-12-31,387.75, 72989,388.25,389.75,386.25
2019-12-30,388.25, 107198,389.25,392.0,386.75
2019-12-27,390.0, 73843,388.0,391.0,388.0
2019-12-26,388.5, 42713,388.0,389.0,386.5
2019-12-24,387.5, 44328,388.5,389.0,387.0
2019-12-23,388.75, 71412,388.0,390.25,387.25
2019-12-20,387.75, 68692,386.5,389.5,386.0
2019-12-19,386.5, 84372,387.0,389.0,385.0
2019-12-18,387.0, 114382,389.25,390.0,385.75
2019-12-17,390.0, 105079,389.5,389.75,389.25
2019-12-16,388.0, 164623,383.5,389.5,383.25
2019-12-13,366.25, 88,373.75,374.5,366.25
2019-12-12,367.0, 664,358.25,368.75,358.25
2019-12-11,357.75, 259,363.0,363.0,357.0
2019-12-10,363.25, 888,365.75,367.0,362.5
2019-12-09,365.75, 639,366.5,368.0,365.0
2019-12-06,366.5, 960,366.25,367.25,364.75
2019-12-05,365.5, 3029,368.5,369.75,365.25
2019-12-04,368.75, 2978,371.75,373.5,367.75
2019-12-03,372.0, 4939,373.75,376.0,371.5
2019-12-02,373.5, 6189,374.5,375.5,371.5
2019-11-29,371.25, 15409,365.75,372.25,365.0
2019-11-27,362.75, 157745,367.25,368.75,362.25
2019-11-26,367.5, 182344,369.75,370.5,367.0
2019-11-25,370.5, 171835,368.75,372.75,368.25
2019-11-22,368.75, 188613,368.0,370.25,367.5
2019-11-21,368.5, 131462,366.75,369.75,366.25
2019-11-20,366.75, 274150,366.0,367.5,365.75
2019-11-19,370.0, 185640,367.75,373.0,367.75
2019-11-18,367.75, 182872,371.0,371.75,367.5
2019-11-15,371.25, 126643,375.5,376.5,370.75
2019-11-14,375.75, 131876,375.25,377.5,374.5
2019-11-13,375.25, 178444,377.0,377.75,375.0
2019-11-12,377.75, 203568,373.5,378.0,372.75
2019-11-11,373.25, 186700,376.0,377.0,372.5
2019-11-08,377.25, 316923,375.25,383.75,372.5
2019-11-07,375.25, 194440,379.25,380.0,373.75
2019-11-06,378.75, 170438,382.25,382.5,377.5
2019-11-05,381.75, 140692,383.25,384.75,380.5
2019-11-04,383.25, 131680,386.75,387.75,383.0
2019-11-01,389.25, 133939,389.25,391.75,386.25
2019-10-31,390.0, 158617,385.75,390.25,385.0
2019-10-30,390.75, 154228,385.75,391.25,385.25
2019-10-29,386.25, 138455,383.5,387.5,382.0
2019-10-28,384.0, 107548,386.0,386.5,383.25
2019-10-25,387.75, 116327,387.0,390.0,385.75
2019-10-24,386.75, 116746,388.5,390.75,385.25
2019-10-23,387.75, 107450,387.75,389.5,384.0
2019-10-22,388.0, 123774,387.0,392.5,385.0
2019-10-21,387.25, 134607,390.0,393.75,386.5
2019-10-18,391.0, 110414,394.0,395.75,389.75
2019-10-17,394.75, 131217,391.75,397.25,391.5
2019-10-16,391.75, 129168,392.0,392.75,387.5
2019-10-15,393.25, 129870,397.0,398.5,392.5
2019-10-14,397.25, 160479,401.25,402.5,393.25
2019-10-11,397.75, 253205,380.75,398.75,380.5
2019-10-10,380.25, 281182,392.75,395.0,378.25
2019-10-09,394.25, 128661,395.5,397.25,393.0
2019-10-08,395.75, 182677,387.5,396.5,386.0
2019-10-07,387.0, 88611,387.5,387.75,385.0
2019-10-04,384.75, 103288,388.0,389.0,383.75
2019-10-03,388.75, 114769,387.0,390.75,385.5
2019-10-02,387.75, 142335,390.5,391.75,385.5
2019-10-01,392.5, 208306,386.75,392.75,385.25
2019-09-30,388.0, 315024,372.0,388.25,371.5
2019-09-27,371.5, 81035,371.25,373.0,369.75
2019-09-26,372.5, 159873,373.5,375.75,368.25
2019-09-25,374.25, 108226,375.25,377.5,372.25
2019-09-24,374.75, 133529,372.0,376.0,370.25
2019-09-23,373.25, 86684,371.25,374.5,371.0
2019-09-20,370.75, 117457,372.75,374.5,369.5
2019-09-19,372.75, 108595,371.5,373.75,369.5
2019-09-18,371.25, 118261,367.75,372.0,365.75
2019-09-17,368.0, 141161,370.25,371.25,366.0
2019-09-16,374.0, 121939,372.0,374.75,367.5
2019-09-13,355.5, 122,358.5,358.5,358.5
2019-09-12,354.5, 152,349.75,353.75,349.5
2019-09-11,348.25, 328,349.75,349.75,344.75
2019-09-10,348.5, 314,344.0,349.5,344.0
2019-09-09,340.75, 917,343.25,343.25,340.0
2019-09-06,342.5, 1357,347.5,348.25,341.5
2019-09-05,346.5, 1813,346.5,349.5,346.5
2019-09-04,346.0, 3844,350.5,351.0,344.5
2019-09-03,349.75, 5085,358.75,359.0,349.0
2019-08-30,357.0, 10502,359.75,364.5,356.75
2019-08-29,359.75, 118185,363.0,369.0,357.5
2019-08-28,362.75, 159024,357.25,365.5,355.25
2019-08-27,357.0, 105885,359.0,360.0,356.75
2019-08-26,358.5, 94376,358.0,362.0,357.0
2019-08-23,359.75, 152021,362.75,363.0,357.5
2019-08-22,363.25, 87996,363.0,366.5,359.0
2019-08-21,362.5, 111053,360.0,364.0,357.0
2019-08-20,359.5, 73977,366.5,370.25,359.25
2019-08-19,365.0, 62273,367.25,368.25,363.25
2019-08-16,371.0, 89062,361.5,371.25,361.25
2019-08-15,360.75, 83442,360.25,363.75,358.25
2019-08-14,359.0, 167197,366.25,370.5,358.5
2019-08-13,366.0, 280890,379.0,379.0,365.5
2019-08-12,385.25, 217576,409.75,410.0,385.25
2019-08-09,410.25, 167674,410.75,417.0,407.25
2019-08-08,411.0, 158905,407.25,412.0,405.5
2019-08-07,406.5, 137557,404.75,407.5,400.5
2019-08-06,404.0, 98646,405.75,408.0,400.75
2019-08-05,405.25, 91539,400.0,406.75,391.0
2019-08-02,399.5, 74140,394.75,400.0,393.5
2019-08-01,392.75, 129681,401.75,403.0,387.25
2019-07-31,400.25, 135075,410.75,413.75,400.0
2019-07-30,411.25, 67958,417.0,417.0,410.25
2019-07-29,417.0, 78366,413.25,419.5,412.0
2019-07-26,414.5, 101738,418.25,419.5,413.0
2019-07-25,418.5, 160329,424.0,425.75,418.0
2019-07-24,424.0, 81612,425.0,430.5,421.5
2019-07-23,425.5, 118411,423.75,426.5,418.25
2019-07-22,422.25, 98856,430.75,432.25,421.0
2019-07-19,430.75, 103643,425.5,434.0,423.75
2019-07-18,424.5, 138181,435.0,436.0,423.25
2019-07-17,436.0, 115173,435.25,441.5,431.5
2019-07-16,435.25, 132119,437.75,440.75,429.0
2019-07-15,441.0, 150371,459.25,460.0,439.75
2019-07-12,454.25, 268,447.75,457.0,447.75
2019-07-11,447.75, 597,433.25,448.0,433.25
2019-07-10,434.25, 494,430.0,434.75,428.0
2019-07-09,431.75, 438,437.25,437.75,429.25
2019-07-08,438.5, 2083,440.75,442.75,432.0
2019-07-05,434.0, 2123,433.0,435.5,427.0
2019-07-03,433.0, 3471,417.0,433.75,417.0
2019-07-02,413.5, 6426,412.5,415.5,408.25
2019-07-01,412.0, 13147,424.25,424.75,410.25
2019-06-28,420.25, 33438,439.0,455.0,411.0
2019-06-27,440.0, 133703,443.0,445.5,438.5
2019-06-26,443.25, 132380,447.0,447.25,440.75
2019-06-25,447.5, 134070,451.0,453.0,446.5
2019-06-24,446.75, 146335,442.25,447.75,440.25
2019-06-21,442.25, 220486,452.0,454.0,441.75
2019-06-20,450.0, 176575,441.5,450.75,436.5
2019-06-19,441.0, 171292,449.75,451.75,438.25
2019-06-18,449.75, 199862,455.5,458.0,442.75
2019-06-17,454.75, 261820,458.25,464.25,450.5
2019-06-14,453.0, 290750,442.0,457.25,441.75
2019-06-13,442.0, 375288,429.75,442.75,429.5
2019-06-12,430.0, 312104,427.75,434.5,424.0
2019-06-11,427.75, 332271,415.0,430.25,408.25
2019-06-10,415.75, 254185,413.0,416.5,409.0
2019-06-07,415.75, 200060,421.0,423.5,415.0
2019-06-06,420.5, 258656,414.5,421.5,407.0
2019-06-05,414.75, 213827,424.25,424.75,412.25
2019-06-04,425.25, 289299,435.0,436.0,421.25
2019-06-03,424.25, 272387,426.25,430.75,418.25
2019-05-31,427.0, 281470,435.0,437.5,423.25
2019-05-30,436.25, 304285,416.5,436.75,413.25
