Date, Close/Last, Volume, Open, High, Low
2020-04-21,296.75, 324,291.0,298.5,288.75
2020-04-20,274.75, 129,273.25,275.0,271.5
2020-04-17,272.0, 126,274.0,275.0,271.5
2020-04-16,289.25, 215,283.5,289.75,281.75
2020-04-15,285.5, 314,276.75,286.5,275.0
2020-04-14,277.25, 269,274.25,280.25,272.0
2020-04-13,274.75, 249,274.75,276.5,270.5
2020-04-09,274.25, 243,275.5,278.0,272.25
2020-04-08,275.5, 269,274.5,276.25,270.0
2020-04-07,274.25, 281,272.25,277.0,268.5
2020-04-06,273.5, 352,274.0,279.0,268.0
2020-04-03,272.75, 515,264.5,277.5,263.0
2020-04-02,264.5, 222,261.5,264.5,259.0
2020-04-01,260.25, 329,264.0,265.25,259.0
2020-03-31,267.5, 138,260.0,268.0,258.5
2020-03-30,261.5, 286,265.75,269.5,261.25
2020-03-27,265.5, 239,262.0,269.75,260.25
2020-03-26,261.0, 292,266.25,266.25,258.0
2020-03-25,266.0, 424,270.5,274.0,265.25
2020-03-24,269.5, 283,270.0,270.5,267.25
2020-03-23,268.5, 202,265.25,269.75,257.5
2020-03-20,262.0, 214,262.25,268.0,260.75
2020-03-19,261.25, 371,256.0,272.5,256.0
2020-03-18,255.25, 329,252.75,265.75,252.25
2020-03-17,253.5, 375,257.0,259.25,251.5
2020-03-16,259.5, 665,267.25,268.75,248.25
2020-03-13,268.25, 390,275.0,278.75,267.0
2020-03-12,275.0, 372,275.0,276.75,267.75
2020-03-11,274.5, 278,277.25,279.0,272.25
2020-03-10,275.0, 770,267.5,281.75,267.5
2020-03-09,267.5, 684,269.0,270.75,255.25
2020-03-06,268.25, 302,270.5,272.0,266.5
2020-03-05,270.5, 332,269.75,272.25,268.25
2020-03-04,270.75, 478,263.0,272.0,262.75
2020-03-03,264.5, 816,265.5,269.0,260.5
2020-03-02,265.5, 980,267.5,269.75,265.0
2020-02-28,272.75, 743,279.0,282.0,270.0
2020-02-27,279.75, 1198,285.25,287.5,277.0
2020-02-26,285.75, 765,290.75,292.25,283.0
2020-02-25,291.75, 638,291.5,293.5,290.0
2020-02-24,289.75, 691,296.5,298.75,289.0
2020-02-21,298.0, 586,299.75,301.75,296.0
2020-02-20,299.5, 458,302.0,302.75,297.5
2020-02-19,301.25, 406,302.0,305.0,300.75
2020-02-18,303.5, 764,296.5,304.75,295.0
2020-02-14,296.0, 288,296.5,297.75,293.75
2020-02-13,295.75, 634,301.75,302.5,294.25
2020-02-12,304.0, 505,300.5,306.75,298.25
2020-02-11,296.5, 184,297.75,298.0,296.0
2020-02-10,301.75, 465,303.0,303.5,297.75
2020-02-07,303.0, 169,304.5,305.0,302.25
2020-02-06,304.75, 302,305.75,306.0,302.75
2020-02-05,304.5, 258,308.0,309.75,304.0
2020-02-04,270.75, 8,270.75,271.25,270.5
2020-02-03,300.25, 773,302.75,310.0,297.5
2020-01-31,303.75, 572,306.0,306.0,302.25
2020-01-30,305.5, 416,308.25,308.25,303.75
2020-01-29,307.75, 180,309.0,309.0,306.5
2020-01-28,307.0, 473,302.5,312.0,299.75
2020-01-27,300.5, 513,303.75,305.25,298.75
2020-01-24,303.25, 813,315.5,316.75,303.0
2020-01-23,316.5, 331,314.0,317.0,312.25
2020-01-22,307.5, 22,308.75,308.75,306.5
2020-01-21,314.75, 287,311.25,315.0,309.25
2020-01-17,311.75, 279,305.75,312.0,305.75
2020-01-16,305.5, 165,307.75,307.75,303.75
2020-01-15,305.75, 519,311.75,314.25,303.25
2020-01-14,298.0, 27,296.25,300.0,296.25
2020-01-13,311.0, 432,308.5,311.5,306.0
2020-01-10,308.5, 321,302.75,309.0,302.0
2020-01-09,302.0, 259,298.75,302.75,296.5
2020-01-08,299.0, 311,293.5,300.25,292.0
2020-01-07,293.25, 149,295.0,295.0,290.0
2020-01-06,294.25, 147,290.0,295.0,287.75
2020-01-03,290.75, 391,298.0,301.25,288.0
2020-01-02,298.0, 272,292.25,298.0,291.0
2019-12-31,292.0, 115,290.75,293.0,289.75
2019-12-30,290.5, 164,288.25,293.25,288.25
2019-12-27,288.5, 529,284.75,295.5,284.75
2019-12-26,283.0, 266,287.0,289.25,283.0
2019-12-24,285.75, 357,289.5,289.5,283.25
2019-12-23,288.5, 562,292.0,292.75,284.0
2019-12-20,292.0, 722,300.5,300.5,291.0
2019-12-19,297.25, 303,301.25,302.0,296.5
2019-12-18,299.5, 373,305.25,306.5,297.75
2019-12-17,306.5, 175,308.0,308.0,303.0
2019-12-16,307.5, 347,300.25,308.75,299.0
2019-12-13,297.25, 411,301.0,301.0,295.5
2019-12-12,302.75, 421,293.0,303.75,293.0
2019-12-11,293.75, 216,294.75,297.0,291.75
2019-12-10,264.0, N/A,264.0,264.0,264.0
2019-12-09,295.25, 384,293.25,299.25,290.75
2019-12-06,292.25, 534,293.25,293.5,290.25
2019-12-05,295.25, 856,304.0,304.0,288.0
2019-12-04,304.0, 292,302.0,306.25,300.75
2019-12-03,301.5, 480,307.25,307.75,300.5
2019-12-02,306.5, 445,306.25,308.0,305.5
2019-11-29,309.75, 332,317.0,317.0,307.0
2019-11-27,316.5, 722,322.75,324.0,311.75
