Date, Close/Last, Volume, Open, High, Low
2020-04-21,513.0, N/A,513.0,513.0,513.0
2020-04-20,502.25, 32981,487.0,514.0,486.5
2020-04-17,485.25, 20851,477.0,486.5,472.75
2020-04-16,476.75, 26282,485.75,494.0,475.75
2020-04-15,487.0, 32020,489.0,491.25,476.5
2020-04-14,491.0, 31599,500.0,502.5,486.5
2020-04-13,500.75, 30383,502.0,508.5,497.0
2020-04-09,499.0, 32126,485.0,500.0,484.5
2020-04-08,478.0, 20313,474.0,481.0,471.0
2020-04-07,499.0, 5746,501.0,504.0,496.25
2020-04-06,475.75, 20626,472.25,485.0,472.25
2020-04-03,472.0, 17698,464.0,477.75,463.75
2020-04-02,464.0, 20325,475.25,478.0,460.5
2020-04-01,475.0, 29342,493.0,496.75,470.75
2020-03-31,493.0, 25597,486.75,497.0,482.5
2020-03-30,487.25, 19150,487.25,494.5,479.75
2020-03-27,486.75, 36780,487.0,505.0,483.0
2020-03-26,487.25, 25575,501.0,503.5,485.0
2020-03-25,501.0, 29061,490.0,505.75,486.5
2020-03-24,490.75, 25653,489.0,491.5,480.5
2020-03-23,489.5, 34792,472.25,491.75,468.0
2020-03-20,469.0, 29603,466.0,477.25,464.75
2020-03-19,465.5, 50340,447.5,476.25,447.5
2020-03-18,446.5, 45940,433.75,448.5,429.0
2020-03-17,432.25, 41856,422.75,438.75,420.25
2020-03-16,423.75, 29702,429.25,432.0,420.0
2020-03-13,431.5, 23988,432.75,440.5,426.75
2020-03-12,432.75, 27657,436.0,436.25,424.0
2020-03-11,435.5, 21007,443.0,447.5,434.25
2020-03-10,444.75, 27064,442.75,448.0,437.75
2020-03-09,441.0, 36643,441.0,446.5,433.0
2020-03-06,444.0, 24719,446.5,447.75,440.5
2020-03-05,446.25, 26272,453.0,455.0,444.5
2020-03-04,453.25, 17443,458.25,458.75,450.25
2020-03-03,458.25, 21321,460.0,465.75,455.5
2020-03-02,457.75, 30373,447.5,459.75,445.5
2020-02-28,453.25, 33309,451.5,456.0,439.0
2020-02-27,451.75, 27422,457.0,458.75,451.0
2020-02-26,459.25, 30286,462.0,466.5,458.0
2020-02-25,462.0, 27861,461.0,464.25,455.25
2020-02-24,459.25, 36469,475.0,475.25,458.5
2020-02-21,475.5, 27879,480.25,486.75,475.0
2020-02-20,481.0, 16526,481.25,482.0,479.25
2020-02-19,486.75, 23125,491.75,492.0,478.75
2020-02-18,493.0, 31758,474.0,493.5,473.25
2020-02-14,472.25, 21513,474.0,478.25,471.75
2020-02-13,472.75, 31873,476.5,477.25,469.25
2020-02-12,471.0, 28403,467.0,472.75,464.5
2020-02-11,468.25, 62411,472.25,474.0,465.5
2020-02-10,471.75, 41124,472.5,476.5,469.0
2020-02-07,472.5, 30160,467.25,474.0,466.0
2020-02-06,467.75, 13648,473.75,477.0,467.0
2020-02-05,473.75, 17261,467.75,474.75,467.5
2020-02-04,467.25, 20480,464.25,475.25,464.0
2020-02-03,466.75, 26918,464.0,468.75,458.5
2020-01-31,465.5, 19661,471.0,469.25,463.5
2020-01-30,471.0, 21268,471.75,473.0,463.25
2020-01-29,472.0, 22114,482.75,485.5,471.25
2020-01-28,482.0, 20915,486.75,490.25,480.0
2020-01-27,486.5, 22172,483.0,487.75,476.5
2020-01-24,486.0, 23588,492.5,493.0,483.75
2020-01-23,492.25, 20454,492.5,496.25,490.0
2020-01-22,532.25, N/A,532.25,532.25,532.25
2020-01-21,500.0, 22076,495.25,500.75,487.75
2020-01-17,494.25, 24939,485.0,496.0,480.5
2020-01-16,484.75, 24891,496.75,496.75,482.25
2020-01-15,496.5, 28268,496.0,504.25,493.75
2020-01-14,497.0, 27692,491.25,500.75,490.0
2020-01-13,492.75, 25844,491.25,494.75,488.25
2020-01-10,494.75, 48226,490.25,498.25,484.75
2020-01-09,490.25, 33722,480.0,492.75,479.25
2020-01-08,480.0, 32721,473.0,482.75,469.75
2020-01-07,475.0, 22184,476.0,477.0,470.5
2020-01-06,477.25, 21171,477.5,479.0,476.75
2020-01-03,475.0, 26903,485.25,486.0,473.0
2020-01-02,485.25, 25664,485.25,496.75,483.5
2019-12-31,486.0, 17440,480.0,487.0,477.5
2019-12-30,480.5, 20455,482.0,485.0,474.0
2019-12-27,479.75, 25050,471.75,481.5,471.0
2019-12-26,470.5, 17164,461.5,471.75,460.0
2019-12-24,460.5, 11206,459.0,466.75,458.5
