Date, Close/Last, Volume, Open, High, Low
2020-04-21,294.5, 46709,291.1,295.1,286.5
2020-04-20,290.8, 29130,293.1,294.2,290.3
2020-04-17,293.1, 26349,297.2,298.3,292.4
2020-04-16,296.1, 26961,296.3,298.8,295.3
2020-04-15,296.6, 49091,293.4,298.8,293.3
2020-04-14,293.1, 52848,294.7,294.8,291.5
2020-04-13,294.5, 41699,298.0,299.4,293.9
2020-04-09,298.3, 41393,298.1,299.5,295.8
2020-04-08,292.8, 37886,293.8,297.3,292.2
2020-04-07,293.8, 49520,297.4,297.5,293.7
2020-04-06,297.0, 32185,302.7,303.4,296.8
2020-04-03,303.2, 42629,309.0,310.5,299.2
2020-04-02,309.1, 36338,315.5,317.1,308.5
2020-04-01,314.9, 30239,321.9,322.6,314.4
2020-03-31,321.5, 28926,326.0,326.9,320.3
2020-03-30,325.5, 24725,323.2,328.9,322.2
2020-03-27,323.1, 33513,324.1,328.1,320.7
2020-03-26,322.9, 42706,321.4,327.7,317.2
2020-03-25,321.7, 51303,332.1,333.4,320.1
2020-03-24,332.1, 39368,335.9,336.3,326.6
2020-03-23,333.6, 64562,324.5,335.2,324.0
2020-03-20,325.2, 72706,315.7,326.6,313.6
2020-03-19,314.8, 95199,305.0,320.5,304.0
2020-03-18,304.0, 66916,298.3,305.0,298.3
2020-03-17,298.3, 58796,296.5,299.5,295.6
2020-03-16,296.3, 62706,298.6,300.6,296.0
2020-03-13,299.5, 71161,302.3,307.1,299.0
2020-03-12,302.8, 78674,301.4,303.8,297.7
2020-03-11,301.6, 51164,301.9,305.4,300.9
2020-03-10,301.9, 71602,300.8,306.6,300.8
2020-03-09,300.4, 74351,303.0,303.3,296.2
2020-03-06,305.1, 45836,305.1,305.9,303.7
2020-03-05,303.9, 57055,308.6,309.5,303.4
2020-03-04,308.9, 63815,310.2,310.9,308.2
2020-03-03,310.1, 66206,309.0,310.6,307.0
2020-03-02,308.9, 78343,308.9,310.0,308.0
2020-02-28,305.6, 93969,304.7,307.4,300.8
2020-02-27,303.6, 108987,297.3,304.3,294.0
2020-02-26,298.3, 117536,294.1,300.4,292.5
2020-02-25,299.3, 23823,298.3,299.7,297.7
2020-02-24,292.0, 81326,294.7,294.8,290.7
2020-02-21,294.8, 99046,298.3,301.2,294.6
2020-02-20,298.3, 56962,298.5,298.7,297.4
2020-02-19,298.5, 53845,297.5,298.8,296.5
2020-02-18,297.6, 64429,296.4,298.4,295.4
2020-02-14,296.6, 48840,297.2,297.3,294.5
2020-02-13,297.6, 72397,297.2,299.4,296.5
2020-02-12,291.7, 59960,290.8,292.5,289.8
2020-02-11,290.8, 65284,291.5,293.1,289.2
2020-02-10,291.4, 83640,290.0,294.5,289.2
2020-02-07,289.3, 55198,288.0,291.5,288.0
2020-02-06,288.2, 58855,287.4,289.8,286.4
2020-02-05,287.4, 40558,288.2,288.4,287.3
2020-02-04,288.5, 54196,289.8,292.4,287.5
2020-02-03,289.8, 69322,290.9,291.4,287.1
2020-01-31,291.0, 54932,291.6,292.4,290.7
2020-01-30,291.5, 59756,296.0,296.3,291.0
2020-01-29,296.1, 36904,297.8,298.9,295.1
2020-01-28,297.6, 46070,297.8,299.4,296.4
2020-01-27,297.8, 55344,297.3,299.1,295.2
2020-01-24,298.3, 53934,298.5,300.5,297.6
2020-01-23,298.9, 54069,297.9,299.1,296.0
2020-01-22,297.9, 52276,299.1,299.8,297.4
2020-01-21,299.1, 46827,301.0,301.3,298.8
2020-01-17,300.6, 40098,300.1,302.0,299.6
2020-01-16,300.6, 44048,300.2,301.1,299.0
2020-01-15,300.1, 57412,302.5,303.9,300.0
2020-01-14,302.0, 59958,303.0,306.8,300.8
2020-01-13,303.8, 38648,301.9,304.2,301.8
2020-01-10,303.5, 64994,300.3,303.8,300.3
2020-01-09,300.8, 51148,301.8,303.0,299.2
2020-01-08,301.8, 48533,301.3,303.2,300.4
2020-01-07,301.3, 39264,302.8,304.0,300.4
2020-01-06,302.9, 41509,303.3,303.3,302.5
2020-01-03,301.2, 56471,305.3,306.3,300.3
2020-01-02,305.6, 52176,304.3,307.5,303.0
2019-12-31,304.7, 50100,302.8,307.1,301.7
2019-12-30,302.3, 60305,300.7,303.3,300.2
2019-12-27,300.4, 63194,303.9,304.8,300.1
2019-12-26,304.0, 35756,305.9,306.3,302.8
2019-12-24,306.1, 26502,305.8,307.6,304.0
2019-12-23,305.8, 48620,302.2,306.4,302.1
2019-12-20,302.2, 44098,303.3,304.0,302.0
2019-12-19,302.7, 43333,306.8,307.4,302.0
2019-12-18,307.4, 55154,306.4,307.9,304.0
2019-12-17,306.4, 55947,305.1,307.5,303.0
2019-12-16,305.8, 43285,302.5,305.9,301.8
2019-12-13,301.3, 63096,300.7,302.1,299.1
2019-12-12,298.7, 65405,299.5,301.8,297.4
2019-12-11,299.3, 76095,301.5,302.2,298.6
2019-12-10,298.7, 64489,298.5,300.2,297.3
2019-12-09,298.5, 66696,299.5,301.6,298.1
2019-12-06,299.3, 81694,299.7,300.8,298.5
2019-12-05,301.5, 82269,296.7,303.3,295.6
2019-12-04,296.7, 48745,295.0,298.0,294.9
2019-12-03,294.7, 51913,294.4,295.4,293.4
2019-12-02,293.5, 67230,293.3,294.2,292.6
2019-11-29,293.1, 46022,296.2,296.5,292.8
2019-11-27,296.2, 78579,297.3,299.0,296.0
2019-11-26,297.1, 81162,300.6,301.2,296.7
2019-11-25,300.6, 56560,301.0,302.7,300.3
2019-11-22,301.2, 57851,303.1,303.6,300.5
2019-11-21,303.2, 64322,302.0,304.9,301.9
2019-11-20,302.0, 53620,302.6,302.7,301.5
2019-11-19,306.8, 21994,307.0,308.6,306.7
2019-11-18,303.8, 54654,309.2,310.0,303.1
2019-11-15,309.2, 26385,305.8,309.5,305.4
2019-11-14,305.3, 37383,306.1,307.1,303.8
2019-11-13,304.1, 66810,302.1,306.4,301.7
2019-11-12,302.3, 61364,300.6,303.2,300.5
2019-11-11,300.6, 47430,303.7,304.1,300.3
2019-11-08,304.9, 85402,305.6,306.4,301.8
2019-11-07,305.6, 80771,299.4,306.2,299.2
2019-11-06,298.9, 60560,301.4,301.6,298.5
2019-11-05,302.7, 26739,302.4,303.4,301.6
2019-11-04,302.4, 37714,303.9,304.3,302.0
2019-11-01,303.9, 52027,304.4,306.6,303.7
2019-10-31,304.4, 48821,302.3,305.2,301.5
2019-10-30,302.2, 33707,303.0,304.1,302.0
2019-10-29,303.0, 47324,304.1,305.8,302.2
2019-10-28,304.0, 31028,303.3,305.2,303.1
2019-10-25,303.3, 44886,305.8,307.3,303.0
2019-10-24,305.6, 34617,308.5,309.5,305.4
2019-10-23,308.6, 42478,307.1,309.4,305.9
2019-10-22,306.9, 48980,307.9,311.8,306.3
2019-10-21,307.7, 30635,308.0,311.3,306.6
2019-10-18,308.5, 33054,306.6,309.8,306.1
2019-10-17,306.8, 45550,304.8,308.7,303.5
2019-10-16,304.8, 42026,307.7,309.1,304.3
2019-10-15,307.8, 45176,310.3,311.9,307.6
2019-10-14,310.9, 56887,312.3,313.9,309.0
2019-10-11,310.8, 52763,308.0,312.9,308.0
2019-10-10,307.8, 54410,308.6,311.5,307.5
2019-10-09,309.7, 62198,306.3,311.7,306.3
2019-10-08,306.9, 66128,301.8,308.0,301.8
2019-10-07,302.1, 48007,303.9,304.5,301.1
