Date, Close/Last, Volume, Open, High, Low
2020-04-21,25.76, 74418,26.28,26.35,25.18
2020-04-20,26.37, 43848,26.73,26.76,26.25
2020-04-17,26.67, 35315,26.68,27.01,26.61
2020-04-16,26.68, 52381,27.05,27.2,26.63
2020-04-15,26.94, 60906,27.05,27.33,26.63
2020-04-14,27.16, 86962,27.32,27.47,27.01
2020-04-13,27.27, 37024,28.01,28.14,27.12
2020-04-09,27.41, 50671,27.27,27.75,27.15
2020-04-08,27.18, 45465,27.48,27.57,27.06
2020-04-07,27.48, 50837,26.87,27.7,26.78
2020-04-06,26.83, 42373,26.43,26.94,26.2
2020-04-03,26.43, 49486,26.25,26.62,26.13
2020-04-02,26.24, 52721,26.05,26.83,25.82
2020-04-01,26.05, 54305,26.85,26.97,25.82
2020-03-31,27.01, 40273,26.86,27.15,26.68
2020-03-30,26.87, 43142,26.83,27.38,26.62
2020-03-27,26.85, 47771,26.49,26.96,26.33
2020-03-26,26.5, 45819,26.64,26.77,26.23
2020-03-25,26.64, 62705,26.49,27.04,26.12
2020-03-24,26.55, 49578,26.07,26.63,25.95
2020-03-23,26.14, 64216,25.5,26.21,25.25
2020-03-20,25.64, 63526,25.76,26.26,25.41
2020-03-19,25.48, 74298,25.35,25.73,24.85
2020-03-18,25.04, 73854,25.35,25.94,24.68
2020-03-17,25.24, 81676,25.01,25.9,24.97
2020-03-16,24.99, 85034,26.06,26.5,24.91
2020-03-13,26.37, 87387,26.35,26.95,25.65
2020-03-12,26.38, 92847,27.54,27.6,26.25
2020-03-11,27.53, 60335,27.72,28.04,27.51
2020-03-10,27.67, 66567,27.62,28.19,27.41
2020-03-09,27.54, 100248,28.08,28.33,27.07
2020-03-06,28.75, 59031,29.39,29.49,28.53
2020-03-05,29.39, 87333,29.76,30.16,29.33
2020-03-04,29.74, 76507,29.21,29.92,29.19
2020-03-03,29.16, 58444,29.08,29.5,28.91
2020-03-02,28.91, 66299,28.81,28.99,28.8
2020-02-28,28.68, 90006,29.05,29.21,28.35
2020-02-27,29.19, 90338,29.5,29.7,29.0
2020-02-26,29.45, 101685,29.59,29.77,29.28
2020-02-25,29.62, 66230,29.78,29.97,29.43
2020-02-24,29.87, 104824,30.72,30.74,29.73
2020-02-21,31.01, 65790,30.47,31.05,30.41
2020-02-20,30.47, 60870,30.51,30.58,30.4
2020-02-19,30.7, 64839,30.84,30.89,30.13
2020-02-18,30.84, 47231,31.09,31.13,30.69
2020-02-14,30.94, 27386,31.09,31.38,30.89
2020-02-13,31.09, 55460,31.4,31.4,30.78
2020-02-12,31.4, 39534,31.11,31.44,30.91
2020-02-11,31.08, 48985,31.08,31.32,30.77
2020-02-10,30.62, 80029,31.0,31.27,30.51
2020-02-07,30.97, 77933,31.5,31.5,30.74
2020-02-06,31.24, 55264,31.42,31.96,31.15
2020-02-05,31.32, 74843,31.26,31.41,31.12
2020-02-04,30.73, 89306,30.21,31.04,30.16
2020-02-03,30.29, 99808,29.94,30.42,29.81
2020-01-31,29.94, 80911,30.03,30.27,29.88
2020-01-30,30.63, 73521,31.57,31.67,30.58
2020-01-29,31.52, 64128,31.47,32.11,31.32
2020-01-28,31.46, 82578,31.59,31.63,30.56
2020-01-27,31.52, 75006,31.9,31.97,30.72
2020-01-24,32.02, 62237,32.54,32.54,31.86
2020-01-23,32.48, 55227,33.03,33.05,32.45
2020-01-22,33.02, 63542,32.8,33.37,32.61
2020-01-21,32.75, 74287,33.47,33.61,32.59
2020-01-17,33.35, 57221,33.1,33.42,32.75
2020-01-16,33.03, 67631,33.3,33.45,32.89
2020-01-15,33.3, 82343,34.08,34.11,33.25
2020-01-14,34.07, 65784,33.98,34.15,33.51
2020-01-13,33.95, 54160,34.11,34.15,33.93
2020-01-10,34.35, 85659,34.72,34.89,34.22
2020-01-09,34.64, 58341,34.58,34.95,34.52
2020-01-08,34.56, 68428,34.74,35.06,34.47
2020-01-07,34.74, 51720,34.52,34.78,34.44
2020-01-06,34.52, 54270,34.62,34.7,34.49
2020-01-03,35.08, 63990,35.28,35.4,34.75
2020-01-02,35.24, 63579,35.11,35.67,35.11
2019-12-31,34.77, 61468,35.35,35.4,34.38
2019-12-30,35.45, 72971,34.99,35.52,34.95
2019-12-27,35.04, 78266,34.64,35.18,34.64
2019-12-26,34.67, 46637,34.46,34.86,34.44
2019-12-24,34.74, 4437,34.55,34.81,34.4
2019-12-23,34.05, 60647,34.25,34.29,33.94
2019-12-20,34.06, 79779,34.15,34.27,33.85
2019-12-19,34.07, 61053,33.78,34.3,33.56
2019-12-18,33.72, 56827,34.0,34.07,33.55
2019-12-17,34.1, 86164,33.47,34.38,33.47
2019-12-16,33.43, 53349,32.95,33.48,32.9
2019-12-13,32.87, 70587,32.81,32.92,32.62
2019-12-12,32.51, 48890,31.69,32.54,31.69
2019-12-11,31.71, 45321,31.96,32.03,31.62
2019-12-10,31.95, 52446,31.86,32.06,31.66
2019-12-09,31.59, 72163,31.23,31.82,31.17
2019-12-06,31.22, 89735,30.85,31.3,30.85
2019-12-05,30.5, 67321,30.54,30.78,30.38
2019-12-04,30.47, 54235,30.27,30.53,30.15
