Date, Close/Last, Volume, Open, High, Low
2020-04-21,848.0, 41851,845.75,850.25,831.0
2020-04-20,836.25, 58178,843.5,845.75,834.25
2020-04-17,842.25, 62586,848.75,851.75,841.5
2020-04-16,845.75, 59533,851.0,857.0,845.0
2020-04-15,851.75, 109845,856.0,862.5,848.75
2020-04-14,855.5, 86456,862.5,864.5,854.25
2020-04-13,862.25, 67033,871.0,877.5,858.0
2020-04-09,863.5, 95113,855.5,867.0,853.75
2020-04-08,854.5, 66939,855.75,860.5,851.75
2020-04-07,854.75, 72962,856.0,862.25,854.25
2020-04-06,855.5, 59364,853.5,859.0,848.5
2020-04-03,854.25, 62075,859.75,864.5,850.5
2020-04-02,858.75, 77109,864.75,870.0,857.0
2020-04-01,862.75, 84310,885.75,887.25,860.75
2020-03-31,886.0, 89669,882.5,887.5,875.75
2020-03-30,882.25, 66762,880.0,892.5,876.75
2020-03-27,881.5, 74273,879.0,888.75,875.25
2020-03-26,880.25, 77125,882.5,884.5,871.25
2020-03-25,881.5, 84016,885.0,897.0,880.5
2020-03-24,886.75, 86393,884.0,887.75,872.5
2020-03-23,884.0, 120602,860.0,885.25,858.25
2020-03-20,862.5, 112815,845.75,864.75,845.5
2020-03-19,843.25, 131747,829.25,855.75,825.0
2020-03-18,825.5, 115856,824.5,838.5,822.25
2020-03-17,824.25, 111828,824.75,832.5,822.0
2020-03-16,821.75, 140996,842.0,854.75,821.0
2020-03-13,848.75, 146873,857.75,872.0,845.25
2020-03-12,859.5, 157159,872.5,872.75,852.25
2020-03-11,873.25, 88253,876.0,883.75,872.0
2020-03-10,876.25, 96436,874.5,885.0,874.5
2020-03-09,870.0, 136229,883.5,883.5,867.0
2020-03-06,891.25, 94493,898.75,899.75,888.5
2020-03-05,897.0, 92142,908.5,912.5,894.75
2020-03-04,907.25, 101307,904.25,911.0,903.5
2020-03-03,903.5, 129517,903.75,908.0,899.5
2020-03-02,901.0, 112706,901.5,904.25,900.5
2020-02-28,892.75, 135440,894.75,895.5,879.75
2020-02-27,895.0, 158665,888.75,897.0,878.25
2020-02-26,892.0, 150602,889.0,899.0,885.0
2020-02-25,888.25, 96885,883.5,889.0,881.25
2020-02-24,882.5, 130985,896.25,896.75,879.25
2020-02-21,899.0, 104620,900.25,910.25,896.25
2020-02-20,901.0, 73248,902.5,902.75,900.0
2020-02-19,897.25, 131149,892.25,898.25,885.0
2020-02-18,902.25, 89758,904.5,908.75,899.0
2020-02-14,903.25, 87477,906.0,908.25,899.5
2020-02-13,896.25, 177526,891.0,899.75,888.5
2020-02-12,892.5, 153438,885.5,893.0,881.5
2020-02-11,884.75, 119854,885.75,889.0,878.0
2020-02-10,884.25, 131838,883.0,889.75,879.5
2020-02-07,882.0, 113780,883.25,884.75,876.25
2020-02-06,881.0, 99943,880.0,886.25,876.75
2020-02-05,880.0, 69342,881.25,881.75,878.0
2020-02-04,879.5, 94611,876.25,887.0,873.75
2020-02-03,877.0, 125048,870.75,878.75,868.75
2020-01-31,872.5, 76237,873.5,875.5,872.25
2020-01-30,876.25, 107289,893.5,893.75,875.5
