Date, Close/Last, Volume, Open, High, Low
2020-04-21,548.75, 20201,553.75,558.25,544.5
2020-04-20,547.5, 73284,536.0,561.5,535.5
2020-04-17,533.75, 42376,529.0,535.75,525.0
2020-04-16,530.5, 51117,539.75,544.25,529.0
2020-04-15,540.5, 72843,548.0,550.0,531.5
2020-04-14,549.75, 59252,555.75,557.25,546.25
2020-04-13,555.5, 49782,560.0,564.5,552.75
2020-04-09,557.5, 54051,549.25,559.25,546.5
2020-04-08,548.25, 51791,551.0,554.5,545.0
2020-04-07,549.25, 61117,555.25,555.75,545.25
2020-04-06,555.75, 43507,550.0,561.75,549.75
2020-04-03,549.25, 39986,541.75,556.5,541.5
2020-04-02,541.75, 43143,550.25,553.25,538.25
2020-04-01,550.25, 63718,567.25,571.75,546.5
2020-03-31,568.75, 62692,569.75,575.25,564.25
2020-03-30,569.5, 57513,572.25,580.75,562.75
2020-03-27,571.25, 83840,569.5,587.0,563.5
2020-03-26,569.0, 72629,579.5,583.0,564.5
2020-03-25,580.0, 93812,560.0,583.25,556.75
2020-03-24,561.5, 63288,560.5,562.5,549.75
2020-03-23,562.5, 81836,539.5,563.25,537.25
2020-03-20,539.25, 66708,534.5,547.0,533.0
2020-03-19,535.0, 97431,508.5,540.5,508.5
2020-03-18,508.25, 65279,500.75,512.0,494.5
2020-03-17,499.25, 61968,496.25,506.5,494.5
2020-03-16,498.0, 75977,503.0,507.25,491.75
2020-03-13,506.0, 66238,505.0,513.75,499.5
2020-03-12,505.5, 79121,510.5,510.75,497.25
2020-03-11,512.75, 56111,521.75,524.75,511.75
2020-03-10,522.25, 65867,520.0,525.0,514.0
2020-03-09,518.75, 85631,509.0,522.5,505.75
2020-03-06,515.75, 55240,518.0,520.75,510.0
2020-03-05,518.75, 58785,518.5,523.75,514.5
2020-03-04,518.25, 55163,525.25,526.25,516.75
2020-03-03,527.25, 69430,523.75,534.0,521.0
2020-03-02,523.25, 73723,519.0,525.0,516.75
2020-02-28,525.0, 83266,525.5,526.5,512.5
2020-02-27,527.5, 70392,532.25,534.25,526.25
2020-02-26,535.75, 57704,537.0,540.0,532.75
2020-02-25,537.0, 72915,537.0,539.5,528.5
2020-02-24,534.75, 96033,551.5,551.5,532.5
2020-02-21,552.0, 84361,559.25,568.25,551.0
2020-02-20,559.25, 54353,558.5,560.0,557.25
2020-02-19,562.5, 70932,560.0,564.0,551.5
2020-02-18,565.0, 97326,547.25,568.5,546.5
2020-02-14,541.5, 52839,545.5,548.75,541.0
2020-02-13,544.75, 62416,548.5,550.5,541.5
2020-02-12,547.5, 86164,541.0,549.0,538.25
2020-02-11,542.0, 158485,551.5,551.75,539.0
2020-02-10,552.0, 93064,558.75,560.75,551.0
2020-02-07,558.75, 59004,557.0,563.0,553.25
2020-02-06,556.25, 49966,563.75,565.5,555.75
2020-02-05,562.0, 50472,559.25,563.75,555.5
2020-02-04,557.25, 66108,554.25,564.25,553.5
2020-02-03,555.5, 78076,551.25,558.0,546.5
2020-01-31,553.75, 60507,562.5,561.75,552.75
2020-01-30,560.5, 76309,562.5,562.5,550.75
2020-01-29,562.25, 52891,571.0,573.25,561.0
2020-01-28,569.75, 55050,573.0,576.5,565.5
2020-01-27,572.25, 76674,567.75,573.25,559.5
2020-01-24,573.5, 55232,581.75,581.75,569.5
2020-01-23,580.5, 54542,577.75,583.0,575.25
2020-01-22,577.75, 81611,581.5,592.5,574.5
2020-01-21,581.5, 66730,572.5,582.75,566.75
2020-01-17,570.5, 53130,565.5,572.5,564.25
2020-01-16,565.25, 55333,573.5,573.5,560.0
2020-01-15,573.25, 73596,569.0,578.75,568.25
2020-01-14,568.5, 64981,562.25,573.0,559.25
2020-01-13,562.25, 47045,561.5,563.5,560.5
2020-01-10,564.5, 88626,562.75,568.5,555.75
2020-01-09,562.25, 63389,553.75,564.0,552.75
2020-01-08,552.75, 47991,549.5,555.75,545.25
2020-01-07,550.25, 38229,549.5,551.0,545.5
2020-01-06,550.0, 45766,551.0,552.25,549.75
2020-01-03,554.5, 42389,560.75,562.0,551.75
2020-01-02,560.25, 46534,559.5,567.5,558.25
2019-12-31,558.75, 35599,555.0,559.75,553.0
2019-12-30,556.0, 39382,560.0,564.5,551.5
2019-12-27,556.25, 47946,549.75,561.0,549.25
2019-12-26,549.0, 28809,540.75,552.0,540.25
2019-12-24,541.0, 20450,539.5,545.0,538.5
2019-12-23,539.5, 31162,543.0,547.0,538.75
2019-12-20,542.25, 42735,545.25,549.0,538.75
2019-12-19,545.25, 37748,547.5,553.5,544.0
2019-12-18,548.25, 52106,553.25,555.0,545.25
2019-12-17,556.25, 64351,554.0,554.5,553.75
2019-12-16,549.75, 86465,534.75,556.75,534.75
2019-12-13,532.5, 63178,533.0,536.25,525.75
2019-12-12,530.25, 62142,518.0,534.25,516.25
2019-12-11,519.25, 43769,523.5,523.5,516.75
2019-12-10,523.75, 41361,522.75,528.0,519.25
2019-12-09,522.75, 40806,523.75,526.0,520.25
2019-12-06,524.5, 42375,521.5,525.25,519.25
2019-12-05,523.75, 38445,527.5,530.0,522.75
2019-12-04,527.5, 45303,525.25,529.75,522.25
2019-12-03,525.25, 79387,538.0,541.25,524.25
2019-12-02,535.25, 66361,542.0,542.5,534.25
2019-11-29,541.75, 61009,530.0,546.0,528.5
2019-11-27,526.75, 52888,530.75,533.25,526.0
2019-11-26,531.0, 70772,532.5,532.75,525.75
2019-11-25,533.0, 93819,518.75,534.75,518.75
2019-11-22,518.75, 55380,512.0,522.0,511.25
2019-11-21,512.0, 54240,518.0,522.75,511.0
2019-11-20,518.75, 43344,517.5,519.0,516.0
2019-11-19,515.25, 75427,509.5,518.75,509.25
2019-11-18,510.75, 56436,506.5,513.5,501.75
2019-11-15,506.0, 42216,511.0,511.5,504.75
2019-11-14,511.0, 47489,513.0,516.5,509.25
2019-11-13,509.0, 67868,516.5,516.75,506.5
2019-11-12,517.0, 73685,506.25,517.25,505.25
2019-11-11,505.75, 72706,508.0,510.5,503.75
2019-11-08,510.25, 74097,512.5,517.75,505.5
2019-11-07,512.5, 64677,517.5,519.75,511.0
