Date, Close/Last, Volume, Open, High, Low
2020-04-21,116.75, 1812,116.1,117.35,113.525
2020-04-20,127.65, 3580,128.425,130.3,126.775
2020-04-17,128.4, 4490,130.2,130.95,127.575
2020-04-16,128.625, 5529,127.45,131.225,126.975
2020-04-15,115.575, 3815,113.95,116.875,113.5
2020-04-14,114.85, 7033,112.025,118.0,111.0
2020-04-13,114.45, 1609,115.9,115.9,114.45
2020-04-09,118.95, 5675,118.15,120.0,116.525
2020-04-08,119.375, 8631,118.3,120.55,117.45
2020-04-07,121.0, 1392,119.825,121.0,119.625
2020-04-06,109.3, 6069,105.2,112.5,103.625
2020-04-03,108.1, 5938,110.65,116.2,106.15
2020-04-02,111.65, 5005,116.675,116.7,111.65
2020-04-01,118.4, 2868,119.5,119.825,118.4
2020-03-31,122.9, 5036,120.9,123.975,117.225
2020-03-30,120.9, 4543,120.2,122.525,118.3
2020-03-27,120.925, 3407,123.425,123.65,120.925
2020-03-26,125.425, 4788,127.925,129.35,124.675
2020-03-25,129.1, 7915,132.575,134.0,124.5
2020-03-24,129.5, 1509,129.5,129.5,129.5
2020-03-23,122.75, 1463,122.75,122.75,122.75
2020-03-20,118.25, 5627,116.0,119.675,115.3
2020-03-19,113.025, 3050,111.925,113.025,110.375
2020-03-18,108.525, 8801,110.25,116.35,107.475
2020-03-17,111.85, 8089,111.025,116.725,110.525
2020-03-16,109.975, 6503,109.975,118.65,109.975
2020-03-13,114.475, 13405,124.0,125.525,114.0
2020-03-12,120.75, 3481,120.75,120.8,120.75
2020-03-11,123.525, 6004,127.325,127.95,123.45
2020-03-10,127.95, 9015,128.4,131.5,127.275
2020-03-09,125.55, 6009,125.55,129.225,125.55
2020-03-06,130.05, 7752,132.575,132.675,129.225
2020-03-05,133.65, 4311,134.6,134.9,133.4
2020-03-04,135.55, 5387,135.4,136.325,134.25
2020-03-03,133.775, 6690,136.225,137.275,133.225
2020-03-02,135.05, 5449,133.775,136.75,133.375
2020-02-28,132.7, 7454,131.325,135.35,130.15
2020-02-27,134.075, 7786,134.1,136.1,131.475
2020-02-26,135.975, 6084,134.5,136.775,134.025
2020-02-25,134.125, 8087,138.15,138.85,133.1
2020-02-24,136.025, 6523,137.9,138.025,135.7
2020-02-21,140.2, 6217,140.7,140.925,139.65
2020-02-20,140.8, 5094,140.95,141.325,139.525
2020-02-19,140.775, 5843,139.5,140.95,139.05
2020-02-18,139.3, 4357,139.1,139.55,138.675
2020-02-14,138.525, 8358,136.775,139.65,136.775
2020-02-13,136.325, 7425,135.025,136.775,134.2
2020-02-12,135.05, 5587,134.85,135.525,134.175
2020-02-11,134.675, 6639,135.65,136.9,134.525
2020-02-10,135.7, 7207,134.925,135.825,134.375
2020-02-07,135.2, 5392,135.925,136.075,135.0
2020-02-06,135.9, 4364,135.9,136.95,135.275
2020-02-05,135.675, 5588,137.9,138.075,135.5
2020-02-04,137.5, 8100,137.1,138.075,136.4
2020-02-03,136.65, 9954,136.35,137.3,133.65
2020-01-31,136.075, 6625,135.65,137.775,135.45
2020-01-30,135.65, 5942,135.0,136.0,134.2
2020-01-29,134.975, 5828,135.8,136.225,134.575
2020-01-28,135.4, 8462,135.325,136.625,134.975
2020-01-27,135.175, 8134,138.775,138.8,135.175
2020-01-24,139.675, 6685,140.35,141.125,139.2
2020-01-23,140.525, 6136,143.025,143.95,140.35
2020-01-22,143.05, 4535,144.65,144.65,142.95
2020-01-21,144.675, 2652,144.75,145.175,144.175
2020-01-17,145.0, 2760,144.65,145.125,143.95
2020-01-16,144.825, 4997,145.4,145.4,142.725
2020-01-15,145.175, 4857,145.65,146.15,144.2
2020-01-14,145.725, 4264,145.85,146.125,145.125
2020-01-13,145.85, 4895,147.325,147.425,145.65
2020-01-10,147.45, 4772,146.5,147.75,145.55
2020-01-09,146.55, 4733,146.3,147.375,145.85
2020-01-08,146.525, 5497,146.425,146.9,146.0
2020-01-07,145.125, 6437,146.45,146.725,144.05
