Date, Close/Last, Volume, Open, High, Low
2020-04-21,91.6, 1718,93.5,93.5,90.525
2020-04-20,93.525, 1215,94.875,95.0,93.15
2020-04-17,94.65, 1715,96.5,96.7,93.05
2020-04-16,95.5, 2135,94.425,97.675,94.425
2020-04-15,94.725, 1670,92.5,95.5,92.2
2020-04-14,93.7, 3155,91.25,94.8,90.425
2020-04-13,91.0, 1762,91.1,91.525,91.0
2020-04-09,94.0, 3359,93.0,94.575,90.55
2020-04-08,92.825, 3806,92.825,92.825,91.6
2020-04-07,88.325, 2103,85.75,88.325,85.75
2020-04-06,83.825, 6389,83.825,85.75,83.825
2020-04-03,88.325, 10843,91.05,95.25,88.325
2020-04-02,92.825, 6097,96.5,96.5,92.825
2020-04-01,97.325, 6437,99.1,100.0,97.325
2020-03-31,101.825, 8558,99.0,102.2,97.8
2020-03-30,99.2, 9437,100.5,102.0,98.4
2020-03-27,100.95, 12332,103.325,104.1,100.95
2020-03-26,105.45, 10058,108.5,108.55,105.45
2020-03-25,108.45, 24101,110.65,110.65,104.25
2020-03-24,106.15, 4875,106.15,106.15,106.15
2020-03-23,101.65, 6955,101.65,101.65,101.65
2020-03-20,98.65, 16064,99.6,99.6,97.1
2020-03-19,95.1, 8869,95.075,95.1,94.475
2020-03-18,92.1, 37199,95.775,100.85,91.85
2020-03-17,96.35, 20275,94.05,96.35,94.0
2020-03-16,91.85, 34212,91.075,99.975,91.075
2020-03-13,95.575, 41302,102.375,103.025,95.575
2020-03-12,100.075, 16161,100.075,100.075,100.075
2020-03-11,103.075, 41993,105.225,106.85,102.8
2020-03-10,105.45, 45514,105.0,105.85,104.8
2020-03-09,102.85, 42449,102.75,105.225,102.75
2020-03-06,105.75, 47641,107.25,108.175,105.65
2020-03-05,108.65, 27778,110.425,110.55,108.5
2020-03-04,111.275, 31032,111.15,112.45,110.25
2020-03-03,110.1, 34581,111.9,112.65,109.5
2020-03-02,110.15, 33614,108.325,110.575,108.275
2020-02-28,112.7, 124,111.0,113.4,110.5
2020-02-27,112.625, 390,113.75,114.2,110.25
2020-02-26,114.075, 672,115.575,115.7,113.575
2020-02-25,115.025, 1579,117.775,117.775,114.975
2020-02-24,117.0, 1614,118.025,118.275,116.8
2020-02-21,119.725, 1980,120.175,120.175,118.8
2020-02-20,120.1, 2724,121.525,121.525,119.9
2020-02-19,121.3, 1426,121.05,121.5,120.9
2020-02-18,121.425, 1249,121.5,122.0,120.75
2020-02-14,120.825, 2545,119.775,122.35,119.775
2020-02-13,119.45, 1976,119.1,119.7,118.45
2020-02-12,118.95, 3261,119.0,119.575,118.65
2020-02-11,119.075, 3151,120.2,120.3,119.05
2020-02-10,120.3, 5009,121.25,121.3,120.25
2020-02-07,121.325, 4367,121.0,121.475,120.825
2020-02-06,121.125, 4802,120.775,121.6,120.1
2020-02-05,120.75, 9408,122.075,122.075,120.55
2020-02-04,121.625, 5849,122.5,122.725,121.575
2020-02-03,121.675, 8545,121.4,122.15,120.725
2020-01-31,121.375, 7996,121.85,122.65,121.3
2020-01-30,121.775, 10422,122.075,122.2,121.125
2020-01-29,121.75, 7146,122.35,122.525,121.725
2020-01-28,122.15, 10936,122.4,123.1,122.1
2020-01-27,122.25, 18828,123.9,124.0,122.2
2020-01-24,124.85, 11990,124.825,125.225,124.1
2020-01-23,124.675, 17474,126.15,126.325,124.575
2020-01-22,126.175, 10629,126.375,126.475,125.9
2020-01-21,126.375, 14793,126.025,126.55,125.85
2020-01-17,126.35, 20748,126.225,126.425,125.25
2020-01-16,126.125, 28896,126.925,126.925,124.775
2020-01-15,126.6, 22868,126.975,127.225,126.075
2020-01-14,126.85, 28847,126.65,127.25,126.3
2020-01-13,126.55, 30509,127.35,127.4,126.45
2020-01-10,127.425, 28424,126.625,127.55,126.425
2020-01-09,126.725, 29682,126.35,127.175,126.05
2020-01-08,126.35, 37080,126.5,126.95,126.075
2020-01-07,126.525, 27393,127.0,127.25,125.775
2020-01-06,127.275, 31825,125.0,127.425,124.75
2020-01-03,124.725, 31364,125.775,125.95,124.575
2020-01-02,125.775, 27130,126.0,126.325,124.55
2019-12-31,124.7, 336,124.4,124.75,124.4
2019-12-30,124.1, 785,123.65,124.125,123.575
2019-12-27,123.5, 1012,123.3,123.875,123.2
2019-12-26,123.275, 1040,122.65,123.275,122.55
2019-12-24,122.65, 537,122.45,122.725,122.25
2019-12-23,122.4, 711,122.0,122.8,121.75
2019-12-20,122.225, 1519,122.225,122.4,121.8
2019-12-19,122.125, 2086,122.15,122.725,121.925
2019-12-18,122.25, 1655,122.3,122.65,121.825
2019-12-17,122.225, 2347,122.3,122.85,122.2
2019-12-16,122.3, 2278,122.5,122.875,122.0
2019-12-13,122.375, 4776,120.725,122.625,120.475
2019-12-12,120.425, 4418,120.4,120.65,119.95
2019-12-11,120.575, 3005,119.9,120.65,119.9
2019-12-10,119.875, 4305,120.375,120.55,119.825
2019-12-09,120.175, 6188,120.2,120.825,120.0
2019-12-06,120.2, 6434,120.0,120.475,119.675
2019-12-05,119.925, 6561,119.5,120.55,119.275
2019-12-04,119.45, 11009,120.6,120.7,119.4
2019-12-03,120.55, 7292,120.75,120.95,120.275
2019-12-02,120.75, 9888,120.975,121.075,120.275
2019-11-29,121.2, 9145,121.85,122.075,120.925
2019-11-27,121.425, 14901,120.775,121.85,120.35
2019-11-26,120.4, 9358,119.9,120.775,119.6
2019-11-25,119.7, 12958,119.0,120.525,118.85
2019-11-22,118.675, 13859,119.1,119.35,118.25
2019-11-21,119.325, 16562,119.4,119.95,119.075
2019-11-20,119.3, 16101,118.55,119.525,118.15
2019-11-19,118.775, 17777,118.675,118.9,117.7
2019-11-18,118.7, 17591,119.1,119.15,118.5
2019-11-15,119.1, 16974,119.075,119.425,118.575
2019-11-14,119.075, 23780,117.8,119.275,117.7
2019-11-13,118.1, 40222,119.825,119.85,117.35
2019-11-12,119.75, 27442,119.7,119.975,119.05
2019-11-11,119.875, 31002,119.45,119.95,118.825
2019-11-08,119.25, 29563,119.075,119.65,118.525
2019-11-07,119.175, 29647,118.95,119.375,118.8
2019-11-06,119.0, 22814,118.625,119.175,118.2
2019-11-05,119.45, 23867,120.0,120.15,118.9
2019-11-04,120.075, 24891,119.525,120.325,119.05
2019-11-01,119.525, 29461,117.225,119.7,117.125
2019-10-31,111.675, 46,113.5,114.15,111.0
2019-10-30,113.375, 403,113.05,114.425,112.7
2019-10-29,113.35, 1022,112.75,113.35,112.175
2019-10-28,112.875, 600,112.575,113.0,111.8
2019-10-25,111.975, 599,110.5,112.1,110.375
2019-10-24,110.425, 1856,110.6,111.5,110.0
2019-10-23,110.2, 2708,109.525,110.45,108.925
2019-10-22,109.875, 1349,110.75,110.9,109.7
2019-10-21,110.95, 1107,110.4,111.15,109.725
2019-10-18,110.475, 1945,112.5,112.5,109.55
2019-10-17,112.4, 1272,112.3,112.5,111.65
2019-10-16,112.35, 1883,111.0,112.5,111.0
2019-10-15,111.0, 1812,110.775,111.1,110.225
2019-10-14,110.625, 1016,109.7,110.85,109.6
2019-10-11,109.45, 3337,108.8,109.6,108.65
2019-10-10,108.725, 1229,108.45,108.925,108.075
2019-10-09,108.475, 1948,108.25,108.85,107.85
2019-10-08,108.175, 2720,108.475,108.85,108.075
2019-10-07,108.25, 3451,107.575,108.475,107.35
2019-10-04,107.35, 7097,106.65,107.8,106.3
2019-10-03,106.8, 6490,106.125,107.0,105.825
2019-10-02,106.05, 8520,104.85,106.3,104.5
2019-10-01,104.625, 7887,104.625,105.175,104.25
2019-09-30,104.575, 8729,105.125,105.2,104.325
2019-09-27,105.025, 15254,103.25,105.25,103.2
2019-09-26,102.95, 9188,103.1,103.35,102.55
2019-09-25,103.0, 8452,102.3,103.25,102.025
2019-09-24,102.125, 11800,101.75,102.85,101.65
2019-09-23,101.85, 10727,100.5,102.1,100.5
2019-09-20,99.35, 10525,99.925,100.125,98.95
2019-09-19,99.8, 12167,100.25,100.625,99.625
2019-09-18,100.375, 12677,99.35,100.5,99.0
2019-09-17,99.35, 18347,98.2,99.9,97.625
2019-09-16,98.0, 23352,98.3,99.35,97.725
2019-09-13,98.075, 31383,98.975,99.55,98.0
2019-09-12,98.725, 43020,99.025,99.5,97.675
2019-09-11,98.5, 40811,96.45,99.025,95.975
2019-09-10,96.15, 40759,93.9,96.6,93.75
2019-09-09,94.2, 38846,94.6,95.25,93.4
2019-09-06,94.875, 32025,97.4,97.45,94.875
2019-09-05,97.875, 34143,99.325,99.325,97.175
2019-09-04,99.025, 20235,99.275,99.55,98.65
2019-09-03,99.275, 24904,98.975,99.9,98.475
2019-08-30,105.0, 602,105.65,105.75,104.625
2019-08-29,105.65, 532,105.2,105.95,105.075
2019-08-28,105.075, 525,104.75,105.75,104.75
2019-08-27,104.75, 1074,105.5,105.55,104.7
2019-08-26,105.475, 664,105.4,105.75,104.5
2019-08-23,104.625, 1628,105.05,105.125,104.0
2019-08-22,104.975, 1214,103.15,105.075,103.025
2019-08-21,102.675, 1584,102.0,103.3,102.0
2019-08-20,101.8, 1396,100.5,102.15,100.5
2019-08-19,100.2, 1393,100.6,101.75,100.15
2019-08-16,99.925, 1193,100.8,101.0,99.7
2019-08-15,100.2, 1875,100.5,101.3,100.0
2019-08-14,100.2, 3367,100.0,101.15,99.75
2019-08-13,100.55, 4140,100.55,101.5,100.55
2019-08-12,105.05, 2480,105.05,105.05,105.05
2019-08-09,108.05, 3306,108.0,108.4,107.55
2019-08-08,107.95, 1564,107.725,108.25,107.425
2019-08-07,107.6, 2690,107.125,108.25,106.9
2019-08-06,107.125, 2757,108.0,108.75,106.975
2019-08-05,107.8, 6038,107.45,108.7,105.1
2019-08-02,107.65, 10617,108.2,108.5,107.55
2019-08-01,107.875, 14145,107.125,108.925,106.9
2019-07-31,106.9, 12373,108.475,108.475,106.575
2019-07-30,108.1, 10663,108.5,108.55,107.5
2019-07-29,108.65, 11312,109.125,109.6,108.575
2019-07-26,108.65, 6263,108.725,109.1,108.55
2019-07-25,108.65, 9180,108.9,109.325,108.55
2019-07-24,108.9, 7468,109.0,109.275,108.65
2019-07-23,109.05, 7722,108.2,109.2,108.2
2019-07-22,108.45, 8124,107.75,108.5,107.4
2019-07-19,107.6, 8039,107.475,107.85,107.1
2019-07-18,107.4, 13354,108.475,108.5,107.175
2019-07-17,108.125, 15682,108.25,108.25,107.375
2019-07-16,108.225, 15273,108.65,108.65,107.8
2019-07-15,108.5, 26787,108.275,108.975,107.575
2019-07-12,108.475, 31612,108.2,108.725,107.725
2019-07-11,107.875, 29892,107.75,108.05,107.1
2019-07-10,107.625, 30191,107.975,108.125,107.25
2019-07-09,108.125, 34576,106.275,108.425,105.85
2019-07-08,106.15, 29479,107.1,107.325,106.075
2019-07-05,107.0, 27483,106.45,107.8,106.4
2019-07-03,105.45, 21779,104.475,106.15,104.3
2019-07-02,104.1, 25101,104.15,105.2,103.875
2019-07-01,104.1, 24335,105.0,105.35,103.75
2019-06-28,110.5, 780,110.875,112.325,110.3
2019-06-27,110.575, 1134,109.225,111.0,109.15
2019-06-26,109.0, 1468,107.875,109.55,107.875
2019-06-25,107.75, 1486,107.225,107.875,107.0
2019-06-24,106.925, 1671,106.775,107.4,106.325
2019-06-21,106.55, 3370,108.3,108.3,106.425
2019-06-20,108.175, 3277,108.725,109.1,108.0
2019-06-19,108.5, 3213,109.25,109.35,108.35
2019-06-18,109.45, 1840,109.5,109.85,109.175
2019-06-17,109.45, 2485,108.925,109.475,108.45
2019-06-14,108.775, 2697,109.15,109.375,108.6
2019-06-13,109.05, 3376,109.725,109.9,108.3
2019-06-12,109.65, 4175,110.825,111.0,108.775
2019-06-11,110.675, 2831,109.8,110.85,109.725
2019-06-10,109.7, 7215,107.5,109.75,106.8
2019-06-07,106.925, 6701,107.85,108.2,106.5
2019-06-06,107.6, 8561,108.05,108.25,107.3
2019-06-05,107.85, 10069,107.75,108.35,107.45
2019-06-04,107.55, 11914,107.35,108.05,107.1
2019-06-03,106.775, 13211,108.95,109.3,106.525
2019-05-31,108.475, 11308,110.075,110.9,107.65
2019-05-30,110.075, 18017,112.45,113.025,109.9
2019-05-29,112.35, 12007,111.3,112.55,111.125
2019-05-28,111.55, 12960,111.975,112.425,111.0
2019-05-24,111.175, 7687,110.925,111.3,110.6
2019-05-23,110.8, 8749,110.75,111.65,110.55
2019-05-22,110.65, 10123,110.725,111.25,110.325
2019-05-21,110.85, 14493,111.85,111.875,110.4
2019-05-20,111.35, 14199,111.75,111.8,110.8
2019-05-17,111.275, 22934,111.0,112.5,110.625
2019-05-16,110.475, 20524,109.725,111.025,109.05
2019-05-15,109.675, 24285,109.75,110.275,109.2
2019-05-14,109.5, 25676,110.1,111.55,109.35
2019-05-13,109.75, 42110,112.075,112.175,109.6
2019-05-10,112.45, 41135,112.0,113.725,111.375
2019-05-09,111.95, 38518,110.875,112.25,110.875
2019-05-08,111.075, 42557,112.475,112.8,110.925
2019-05-07,112.275, 40411,112.5,112.925,111.975
2019-05-06,112.275, 42066,112.725,114.875,111.875
2019-05-03,113.425, 32621,113.675,114.475,113.225
2019-05-02,113.675, 31451,114.3,114.475,113.45
2019-05-01,113.875, 30855,114.425,114.775,113.775
2019-04-30,123.75, 332,124.95,125.75,123.75
