Date, Close/Last, Volume, Open, High, Low
2020-04-21,758.4, 16392,787.5,791.5,716.8
2020-04-20,796.0, 5653,789.1,803.1,785.3
2020-04-17,781.3, N/A,781.3,781.3,781.3
2020-04-16,793.3, 10285,804.5,820.5,779.9
2020-04-15,804.6, 10402,819.7,831.9,796.4
2020-04-14,819.7, 21769,753.0,838.2,751.2
2020-04-13,745.8, 3,745.8,745.8,745.8
2020-04-09,744.6, 1,738.4,738.4,738.4
2020-04-08,733.6, 9906,736.0,760.2,725.7
2020-04-07,745.0, 8834,739.0,750.4,732.2
2020-04-06,728.0, 6,720.8,720.8,719.5
2020-04-03,714.1, 6,721.8,722.0,721.8
2020-04-02,730.0, 7674,719.2,734.9,712.8
2020-04-01,717.8, 9827,721.9,727.7,701.2
2020-03-31,724.4, 69,717.7,723.6,713.1
2020-03-30,723.8, 10713,736.0,745.1,710.9
2020-03-27,740.0, 6,732.3,734.3,732.3
2020-03-26,737.1, 11835,739.7,747.3,705.5
2020-03-25,745.9, 14400,714.5,748.0,709.3
2020-03-24,701.7, N/A,701.7,701.7,701.7
2020-03-23,627.6, 7375,621.0,650.9,595.5
2020-03-20,621.6, N/A,621.6,621.6,621.6
2020-03-19,597.1, 5066,623.8,647.6,585.1
2020-03-18,605.0, 30473,663.3,681.8,603.4
2020-03-17,664.4, N/A,664.4,664.4,664.4
2020-03-16,657.7, 41434,769.4,775.0,562.0
2020-03-13,743.9, 37951,768.4,818.1,736.8
2020-03-12,781.8, 44496,863.5,868.8,750.2
2020-03-11,868.2, 18786,872.0,886.6,862.9
2020-03-10,868.5, N/A,868.5,868.5,868.5
2020-03-09,862.8, 29198,904.6,916.1,860.9
2020-03-06,896.4, 39923,866.2,905.9,855.2
2020-03-05,864.6, N/A,864.6,864.6,864.6
2020-03-04,875.2, 22317,878.0,889.4,866.6
2020-03-03,868.2, N/A,868.2,868.2,868.2
2020-03-02,858.3, 2,858.3,858.3,858.3
2020-02-28,862.8, N/A,862.8,862.8,862.8
2020-02-27,905.5, 29714,920.0,924.8,898.4
2020-02-26,914.8, 35551,913.4,915.2,912.4
2020-02-25,932.3, 34533,968.9,972.1,922.6
