Date, Close/Last, Volume, Open, High, Low
2020-04-21,14.991, 17834,15.675,15.71,14.715
2020-04-20,15.75, 10315,15.425,15.805,15.325
2020-04-17,15.237, N/A,15.237,15.237,15.237
2020-04-16,15.766, 8791,15.79,16.045,15.585
2020-04-15,15.654, 9633,16.25,16.255,15.625
2020-04-14,16.341, 16859,15.835,16.505,15.835
2020-04-13,15.479, N/A,15.479,15.479,15.479
2020-04-09,15.995, 15,15.14,15.865,15.14
2020-04-08,15.205, 38856,15.305,15.445,15.11
2020-04-07,15.48, 63736,15.28,15.93,15.205
2020-04-06,15.111, 28,14.55,15.025,14.55
2020-04-03,14.436, 6,14.59,14.59,14.55
2020-04-02,14.654, 53256,14.055,14.72,13.99
2020-04-01,13.984, 42181,14.145,14.265,13.895
2020-03-31,14.098, 27,13.98,14.245,13.98
2020-03-30,14.132, 57586,14.7,14.71,13.945
2020-03-27,14.498, 80,14.335,14.45,14.335
2020-03-26,14.676, 49336,14.77,14.98,14.4
2020-03-25,14.873, 73082,14.415,14.93,14.205
2020-03-24,14.229, 176,13.36,14.075,13.36
2020-03-23,13.261, 71470,12.615,13.33,12.29
2020-03-20,12.349, 95,12.08,12.86,12.08
2020-03-19,12.134, 71565,11.975,12.33,11.76
2020-03-18,11.772, 109368,12.61,12.905,11.64
2020-03-17,12.469, 194,12.55,12.71,12.415
2020-03-16,12.816, 134597,15.1,15.245,11.77
2020-03-13,14.5, 153960,15.825,15.89,14.425
2020-03-12,16.005, 136523,16.72,16.91,15.505
2020-03-11,16.776, 54867,16.875,17.11,16.66
2020-03-10,16.906, 97,16.85,17.145,16.765
2020-03-09,17.054, 124720,17.49,17.615,16.55
2020-03-06,17.263, 91903,17.45,17.575,17.015
2020-03-05,17.342, 66,17.155,17.405,17.12
2020-03-04,17.246, 63170,17.205,17.335,17.075
2020-03-03,17.129, 307,16.875,17.32,16.74
2020-03-02,16.679, 458,16.495,16.975,16.39
2020-02-28,16.387, 709,17.69,17.795,16.34
2020-02-27,17.735, 116172,18.04,18.05,17.63
2020-02-26,17.914, 120846,17.93,17.965,17.915
2020-02-25,18.268, 109636,18.24,18.315,17.9
2020-02-24,18.96, 66356,18.955,18.955,18.595
2020-02-21,18.521, 11,18.565,18.565,18.48
2020-02-20,18.319, 96518,18.425,18.44,18.205
2020-02-19,18.311, 91746,18.155,18.45,18.135
2020-02-18,18.131, N/A,18.131,18.131,18.131
2020-02-14,17.715, N/A,17.715,17.715,17.715
2020-02-13,17.619, 65730,17.455,17.715,17.44
2020-02-12,17.497, 67787,17.62,17.65,17.435
2020-02-11,17.573, 7,17.695,17.715,17.695
2020-02-10,17.785, 52976,17.705,17.825,17.665
2020-02-07,17.665, 7,17.665,17.665,17.665
2020-02-06,17.818, 58118,17.61,17.875,17.575
2020-02-05,17.602, 57682,17.565,17.71,17.465
2020-02-04,17.561, 57771,17.65,17.77,17.51
2020-02-03,17.67, 80029,18.1,18.125,17.58
2020-01-31,17.972, 1,17.972,17.972,17.972
2020-01-30,17.992, 91784,17.54,18.04,17.52
2020-01-29,17.487, 57355,17.44,17.575,17.28
2020-01-28,17.458, 103394,18.095,18.115,17.42
2020-01-27,18.056, 66431,18.26,18.375,18.04
2020-01-24,18.057, 280,18.05,18.05,18.05
2020-01-23,17.829, 67947,17.835,17.91,17.59
2020-01-22,17.828, 56750,17.85,17.855,17.795
2020-01-21,17.751, 175,17.751,17.751,17.751
2020-01-17,18.013, 67,18.013,18.013,18.013
2020-01-16,17.939, 57366,18.01,18.055,17.875
2020-01-15,17.988, 72239,17.8,18.055,17.755
2020-01-14,17.742, 81365,17.975,17.985,17.69
2020-01-13,17.996, 57954,18.13,18.13,17.935
2020-01-10,18.033, 2,18.033,18.033,18.033
2020-01-09,17.936, 99154,18.12,18.225,17.815
2020-01-08,18.167, 177941,18.115,18.19,18.115
2020-01-07,18.393, 108230,18.185,18.47,17.975
2020-01-06,18.179, 132871,18.17,18.55,18.045
2020-01-03,18.068, 83,18.11,18.11,17.965
2020-01-02,18.046, 86726,17.905,18.15,17.83
2019-12-31,17.828, 232,18.065,18.065,17.8
2019-12-30,18.001, 61599,17.86,18.02,17.83
2019-12-27,17.943, 68954,17.995,18.05,17.815
2019-12-26,17.99, 86611,17.83,18.135,17.81
