Date, Close/Last, Volume, Open, High, Low
2020-04-21,2318, N/A,2318,2318,2318
2020-04-20,2358, N/A,2358,2358,2358
2020-04-17,2368, N/A,2368,2368,2368
2020-04-16,2235, N/A,2235,2235,2235
2020-04-15,2205, N/A,2205,2205,2205
2020-04-14,2265, N/A,2265,2265,2265
2020-04-13,2253, N/A,2253,2253,2253
2020-04-09,2305, N/A,2305,2305,2305
2020-04-08,2379, N/A,2379,2379,2379
2020-04-07,2410, N/A,2410,2410,2410
2020-04-06,2366, N/A,2366,2366,2366
2020-04-03,2264, N/A,2264,2264,2264
2020-04-02,2285, N/A,2285,2285,2285
2020-04-01,2227, N/A,2227,2227,2227
2020-03-31,2249, N/A,2249,2249,2249
2020-03-30,2265, N/A,2265,2265,2265
2020-03-27,2257, N/A,2257,2257,2257
2020-03-26,2255, N/A,2255,2255,2255
2020-03-25,2248, N/A,2248,2248,2248
2020-03-24,2275, N/A,2275,2275,2275
2020-03-23,2257, N/A,2257,2257,2257
2020-03-20,2230, N/A,2230,2230,2230
2020-03-19,2216, N/A,2216,2216,2216
2020-03-18,2284, N/A,2284,2284,2284
2020-03-17,2318, N/A,2318,2318,2318
2020-03-16,2331, N/A,2331,2331,2331
2020-03-13,2425, N/A,2425,2425,2425
2020-03-12,2495, N/A,2495,2495,2495
2020-03-11,2625, N/A,2625,2625,2625
2020-03-10,2577, N/A,2577,2577,2577
2020-03-09,2545, N/A,2545,2545,2545
2020-03-06,2561, N/A,2561,2561,2561
2020-03-05,2597, N/A,2597,2597,2597
2020-03-04,2626, N/A,2626,2626,2626
2020-03-03,2653, N/A,2653,2653,2653
2020-03-02,2661, N/A,2661,2661,2661
2020-02-28,2672, N/A,2672,2672,2672
2020-02-27,2745, N/A,2745,2745,2745
2020-02-26,2739, N/A,2739,2739,2739
2020-02-25,2806, N/A,2806,2806,2806
2020-02-24,2801, N/A,2801,2801,2801
2020-02-21,2843, N/A,2843,2843,2843
2020-02-20,2860, N/A,2860,2860,2860
2020-02-19,2847, N/A,2847,2847,2847
2020-02-18,2846, N/A,2846,2846,2846
2020-02-14,2886, N/A,2886,2886,2886
2020-02-13,2988, N/A,2988,2988,2988
2020-02-12,2904, N/A,2904,2904,2904
2020-02-11,2918, N/A,2918,2918,2918
2020-02-10,2940, N/A,2940,2940,2940
2020-02-07,2900, N/A,2900,2900,2900
2020-02-06,2849, N/A,2849,2849,2849
2020-02-05,2790, N/A,2790,2790,2790
2020-02-04,2757, N/A,2757,2757,2757
2020-02-03,2734, N/A,2734,2734,2734
2020-01-30,2801, N/A,2801,2801,2801
2020-01-29,2727, N/A,2727,2727,2727
2020-01-28,2703, N/A,2703,2703,2703
2020-01-27,2734, N/A,2734,2734,2734
2020-01-24,2733, N/A,2733,2733,2733
2020-01-23,2771, N/A,2771,2771,2771
2020-01-22,2803, N/A,2803,2803,2803
2020-01-21,2818, N/A,2818,2818,2818
2020-01-17,2797, N/A,2797,2797,2797
2020-01-16,2712, N/A,2712,2712,2712
2020-01-15,2689, N/A,2689,2689,2689
2020-01-14,2655, N/A,2655,2655,2655
2020-01-13,2583, N/A,2583,2583,2583
2020-01-10,2589, N/A,2589,2589,2589
2020-01-09,2554, N/A,2554,2554,2554
2020-01-08,2501, N/A,2501,2501,2501
2020-01-07,2533, N/A,2533,2533,2533
2020-01-06,2484, N/A,2484,2484,2484
2020-01-03,2519, N/A,2519,2519,2519
2020-01-02,2532, N/A,2532,2532,2532
2019-12-31,2540, N/A,2540,2540,2540
2019-12-30,2463, N/A,2463,2463,2463
2019-12-27,2497, N/A,2497,2497,2497
2019-12-26,2405, N/A,2405,2405,2405
2019-12-24,2443, N/A,2443,2443,2443
2019-12-23,2427, N/A,2427,2427,2427
2019-12-20,2417, N/A,2417,2417,2417
2019-12-19,2435, N/A,2435,2435,2435
2019-12-18,2506, N/A,2506,2506,2506
