Date, Close/Last, Volume, Open, High, Low
2020-04-21,1.0965, N/A,1.0965,1.0965,1.0965
2020-04-20,1.1365, N/A,1.1365,1.1365,1.1365
2020-04-17,1.1605, N/A,1.1605,1.1605,1.1605
2020-04-16,1.186, N/A,1.186,1.186,1.186
2020-04-15,1.202, N/A,1.202,1.202,1.202
2020-04-14,1.172, N/A,1.172,1.172,1.172
2020-04-13,1.1975, N/A,1.1975,1.1975,1.1975
2020-04-09,1.186, N/A,1.186,1.186,1.186
2020-04-08,1.198, N/A,1.198,1.198,1.198
2020-04-07,1.199, N/A,1.199,1.199,1.199
2020-04-06,1.1665, N/A,1.1665,1.1665,1.1665
2020-04-03,1.149, N/A,1.149,1.149,1.149
2020-04-02,1.1935, N/A,1.1935,1.1935,1.1935
2020-04-01,1.16, N/A,1.16,1.16,1.16
2020-03-31,1.1955, N/A,1.1955,1.1955,1.1955
2020-03-30,1.193, N/A,1.193,1.193,1.193
2020-03-27,1.1585, N/A,1.1585,1.1585,1.1585
2020-03-26,1.2465, N/A,1.2465,1.2465,1.2465
2020-03-25,1.2995, N/A,1.2995,1.2995,1.2995
2020-03-24,1.256, N/A,1.256,1.256,1.256
2020-03-23,1.2125, N/A,1.2125,1.2125,1.2125
2020-03-20,1.197, N/A,1.197,1.197,1.197
2020-03-19,1.127, N/A,1.127,1.127,1.127
2020-03-18,1.083, N/A,1.083,1.083,1.083
2020-03-17,1.026, N/A,1.026,1.026,1.026
2020-03-16,1.039, N/A,1.039,1.039,1.039
2020-03-13,1.0675, N/A,1.0675,1.0675,1.0675
2020-03-12,1.0885, N/A,1.0885,1.0885,1.0885
2020-03-11,1.1205, N/A,1.1205,1.1205,1.1205
2020-03-10,1.1435, N/A,1.1435,1.1435,1.1435
2020-03-09,1.092, N/A,1.092,1.092,1.092
2020-03-06,1.074, N/A,1.074,1.074,1.074
2020-03-05,1.1135, N/A,1.1135,1.1135,1.1135
2020-03-04,1.184, N/A,1.184,1.184,1.184
2020-03-03,1.222, N/A,1.222,1.222,1.222
2020-03-02,1.156, N/A,1.156,1.156,1.156
2020-02-28,1.1135, N/A,1.1135,1.1135,1.1135
2020-02-27,1.0975, N/A,1.0975,1.0975,1.0975
2020-02-26,1.1065, N/A,1.1065,1.1065,1.1065
2020-02-25,1.085, N/A,1.085,1.085,1.085
2020-02-24,1.069, N/A,1.069,1.069,1.069
2020-02-21,1.1025, N/A,1.1025,1.1025,1.1025
2020-02-20,1.0495, N/A,1.0495,1.0495,1.0495
2020-02-19,1.068, N/A,1.068,1.068,1.068
2020-02-18,1.0655, N/A,1.0655,1.0655,1.0655
2020-02-14,1.091, N/A,1.091,1.091,1.091
2020-02-13,1.0445, N/A,1.0445,1.0445,1.0445
2020-02-12,1.0065, N/A,1.0065,1.0065,1.0065
2020-02-11,1.005, N/A,1.005,1.005,1.005
2020-02-10,1.003, N/A,1.003,1.003,1.003
