Date, Close/Last, Volume, Open, High, Low
2020-04-21,0.5331, N/A,0.5331,0.5331,0.5331
2020-04-20,0.5403, N/A,0.5403,0.5403,0.5403
2020-04-17,0.5277, N/A,0.5277,0.5277,0.5277
2020-04-16,0.5279, N/A,0.5279,0.5279,0.5279
2020-04-15,0.5275, N/A,0.5275,0.5275,0.5275
2020-04-14,0.5251, N/A,0.5251,0.5251,0.5251
2020-04-13,0.5276, N/A,0.5276,0.5276,0.5276
2020-04-09,0.5437, N/A,0.5437,0.5437,0.5437
2020-04-08,0.5384, N/A,0.5384,0.5384,0.5384
2020-04-07,0.529, N/A,0.529,0.529,0.529
2020-04-06,0.5305, N/A,0.5305,0.5305,0.5305
2020-04-03,0.5098, N/A,0.5098,0.5098,0.5098
2020-04-02,0.4999, N/A,0.4999,0.4999,0.4999
2020-04-01,0.4841, 2,0.49,0.49,0.49
2020-03-31,0.5113, 2,0.505,0.505,0.505
2020-03-30,0.507, N/A,0.507,0.507,0.507
2020-03-27,0.5133, 2,0.5135,0.5135,0.5135
2020-03-26,0.5278, N/A,0.5278,0.5278,0.5278
2020-03-25,0.5344, N/A,0.5344,0.5344,0.5344
2020-03-24,0.5289, 1,0.5454,0.5454,0.5454
2020-03-23,0.5215, 1,0.513,0.513,0.513
2020-03-20,0.5368, N/A,0.5368,0.5368,0.5368
2020-03-19,0.5493, N/A,0.5493,0.5493,0.5493
2020-03-18,0.5664, N/A,0.5664,0.5664,0.5664
2020-03-17,0.5792, N/A,0.5792,0.5792,0.5792
2020-03-16,0.588, N/A,0.588,0.588,0.588
2020-03-13,0.6049, N/A,0.6049,0.6049,0.6049
2020-03-12,0.597, N/A,0.597,0.597,0.597
2020-03-11,0.6155, N/A,0.6155,0.6155,0.6155
2020-03-10,0.6141, N/A,0.6141,0.6141,0.6141
2020-03-09,0.6121, N/A,0.6121,0.6121,0.6121
2020-03-06,0.6279, N/A,0.6279,0.6279,0.6279
2020-03-05,0.6335, N/A,0.6335,0.6335,0.6335
2020-03-04,0.6298, N/A,0.6298,0.6298,0.6298
2020-03-03,0.6277, N/A,0.6277,0.6277,0.6277
2020-03-02,0.6338, N/A,0.6338,0.6338,0.6338
2020-02-28,0.6149, 1,0.6059,0.6059,0.6059
2020-02-27,0.625, 1,0.65,0.65,0.65
2020-02-26,0.6547, N/A,0.6547,0.6547,0.6547
2020-02-25,0.663, N/A,0.663,0.663,0.663
2020-02-24,0.6756, N/A,0.6756,0.6756,0.6756
2020-02-21,0.6893, N/A,0.6893,0.6893,0.6893
2020-02-20,0.6875, N/A,0.6875,0.6875,0.6875
2020-02-19,0.6848, N/A,0.6848,0.6848,0.6848
2020-02-18,0.6787, N/A,0.6787,0.6787,0.6787
2020-02-14,0.6741, N/A,0.6741,0.6741,0.6741
2020-02-13,0.6775, N/A,0.6775,0.6775,0.6775
2020-02-12,0.6858, N/A,0.6858,0.6858,0.6858
2020-02-11,0.6823, N/A,0.6823,0.6823,0.6823
2020-02-10,0.6819, N/A,0.6819,0.6819,0.6819
2020-02-07,0.6775, N/A,0.6775,0.6775,0.6775
2020-02-06,0.6791, N/A,0.6791,0.6791,0.6791
2020-02-05,0.6751, N/A,0.6751,0.6751,0.6751
2020-02-04,0.6735, N/A,0.6735,0.6735,0.6735
2020-02-03,0.6684, N/A,0.6684,0.6684,0.6684
2020-01-31,0.675, N/A,0.675,0.675,0.675
2020-01-30,0.6905, N/A,0.6905,0.6905,0.6905
2020-01-29,0.7006, N/A,0.7006,0.7006,0.7006
2020-01-28,0.7036, 1,0.7016,0.7016,0.7016
2020-01-27,0.6951, N/A,0.6951,0.6951,0.6951
2020-01-24,0.694, 1,0.6925,0.6925,0.6925
2020-01-23,0.7003, N/A,0.7003,0.7003,0.7003
2020-01-22,0.7113, N/A,0.7113,0.7113,0.7113
2020-01-21,0.6924, N/A,0.6924,0.6924,0.6924
2020-01-17,0.7125, N/A,0.7125,0.7125,0.7125
2020-01-16,0.7022, 1,0.6989,0.6989,0.6989
2020-01-15,0.7032, N/A,0.7032,0.7032,0.7032
2020-01-14,0.7138, N/A,0.7138,0.7138,0.7138
2020-01-13,0.7153, N/A,0.7153,0.7153,0.7153
2020-01-10,0.7131, N/A,0.7131,0.7131,0.7131
2020-01-09,0.7069, N/A,0.7069,0.7069,0.7069
2020-01-08,0.6996, N/A,0.6996,0.6996,0.6996
2020-01-07,0.6983, N/A,0.6983,0.6983,0.6983
2020-01-06,0.7004, 1,0.7,0.7,0.7
2020-01-03,0.692, 1,0.6915,0.6915,0.6915
2020-01-02,0.6927, N/A,0.6927,0.6927,0.6927
2019-12-31,0.6905, N/A,0.6905,0.6905,0.6905
2019-12-30,0.6956, N/A,0.6956,0.6956,0.6956
2019-12-27,0.6892, N/A,0.6892,0.6892,0.6892
2019-12-24,0.687, N/A,0.687,0.687,0.687
2019-12-23,0.6861, N/A,0.6861,0.6861,0.6861
2019-12-20,0.6796, N/A,0.6796,0.6796,0.6796
2019-12-19,0.6758, N/A,0.6758,0.6758,0.6758
2019-12-18,0.6674, N/A,0.6674,0.6674,0.6674
2019-12-17,0.6644, N/A,0.6644,0.6644,0.6644
2019-12-16,0.6697, N/A,0.6697,0.6697,0.6697
2019-12-13,0.668, N/A,0.668,0.668,0.668
2019-12-12,0.6717, N/A,0.6717,0.6717,0.6717
2019-12-11,0.6588, N/A,0.6588,0.6588,0.6588
2019-12-10,0.6593, N/A,0.6593,0.6593,0.6593
2019-12-09,0.6538, 1,0.6529,0.6529,0.6529
2019-12-06,0.66, N/A,0.66,0.66,0.66
2019-12-05,0.6451, N/A,0.6451,0.6451,0.6451
2019-12-04,0.647, N/A,0.647,0.647,0.647
2019-12-03,0.6405, N/A,0.6405,0.6405,0.6405
2019-12-02,0.648, N/A,0.648,0.648,0.648
2019-11-29,0.6536, N/A,0.6536,0.6536,0.6536
2019-11-27,0.6581, N/A,0.6581,0.6581,0.6581
2019-11-26,0.6595, N/A,0.6595,0.6595,0.6595
2019-11-25,0.658, N/A,0.658,0.658,0.658
2019-11-22,0.6485, N/A,0.6485,0.6485,0.6485
2019-11-21,0.6184, N/A,0.6184,0.6184,0.6184
2019-11-20,0.6224, N/A,0.6224,0.6224,0.6224
2019-11-19,0.6344, N/A,0.6344,0.6344,0.6344
2019-11-18,0.6421, N/A,0.6421,0.6421,0.6421
2019-11-15,0.6486, N/A,0.6486,0.6486,0.6486
2019-11-14,0.6427, N/A,0.6427,0.6427,0.6427
2019-11-13,0.6422, N/A,0.6422,0.6422,0.6422
2019-11-12,0.6474, N/A,0.6474,0.6474,0.6474
2019-11-11,0.6429, N/A,0.6429,0.6429,0.6429
2019-11-08,0.6472, N/A,0.6472,0.6472,0.6472
2019-11-07,0.6435, N/A,0.6435,0.6435,0.6435
2019-11-06,0.6369, N/A,0.6369,0.6369,0.6369
2019-11-05,0.6381, N/A,0.6381,0.6381,0.6381
2019-11-04,0.6366, N/A,0.6366,0.6366,0.6366
2019-11-01,0.6423, N/A,0.6423,0.6423,0.6423
2019-10-31,0.6444, N/A,0.6444,0.6444,0.6444
2019-10-30,0.657, N/A,0.657,0.657,0.657
2019-10-29,0.6472, N/A,0.6472,0.6472,0.6472
2019-10-28,0.6479, N/A,0.6479,0.6479,0.6479
2019-10-25,0.649, N/A,0.649,0.649,0.649
2019-10-24,0.6465, N/A,0.6465,0.6465,0.6465
2019-10-23,0.6495, N/A,0.6495,0.6495,0.6495
2019-10-22,0.6467, N/A,0.6467,0.6467,0.6467
2019-10-21,0.6456, N/A,0.6456,0.6456,0.6456
2019-10-18,0.6516, N/A,0.6516,0.6516,0.6516
2019-10-17,0.6499, N/A,0.6499,0.6499,0.6499
2019-10-16,0.6454, N/A,0.6454,0.6454,0.6454
2019-10-15,0.6353, N/A,0.6353,0.6353,0.6353
2019-10-14,0.6222, N/A,0.6222,0.6222,0.6222
2019-10-11,0.6388, N/A,0.6388,0.6388,0.6388
2019-10-10,0.6142, N/A,0.6142,0.6142,0.6142
2019-10-09,0.6209, N/A,0.6209,0.6209,0.6209
2019-10-08,0.6132, N/A,0.6132,0.6132,0.6132
2019-10-07,0.6183, 2,0.6214,0.6214,0.6214
2019-10-04,0.6167, N/A,0.6167,0.6167,0.6167
2019-10-03,0.616, N/A,0.616,0.616,0.616
2019-10-02,0.6133, N/A,0.6133,0.6133,0.6133
2019-10-01,0.6098, N/A,0.6098,0.6098,0.6098
2019-09-30,0.6083, N/A,0.6083,0.6083,0.6083
2019-09-27,0.609, N/A,0.609,0.609,0.609
2019-09-26,0.6028, N/A,0.6028,0.6028,0.6028
2019-09-25,0.6045, N/A,0.6045,0.6045,0.6045
2019-09-24,0.604, N/A,0.604,0.604,0.604
2019-09-23,0.5983, N/A,0.5983,0.5983,0.5983
2019-09-20,0.5913, N/A,0.5913,0.5913,0.5913
2019-09-19,0.6033, N/A,0.6033,0.6033,0.6033
2019-09-18,0.5936, N/A,0.5936,0.5936,0.5936
2019-09-17,0.6138, N/A,0.6138,0.6138,0.6138
2019-09-16,0.6159, N/A,0.6159,0.6159,0.6159
2019-09-13,0.6163, N/A,0.6163,0.6163,0.6163
2019-09-12,0.6221, N/A,0.6221,0.6221,0.6221
2019-09-11,0.5937, 3,0.5939,0.5939,0.5939
2019-09-10,0.5934, 3,0.5965,0.5965,0.5925
2019-09-09,0.5912, N/A,0.5912,0.5912,0.5912
2019-09-06,0.5873, N/A,0.5873,0.5873,0.5873
2019-09-05,0.5916, N/A,0.5916,0.5916,0.5916
2019-09-04,0.5821, N/A,0.5821,0.5821,0.5821
2019-09-03,0.5786, N/A,0.5786,0.5786,0.5786
2019-08-30,0.5883, N/A,0.5883,0.5883,0.5883
2019-08-29,0.59, N/A,0.59,0.59,0.59
2019-08-28,0.5873, N/A,0.5873,0.5873,0.5873
2019-08-27,0.5792, N/A,0.5792,0.5792,0.5792
2019-08-26,0.5782, N/A,0.5782,0.5782,0.5782
2019-08-23,0.5821, N/A,0.5821,0.5821,0.5821
2019-08-22,0.5887, N/A,0.5887,0.5887,0.5887
2019-08-21,0.5994, N/A,0.5994,0.5994,0.5994
2019-08-20,0.5914, N/A,0.5914,0.5914,0.5914
2019-08-19,0.5924, N/A,0.5924,0.5924,0.5924
2019-08-16,0.6013, N/A,0.6013,0.6013,0.6013
2019-08-15,0.5962, N/A,0.5962,0.5962,0.5962
2019-08-14,0.5957, N/A,0.5957,0.5957,0.5957
2019-08-13,0.5941, N/A,0.5941,0.5941,0.5941
2019-08-12,0.5814, N/A,0.5814,0.5814,0.5814
2019-08-09,0.589, N/A,0.589,0.589,0.589
2019-08-08,0.5958, N/A,0.5958,0.5958,0.5958
2019-08-07,0.5858, N/A,0.5858,0.5858,0.5858
2019-08-06,0.5872, N/A,0.5872,0.5872,0.5872
2019-08-05,0.5848, N/A,0.5848,0.5848,0.5848
2019-08-02,0.5942, N/A,0.5942,0.5942,0.5942
2019-08-01,0.6237, N/A,0.6237,0.6237,0.6237
2019-07-31,0.6384, N/A,0.6384,0.6384,0.6384
2019-07-30,0.6336, N/A,0.6336,0.6336,0.6336
2019-07-29,0.6421, N/A,0.6421,0.6421,0.6421
