Date, Close/Last, Volume, Open, High, Low
2020-04-21,317.5, 232,324.7,325.6,314.0
2020-04-20,328.6, 261,337.2,342.5,328.6
2020-04-17,341.7, 237,337.9,344.7,329.9
2020-04-16,332.6, 255,322.1,338.8,317.5
2020-04-15,324.0, 217,332.6,334.4,317.5
2020-04-14,331.0, 283,335.5,344.4,330.0
2020-04-13,333.7, 186,326.1,334.7,322.0
2020-04-09,322.1, 273,312.6,322.1,295.2
2020-04-08,304.1, 198,309.5,313.8,300.7
2020-04-07,307.4, 293,294.1,309.0,294.1
2020-04-06,282.0, 93,282.0,282.0,282.0
2020-04-03,264.0, 146,260.6,265.6,255.5
2020-04-02,264.1, 250,260.4,277.0,258.2
2020-04-01,259.8, 347,271.1,271.2,251.5
2020-03-31,278.5, 373,293.0,293.0,278.5
2020-03-30,296.5, 216,305.5,307.1,296.0
2020-03-27,311.3, 202,312.4,317.7,308.0
2020-03-26,320.8, 201,316.3,322.2,311.3
2020-03-25,311.6, 214,319.6,320.0,307.9
2020-03-24,321.5, 194,328.9,329.4,317.0
2020-03-23,320.2, 159,321.4,326.8,310.9
2020-03-20,322.3, 287,325.9,335.4,319.0
2020-03-19,319.8, 265,306.4,321.4,306.4
2020-03-18,303.4, 434,305.4,309.9,292.9
2020-03-17,310.0, 525,318.5,318.5,305.3
2020-03-16,325.0, 58,325.0,325.0,325.0
2020-03-13,343.0, 1127,331.0,344.2,317.1
2020-03-12,331.0, 121,331.0,331.0,331.0
2020-03-11,349.0, 507,355.0,360.7,349.0
2020-03-10,364.8, 904,369.1,370.9,352.1
2020-03-09,356.7, 350,369.8,369.8,356.7
2020-03-06,383.7, 721,396.7,397.4,383.7
2020-03-05,401.7, 410,403.4,410.8,401.2
2020-03-04,410.8, 518,408.3,412.5,399.5
2020-03-03,406.3, 662,425.1,428.2,405.0
2020-03-02,410.9, 618,407.9,426.0,405.7
2020-02-28,410.9, 883,410.5,418.1,410.0
2020-02-27,428.0, 742,434.9,437.3,427.0
2020-02-26,445.0, 554,446.7,446.9,443.4
2020-02-25,451.8, 447,455.5,459.5,450.0
2020-02-24,459.5, 578,461.9,466.7,457.7
2020-02-21,460.1, 373,462.0,464.5,459.2
2020-02-20,463.0, 497,465.0,468.3,460.7
2020-02-19,460.3, 536,451.2,464.1,451.2
2020-02-18,446.1, 219,448.4,452.0,444.8
2020-02-14,449.3, 247,451.5,452.8,445.9
2020-02-13,455.1, 500,456.2,459.9,453.5
