Date, Close/Last, Volume, Open, High, Low
2020-04-21,0.0975, N/A,0.0975,0.0975,0.0975
2020-04-20,0.1006, N/A,0.1006,0.1006,0.1006
2020-04-17,0.1037, N/A,0.1037,0.1037,0.1037
2020-04-15,0.1016, N/A,0.1016,0.1016,0.1016
2020-04-14,0.1005, N/A,0.1005,0.1005,0.1005
2020-04-13,0.1017, N/A,0.1017,0.1017,0.1017
2020-04-09,0.1043, N/A,0.1043,0.1043,0.1043
2020-04-08,0.1037, N/A,0.1037,0.1037,0.1037
2020-04-07,0.1038, N/A,0.1038,0.1038,0.1038
2020-04-06,0.1045, N/A,0.1045,0.1045,0.1045
2020-04-03,0.1031, N/A,0.1031,0.1031,0.1031
2020-04-02,0.1029, N/A,0.1029,0.1029,0.1029
2020-04-01,0.1004, N/A,0.1004,0.1004,0.1004
2020-03-31,0.1042, N/A,0.1042,0.1042,0.1042
2020-03-30,0.1073, N/A,0.1073,0.1073,0.1073
2020-03-27,0.111, N/A,0.111,0.111,0.111
2020-03-26,0.1133, N/A,0.1133,0.1133,0.1133
2020-03-25,0.1141, N/A,0.1141,0.1141,0.1141
2020-03-24,0.1127, N/A,0.1127,0.1127,0.1127
2020-03-23,0.1104, N/A,0.1104,0.1104,0.1104
2020-03-20,0.1091, N/A,0.1091,0.1091,0.1091
2020-03-19,0.1059, N/A,0.1059,0.1059,0.1059
2020-03-18,0.1067, N/A,0.1067,0.1067,0.1067
2020-03-17,0.1089, N/A,0.1089,0.1089,0.1089
2020-03-16,0.1109, N/A,0.1109,0.1109,0.1109
2020-03-13,0.117, N/A,0.117,0.117,0.117
2020-03-12,0.1162, N/A,0.1162,0.1162,0.1162
2020-03-11,0.1226, N/A,0.1226,0.1226,0.1226
2020-03-10,0.1259, N/A,0.1259,0.1259,0.1259
2020-03-09,0.1261, N/A,0.1261,0.1261,0.1261
2020-03-06,0.1302, N/A,0.1302,0.1302,0.1302
2020-03-05,0.1342, N/A,0.1342,0.1342,0.1342
2020-03-04,0.1347, N/A,0.1347,0.1347,0.1347
2020-03-03,0.1376, N/A,0.1376,0.1376,0.1376
2020-03-02,0.1381, N/A,0.1381,0.1381,0.1381
2020-02-28,0.1446, N/A,0.1446,0.1446,0.1446
2020-02-27,0.1439, N/A,0.1439,0.1439,0.1439
2020-02-26,0.1479, N/A,0.1479,0.1479,0.1479
2020-02-25,0.1515, N/A,0.1515,0.1515,0.1515
2020-02-24,0.1527, N/A,0.1527,0.1527,0.1527
2020-02-21,0.1559, N/A,0.1559,0.1559,0.1559
2020-02-20,0.154, N/A,0.154,0.154,0.154
2020-02-19,0.1558, N/A,0.1558,0.1558,0.1558
2020-02-18,0.1528, N/A,0.1528,0.1528,0.1528
2020-02-14,0.1506, N/A,0.1506,0.1506,0.1506
2020-02-13,0.1516, N/A,0.1516,0.1516,0.1516
2020-02-12,0.1578, N/A,0.1578,0.1578,0.1578
2020-02-11,0.1541, N/A,0.1541,0.1541,0.1541
2020-02-10,0.1504, N/A,0.1504,0.1504,0.1504
2020-02-07,0.1492, N/A,0.1492,0.1492,0.1492
2020-02-06,0.1474, N/A,0.1474,0.1474,0.1474
2020-02-05,0.1473, N/A,0.1473,0.1473,0.1473
2020-02-04,0.1471, N/A,0.1471,0.1471,0.1471
2020-02-03,0.1489, N/A,0.1489,0.1489,0.1489
2020-01-31,0.1461, N/A,0.1461,0.1461,0.1461
2020-01-30,0.1459, N/A,0.1459,0.1459,0.1459
2020-01-29,0.1449, N/A,0.1449,0.1449,0.1449
2020-01-28,0.1454, N/A,0.1454,0.1454,0.1454
2020-01-27,0.1421, N/A,0.1421,0.1421,0.1421
2020-01-24,0.1439, N/A,0.1439,0.1439,0.1439
2020-01-23,0.1457, N/A,0.1457,0.1457,0.1457
2020-01-22,0.1466, N/A,0.1466,0.1466,0.1466
2020-01-21,0.1455, N/A,0.1455,0.1455,0.1455
2020-01-17,0.1445, N/A,0.1445,0.1445,0.1445
2020-01-16,0.1443, N/A,0.1443,0.1443,0.1443
2020-01-15,0.1452, N/A,0.1452,0.1452,0.1452
2020-01-14,0.1432, N/A,0.1432,0.1432,0.1432
2020-01-13,0.1416, N/A,0.1416,0.1416,0.1416
2020-01-10,0.1407, N/A,0.1407,0.1407,0.1407
2020-01-09,0.1371, N/A,0.1371,0.1371,0.1371
2020-01-08,0.1347, N/A,0.1347,0.1347,0.1347
2020-01-07,0.1359, N/A,0.1359,0.1359,0.1359
2020-01-06,0.1373, N/A,0.1373,0.1373,0.1373
2020-01-03,0.1331, N/A,0.1331,0.1331,0.1331
2020-01-02,0.1313, N/A,0.1313,0.1313,0.1313
2019-12-31,0.1342, N/A,0.1342,0.1342,0.1342
2019-12-30,0.1353, N/A,0.1353,0.1353,0.1353
2019-12-27,0.1354, N/A,0.1354,0.1354,0.1354
2019-12-26,0.1344, N/A,0.1344,0.1344,0.1344
2019-12-24,0.1337, N/A,0.1337,0.1337,0.1337
2019-12-23,0.1345, N/A,0.1345,0.1345,0.1345
2019-12-20,0.1354, N/A,0.1354,0.1354,0.1354
2019-12-19,0.1355, N/A,0.1355,0.1355,0.1355
2019-12-18,0.1343, N/A,0.1343,0.1343,0.1343
2019-12-17,0.1327, N/A,0.1327,0.1327,0.1327
2019-12-16,0.1329, N/A,0.1329,0.1329,0.1329
2019-12-13,0.135, N/A,0.135,0.135,0.135
2019-12-12,0.1352, N/A,0.1352,0.1352,0.1352
2019-12-11,0.1342, N/A,0.1342,0.1342,0.1342
2019-12-10,0.1346, N/A,0.1346,0.1346,0.1346
2019-12-09,0.1338, N/A,0.1338,0.1338,0.1338
2019-12-06,0.1318, N/A,0.1318,0.1318,0.1318
2019-12-05,0.1308, N/A,0.1308,0.1308,0.1308
2019-12-04,0.1306, N/A,0.1306,0.1306,0.1306
2019-12-03,0.1286, N/A,0.1286,0.1286,0.1286
2019-12-02,0.1275, N/A,0.1275,0.1275,0.1275
2019-11-29,0.1294, N/A,0.1294,0.1294,0.1294
2019-11-27,0.1279, N/A,0.1279,0.1279,0.1279
2019-11-26,0.1278, N/A,0.1278,0.1278,0.1278
2019-11-25,0.1282, N/A,0.1282,0.1282,0.1282
2019-11-22,0.1283, N/A,0.1283,0.1283,0.1283
2019-11-21,0.1261, N/A,0.1261,0.1261,0.1261
2019-11-20,0.1275, N/A,0.1275,0.1275,0.1275
2019-11-19,0.1269, N/A,0.1269,0.1269,0.1269
