Date, Close/Last, Volume, Open, High, Low
2020-04-20,15.2691, N/A,16.314,15.4832,14.866
2020-04-19,16.3425, N/A,16.5949,16.3613,15.9613
2020-04-18,16.6121, N/A,15.9716,16.6972,16.3312
2020-04-17,15.9457, N/A,15.4781,16.1095,13.6183
2020-04-16,15.484, N/A,14.6801,15.7808,12.9601
2020-04-15,14.6802, N/A,15.7901,14.7217,14.1399
2020-04-14,15.7442, N/A,15.3688,15.9157,15.4327
2020-04-13,15.3949, N/A,13.7526,15.4575,14.7843
2020-04-12,13.7, N/A,13.7299,14.2805,13.6864
2020-04-11,13.7432, N/A,14.0379,13.9034,13.704
2020-04-10,13.9695, N/A,14.4767,14.0545,13.6554
2020-04-09,14.4718, N/A,14.9569,15.0743,14.4718
2020-04-08,14.9872, N/A,15.2523,15.1674,14.8962
2020-04-07,15.2844, N/A,15.0485,15.336,14.5633
2020-04-06,14.9147, N/A,13.7675,15.4974,14.7379
2020-04-05,13.7453, N/A,13.7669,13.8539,13.6315
2020-04-04,13.7555, N/A,13.2411,13.9591,13.7194
2020-04-03,13.2364, N/A,13.1388,13.4869,13.1768
2020-04-02,13.1702, N/A,12.6746,13.2957,12.9562
2020-04-01,12.6474, N/A,12.5299,12.8514,12.5393
2020-03-31,12.4891, N/A,12.2315,12.5768,12.2195
2020-03-30,12.2713, N/A,11.5965,12.3591,12.1009
2020-03-29,11.5617, N/A,12.0657,11.6718,11.2617
2020-03-28,12.0503, N/A,11.9825,12.2859,11.9958
2020-03-27,11.9933, N/A,13.1427,12.3434,11.8258
2020-03-26,13.1544, N/A,12.4281,13.3722,12.9719
2020-03-25,12.4026, N/A,12.2114,12.4525,12.2614
2020-03-24,12.1848, N/A,12.1864,12.4118,11.607
2020-03-23,12.2346, N/A,11.3251,12.4105,11.55
2020-03-22,11.3076, N/A,12.2969,11.4186,10.9245
2020-03-21,12.3124, N/A,12.1274,12.3785,11.9213
2020-03-20,11.9984, N/A,12.0934,12.3411,11.6518
2020-03-19,12.1412, N/A,10.3213,12.6173,12.0178
2020-03-18,10.3486, N/A,10.3072,10.5853,10.2471
2020-03-17,10.3695, N/A,9.9622,10.4426,10.1797
2020-03-16,10.0546, N/A,10.2785,10.2656,9.337
2020-03-15,10.1266, N/A,10.1423,10.4068,10.0469
2020-03-14,10.1122, N/A,11.0836,10.2581,9.9797
2020-03-13,11.1532, N/A,8.4431,11.2829,10.4625
2020-03-12,8.6031, N/A,15.613,10.0264,6.5032
2020-03-11,15.5087, N/A,16.9095,16.6576,15.4924
2020-03-10,16.8813, N/A,16.4859,17.1445,16.7637
2020-03-09,16.6393, N/A,16.883,17.0754,16.3705
2020-03-08,16.8063, N/A,19.3792,17.515,16.7137
2020-03-07,19.5912, N/A,20.9836,20.2722,19.3027
2020-03-06,20.9566, N/A,21.0116,21.4939,20.9101
2020-03-05,21.0929, N/A,20.5318,21.2975,20.6733
2020-03-04,19.9225, N/A,19.7865,20.2515,19.5915
2020-03-03,19.8966, N/A,19.868,20.1037,19.5915
2020-03-02,19.8209, N/A,18.9663,20.0569,19.5027
2020-03-01,19.1777, N/A,19.6774,19.567,18.634
2020-02-29,19.5352, N/A,19.1768,20.2268,19.0202
2020-02-28,19.0295, N/A,19.3787,19.4828,18.6675
2020-02-27,19.2887, N/A,18.346,19.73,19.0042
2020-02-26,18.502, N/A,19.6586,18.7756,17.676
2020-02-25,19.6914, N/A,21.6765,20.6612,18.9534
2020-02-24,21.6616, N/A,22.5988,22.1851,21.5155
2020-02-23,22.566, N/A,22.3749,23.3389,22.4014
2020-02-22,22.4097, N/A,21.8562,22.8591,21.8977
2020-02-21,21.9269, N/A,22.2971,22.314,21.8461
2020-02-20,22.362, N/A,22.2425,22.9892,21.8846
2020-02-19,22.0975, N/A,23.9502,22.7916,21.8413
2020-02-18,23.9584, N/A,23.9891,24.362,23.7639
2020-02-17,22.1612, N/A,24.0099,23.5243,21.6008
2020-02-16,22.2513, N/A,24.858,23.5243,22.0097
2020-02-15,24.8009, N/A,25.6558,25.2996,23.8352
2020-02-14,25.7014, N/A,25.5598,26.4608,25.5725
2020-02-13,25.5118, N/A,26.4319,26.1046,25.2251
2020-02-12,26.4742, N/A,25.5394,27.195,26.187
2020-02-11,25.5433, N/A,24.2726,25.9003,25.3301
2020-02-10,24.3753, N/A,23.8112,25.1926,24.1467
2020-02-09,23.7938, N/A,23.2502,24.3777,23.6947
2020-02-08,23.2611, N/A,21.5689,23.563,21.7424
2020-02-07,21.6355, N/A,20.9388,22.068,20.9051
2020-02-06,20.924, N/A,19.3237,21.061,20.4702
2020-02-05,19.2882, N/A,18.6455,19.3518,19.0277
2020-02-04,18.6627, N/A,18.352,18.8197,16.7088
2020-02-03,18.4019, N/A,18.4127,18.6101,18.3553
2020-02-02,18.4043, N/A,18.1167,18.8407,18.3381
2020-02-01,18.0925, N/A,18.3401,18.2615,17.8588
2020-01-31,18.3486, N/A,18.5908,18.5817,18.1456
2020-01-30,18.5685, N/A,17.8882,18.8339,18.395
2020-01-29,17.904, N/A,18.1886,17.9368,17.6995
2020-01-28,18.1679, N/A,17.7003,18.2637,17.9238
2020-01-27,17.7203, N/A,17.5214,17.9219,17.6373
2020-01-26,17.5264, N/A,17.0674,17.6398,17.4323
2020-01-25,17.0509, N/A,16.6735,17.1355,16.823
2020-01-24,16.6652, N/A,16.5312,17.1056,16.6221
2020-01-23,16.5505, N/A,17.3517,17.1661,16.4833
2020-01-22,17.3566, N/A,18.1714,17.8256,17.3469
2020-01-21,18.1865, N/A,17.5125,18.3128,18.0305
2020-01-20,17.5129, N/A,17.0939,17.6057,17.2129
2020-01-19,17.1069, N/A,18.1096,17.4232,17.0844
2020-01-18,18.0738, N/A,17.6703,18.4547,17.6935
2020-01-17,17.7042, N/A,18.1594,18.3462,17.501
2020-01-16,18.1171, N/A,16.641,18.1916,17.0312
2020-01-15,16.6903, N/A,16.4531,17.6952,16.3458
2020-01-14,16.5381, N/A,15.5119,17.1742,16.4325
2020-01-13,15.5282, N/A,15.0735,15.6898,15.1677
2020-01-12,15.0765, N/A,15.2392,15.3631,15.002
2020-01-11,15.2541, N/A,14.8111,15.3286,14.8173
2020-01-10,14.8338, N/A,14.3406,15.0988,14.7799
2020-01-09,14.327, N/A,14.4993,14.5156,14.2717
2020-01-08,14.4928, N/A,15.091,14.6228,14.4417
2020-01-07,15.0675, N/A,14.7713,15.3196,14.8982
2020-01-06,14.753, N/A,14.4066,15.1677,14.7498
2020-01-05,14.4161, N/A,14.0081,14.4601,14.0421
2020-01-04,14.0159, N/A,13.6818,14.0902,13.8274
2020-01-03,13.6797, N/A,13.4104,13.7575,13.5304
2020-01-02,13.3969, N/A,13.5471,13.4196,13.0069
2020-01-01,13.5426, N/A,13.8007,13.7295,13.5065
2019-12-31,13.8128, N/A,13.864,13.8722,13.7049
2019-12-30,13.8582, N/A,14.3981,13.9408,13.7547
2019-12-29,14.3473, N/A,13.6257,14.4056,13.9822
2019-12-28,13.6341, N/A,13.515,13.795,13.6089
2019-12-27,13.2661, N/A,13.4535,13.3449,12.9999
2019-12-26,13.1745, N/A,13.176,13.3449,13.1587
2019-12-25,13.1712, N/A,13.295,13.2551,13.0225
2019-12-24,13.2971, N/A,13.4085,13.4348,13.2064
2019-12-23,13.4095, N/A,13.8076,13.4967,13.3159
2019-12-22,13.8234, N/A,13.3987,13.9484,13.774
2019-12-21,13.3828, N/A,13.4593,13.4543,13.3031
2019-12-20,13.4498, N/A,13.3009,13.5735,13.3688
2019-12-19,13.2861, N/A,13.2465,13.4017,13.1237
2019-12-18,13.2813, N/A,12.5472,13.7633,13.1489
2019-12-17,12.5549, N/A,13.3361,12.7982,12.2741
2019-12-16,13.3059, N/A,14.3789,13.6451,13.1467
2019-12-15,14.3833, N/A,14.4428,14.5793,14.2884
2019-12-14,14.4451, N/A,15.002,14.5511,14.3251
2019-12-13,14.9915, N/A,14.8435,15.0431,14.8856
2019-12-12,14.8781, N/A,14.6938,14.9041,14.7864
2019-12-11,14.7002, N/A,14.9775,14.9422,14.574
2019-12-10,15.0219, N/A,15.3333,15.102,14.9126
2019-12-09,15.3478, N/A,15.6585,15.4885,15.2372
2019-12-08,15.669, N/A,15.5217,15.914,15.5995
2019-12-07,15.5469, N/A,15.752,15.7176,15.4262
2019-12-06,15.7289, N/A,15.5387,15.8367,15.6636
2019-12-05,15.5357, N/A,15.3407,15.794,15.4163
2019-12-04,15.3228, N/A,15.1833,15.4433,14.9262
2019-12-03,15.1523, N/A,15.448,15.3776,15.0438
2019-12-02,15.3342, N/A,15.5024,15.4761,15.1692
2019-12-01,15.5916, N/A,15.1076,15.6951,15.3151
2019-11-30,15.1925, N/A,16.0003,15.6943,15.0169
2019-11-29,15.8711, N/A,15.6048,16.1883,15.7985
2019-11-28,15.6648, N/A,15.7853,15.825,15.4641
2019-11-27,15.8266, N/A,15.6753,16.1176,15.7239
2019-11-26,15.6793, N/A,15.7654,16.0595,15.4282
2019-11-25,15.7356, N/A,14.7586,15.7442,15.1849
2019-11-24,14.8105, N/A,16.1872,15.354,14.6712
2019-11-23,16.171, N/A,15.4345,16.3967,16.0497
2019-11-22,15.5922, N/A,17.0672,15.6482,15.2558
2019-11-21,17.0668, N/A,17.9785,17.2862,16.7893
2019-11-20,17.8961, N/A,18.6106,18.1204,17.8264
2019-11-19,18.5044, N/A,19.4916,19.3905,18.2478
2019-11-18,19.1427, N/A,19.9255,19.3905,18.9776
2019-11-17,19.8699, N/A,19.9804,20.1591,19.7996
2019-11-16,20.0163, N/A,20.4574,20.1213,19.9929
2019-11-15,20.5375, N/A,20.9376,20.6058,20.2018
2019-11-14,20.9237, N/A,21.3578,21.2272,20.8937
2019-11-13,21.3248, N/A,20.7886,21.5373,21.2407
2019-11-12,20.789, N/A,20.2319,20.9341,20.6605
2019-11-11,20.2353, N/A,20.5414,20.3153,20.0588
2019-11-10,20.4713, N/A,19.8332,20.5961,20.3411
2019-11-09,19.7993, N/A,19.692,20.0344,19.7249
2019-11-08,19.7891, N/A,20.4653,19.7905,19.5593
2019-11-07,20.4604, N/A,20.6107,20.4751,20.3241
2019-11-06,20.4727, N/A,20.5621,20.7701,20.4594
2019-11-05,20.5538, N/A,20.8114,20.677,20.4836
2019-11-04,20.7537, N/A,20.3331,20.8612,20.5459
2019-11-03,20.5303, N/A,20.2927,20.7387,20.06
2019-11-02,20.2165, N/A,20.0574,20.2489,20.183
2019-11-01,20.0413, N/A,19.8717,20.2691,19.8997
2019-10-31,19.8733, N/A,19.9687,19.9771,19.7788
2019-10-30,19.8654, N/A,20.3817,20.2261,19.7718
2019-10-29,20.3611, N/A,20.2126,20.7526,20.2775
2019-10-28,20.3028, N/A,19.41,20.3031,19.8003
2019-10-27,19.914, N/A,18.6533,19.9415,19.2702
2019-10-26,18.5895, N/A,19.3967,18.9828,18.5645
2019-10-25,19.3703, N/A,16.8394,19.5174,18.5459
2019-10-24,16.8357, N/A,16.6736,16.9545,15.7926
2019-10-23,16.6637, N/A,18.0834,16.8192,16.6121
2019-10-22,18.0834, N/A,18.1019,18.211,18.017
2019-10-21,18.1685, N/A,18.3163,18.2863,18.0935
2019-10-20,18.1229, N/A,17.952,18.4677,18.071
2019-10-19,18.0823, N/A,17.9746,18.2252,17.9499
2019-10-18,17.8738, N/A,18.6753,18.2564,17.8738
2019-10-17,18.6642, N/A,17.7454,18.7278,18.4011
2019-10-16,17.878, N/A,18.4348,17.9647,17.5942
2019-10-15,18.4768, N/A,18.5131,18.58,18.3467
2019-10-14,18.4731, N/A,18.3601,18.6411,18.3948
2019-10-13,18.3393, N/A,17.6536,18.6127,18.0434
2019-10-12,17.766, N/A,16.7777,17.766,17.12
2019-10-11,16.7965, N/A,17.3703,16.8116,16.5514
2019-10-10,17.3632, N/A,17.8385,17.577,17.2268
2019-10-09,17.8236, N/A,16.0662,17.8942,17.6866
2019-10-08,16.0193, N/A,16.1799,16.135,15.9874
2019-10-07,16.2625, N/A,15.2744,16.2843,15.9604
2019-10-06,15.5511, N/A,15.6325,15.7546,15.4659
2019-10-05,15.5802, N/A,15.6607,15.7546,15.5177
2019-10-04,15.5743, N/A,15.5085,15.6659,15.5639
2019-10-03,15.5388, N/A,15.8788,15.7083,15.4647
2019-10-02,15.8725, N/A,15.8158,15.966,15.8131
2019-10-01,15.8341, N/A,15.8688,15.9133,15.7679
2019-09-30,15.8705, N/A,15.2766,15.8713,15.6551
2019-09-29,15.2192, N/A,15.7272,15.2937,15.1925
2019-09-28,15.7476, N/A,15.5676,15.81,15.686
2019-09-27,15.5509, N/A,15.2831,15.6831,15.5143
2019-09-26,15.2755, N/A,16.2549,15.4998,15.2277
2019-09-25,16.111, N/A,16.5981,16.3547,16.033
2019-09-24,16.5218, N/A,19.5897,16.6354,16.0081
2019-09-23,19.6686, N/A,20.449,19.7425,19.4483
2019-09-22,20.4457, N/A,20.7068,20.5558,20.3254
2019-09-21,20.7064, N/A,21.4807,21.1661,20.6862
2019-09-20,21.5249, N/A,21.4136,21.5646,21.3543
2019-09-19,21.3775, N/A,21.8872,21.6867,21.3743
2019-09-18,21.5383, N/A,21.2347,22.4638,21.3764
2019-09-17,21.1676, N/A,20.4291,21.2522,21.0315
2019-09-16,20.364, N/A,20.9453,20.5017,20.3603
2019-09-15,20.9235, N/A,21.1,20.942,20.6002
2019-09-14,21.1113, N/A,20.9537,21.1961,21.0587
2019-09-13,20.9826, N/A,20.8279,21.0112,20.8839
2019-09-12,20.9622, N/A,20.8916,21.0246,20.7944
2019-09-11,20.8144, N/A,21.9978,21.1274,20.8007
2019-09-10,22.0208, N/A,22.4013,22.2611,21.976
2019-09-09,22.5156, N/A,22.5358,22.6383,21.9899
2019-09-08,22.5168, N/A,22.668,22.6383,22.4387
2019-09-07,22.6426, N/A,22.212,22.7553,22.4492
