Date, Close/Last, Volume, Open, High, Low
2020-04-20,219.39, N/A,236.11,222.49,218.23
2020-04-19,236.18, N/A,244.37,237.88,230.37
2020-04-18,244.51, N/A,233.82,244.96,240.13
2020-04-17,233.9, N/A,233.92,235.67,231.63
2020-04-16,234.11, N/A,212.64,235.96,231.54
2020-04-15,212.17, N/A,224.16,214.98,206.63
2020-04-14,224.12, N/A,226.93,224.55,220.09
2020-04-13,227.06, N/A,225.39,227.44,223.23
2020-04-12,225.18, N/A,228.52,233.19,223.59
2020-04-11,228.67, N/A,235.41,235.23,227.73
2020-04-10,234.9, N/A,245.02,235.63,232.19
2020-04-09,244.31, N/A,265.33,258.82,244.28
2020-04-08,264.9, N/A,274.2,274.03,264.04
2020-04-07,274.96, N/A,256.58,276.35,250.44
2020-04-06,256.44, N/A,234.0,261.95,252.69
2020-04-05,233.91, N/A,237.24,236.06,230.77
2020-04-04,237.34, N/A,233.69,239.71,236.87
2020-04-03,233.75, N/A,233.79,237.41,232.16
2020-04-02,234.37, N/A,224.54,235.57,230.94
2020-04-01,223.79, N/A,217.9,227.08,222.21
2020-03-31,217.64, N/A,219.37,220.53,215.43
2020-03-30,219.73, N/A,209.83,223.73,219.12
2020-03-29,209.8, N/A,213.15,210.36,205.54
2020-03-28,213.39, N/A,206.18,216.93,212.26
2020-03-27,206.56, N/A,231.86,213.31,203.34
2020-03-26,231.92, N/A,225.69,232.99,227.74
2020-03-25,225.01, N/A,221.61,225.44,220.32
2020-03-24,222.04, N/A,220.59,227.59,221.17
2020-03-23,221.92, N/A,208.57,225.92,220.2
2020-03-22,209.25, N/A,230.65,210.42,199.84
2020-03-21,227.95, N/A,223.73,229.5,216.79
2020-03-20,221.64, N/A,218.53,228.58,210.19
2020-03-19,218.58, N/A,179.95,224.7,217.55
2020-03-18,179.75, N/A,185.04,186.79,177.84
2020-03-17,185.02, N/A,179.69,185.66,181.45
2020-03-16,178.79, N/A,179.5,183.78,170.01
2020-03-15,178.35, N/A,166.99,183.99,174.88
2020-03-14,167.04, N/A,178.38,169.77,165.6
2020-03-13,178.41, N/A,161.25,180.43,171.04
2020-03-12,160.14, N/A,256.52,185.14,134.5
2020-03-11,256.13, N/A,272.09,267.75,253.96
2020-03-10,272.37, N/A,271.41,274.88,269.71
2020-03-09,271.34, N/A,266.29,274.72,268.63
2020-03-08,265.09, N/A,321.01,279.32,261.19
2020-03-07,322.06, N/A,345.18,330.79,318.39
2020-03-06,345.25, N/A,336.4,351.0,344.07
2020-03-05,336.61, N/A,325.83,338.2,332.54
2020-03-04,323.24, N/A,330.74,331.96,320.96
2020-03-03,331.14, N/A,337.75,331.96,326.15
2020-03-02,334.65, N/A,314.78,339.27,331.43
2020-03-01,316.92, N/A,320.15,319.82,310.82
2020-02-29,317.35, N/A,315.09,323.97,305.89
2020-02-28,317.98, N/A,324.06,319.36,311.68
2020-02-27,324.3, N/A,322.07,329.19,322.41
2020-02-26,322.59, N/A,337.83,331.32,307.94
2020-02-25,337.52, N/A,371.38,361.25,330.76
2020-02-24,371.05, N/A,390.22,379.46,368.73
2020-02-23,389.37, N/A,380.01,407.7,385.7
2020-02-22,382.03, N/A,376.16,384.53,372.44
2020-02-21,374.27, N/A,381.35,380.21,373.1
2020-02-20,377.27, N/A,383.31,382.57,367.35
2020-02-19,381.88, N/A,418.4,387.48,376.44
2020-02-18,416.89, N/A,408.76,423.2,414.07
2020-02-17,382.9, N/A,435.24,416.89,368.69
2020-02-16,378.4, N/A,451.66,416.89,368.69
2020-02-15,452.1, N/A,486.49,457.63,433.39
2020-02-14,487.85, N/A,477.23,494.65,483.05
2020-02-13,474.74, N/A,472.51,479.7,472.35
2020-02-12,471.7, N/A,468.67,478.22,470.76
2020-02-11,473.02, N/A,443.63,473.46,461.91
2020-02-10,442.7, N/A,444.27,453.19,441.31
2020-02-09,444.91, N/A,458.36,451.68,440.87
2020-02-08,455.81, N/A,443.71,459.91,444.41
2020-02-07,445.28, N/A,442.92,446.71,425.78
2020-02-06,443.34, N/A,439.53,459.12,438.66
2020-02-05,438.86, N/A,384.63,448.45,433.29
2020-02-04,382.93, N/A,382.15,382.94,378.83
2020-02-03,382.4, N/A,381.93,389.18,382.0
2020-02-02,382.3, N/A,376.72,392.13,375.01
2020-02-01,376.85, N/A,383.46,380.18,369.68
2020-01-31,384.55, N/A,384.64,389.23,374.82
2020-01-30,383.97, N/A,383.94,408.07,383.39
2020-01-29,384.26, N/A,385.04,406.29,372.7
2020-01-28,384.13, N/A,365.42,389.73,378.57
2020-01-27,367.14, N/A,354.99,375.29,362.76
2020-01-26,354.36, N/A,314.04,362.96,347.98
2020-01-25,313.97, N/A,307.18,314.7,307.91
2020-01-24,307.54, N/A,308.92,318.89,305.57
2020-01-23,308.9, N/A,339.97,327.69,306.35
2020-01-22,339.4, N/A,343.83,349.7,337.29
2020-01-21,343.59, N/A,344.88,344.62,339.43
2020-01-20,345.44, N/A,330.57,347.95,340.75
2020-01-19,331.21, N/A,359.15,342.31,329.9
2020-01-18,356.15, N/A,361.81,356.15,333.74
2020-01-17,361.74, N/A,342.15,403.78,355.6
2020-01-16,340.33, N/A,319.28,343.02,320.03
2020-01-15,319.94, N/A,320.07,342.7,311.12
2020-01-14,325.04, N/A,283.02,361.25,321.66
2020-01-13,283.46, N/A,263.84,286.45,267.09
2020-01-12,263.96, N/A,264.54,271.86,261.86
2020-01-11,264.53, N/A,270.35,265.84,258.25
2020-01-10,270.75, N/A,236.41,278.95,268.24
2020-01-09,236.07, N/A,238.77,240.32,235.09
2020-01-08,239.03, N/A,245.54,243.57,237.39
2020-01-07,245.09, N/A,240.34,253.43,240.49
2020-01-06,239.84, N/A,237.16,246.4,239.75
2020-01-05,237.22, N/A,224.3,239.0,222.3
2020-01-04,224.22, N/A,222.15,227.17,222.91
2020-01-03,222.38, N/A,202.86,223.55,219.49
2020-01-02,202.55, N/A,202.03,203.95,192.18
2020-01-01,201.82, N/A,206.26,205.37,200.79
2019-12-31,206.58, N/A,209.72,207.74,203.67
2019-12-30,209.87, N/A,213.21,211.04,207.67
2019-12-29,213.05, N/A,205.2,213.82,210.7
2019-12-28,205.29, N/A,207.04,206.66,204.55
2019-12-27,200.08, N/A,192.72,203.59,186.87
2019-12-26,189.87, N/A,184.22,192.63,186.87
2019-12-25,184.3, N/A,187.99,185.87,184.23
2019-12-24,188.18, N/A,189.77,188.8,186.87
2019-12-23,190.0, N/A,195.71,190.28,188.95
2019-12-22,195.82, N/A,187.07,197.84,195.45
2019-12-21,187.15, N/A,187.04,187.57,185.79
2019-12-20,187.3, N/A,185.63,187.88,185.55
2019-12-19,185.44, N/A,185.36,186.72,183.9
2019-12-18,185.44, N/A,178.84,190.76,185.32
2019-12-17,178.57, N/A,194.94,181.32,175.79
2019-12-16,194.23, N/A,205.33,197.21,193.74
2019-12-15,204.98, N/A,205.05,208.89,203.4
2019-12-14,204.84, N/A,211.47,208.04,204.49
2019-12-13,211.77, N/A,208.31,214.29,209.22
2019-12-12,208.04, N/A,205.9,209.69,205.07
2019-12-11,206.06, N/A,207.07,208.81,204.6
2019-12-10,207.29, N/A,208.44,209.64,206.31
2019-12-09,208.98, N/A,214.49,210.31,208.1
2019-12-08,214.4, N/A,211.09,214.95,211.53
2019-12-07,210.55, N/A,214.99,212.6,209.04
2019-12-06,215.01, N/A,230.14,216.22,211.81
2019-12-05,229.3, N/A,207.58,230.32,210.26
2019-12-04,207.92, N/A,206.87,210.47,205.3
2019-12-03,205.91, N/A,216.27,213.83,203.67
2019-12-02,213.95, N/A,222.39,217.72,213.63
2019-12-01,214.29, N/A,211.98,223.64,213.71
2019-11-30,213.26, N/A,237.36,218.92,210.69
2019-11-29,236.18, N/A,221.48,237.62,223.12
2019-11-28,220.5, N/A,218.84,227.51,217.62
2019-11-27,218.08, N/A,203.09,222.86,216.36
2019-11-26,210.21, N/A,214.73,213.1,202.8
2019-11-25,211.2, N/A,199.2,212.39,207.09
2019-11-24,199.58, N/A,212.31,206.44,196.45
2019-11-23,210.98, N/A,207.21,216.1,210.33
2019-11-22,206.17, N/A,226.9,209.35,203.28
2019-11-21,226.45, N/A,244.87,229.48,226.31
2019-11-20,245.21, N/A,243.58,247.68,242.07
2019-11-19,242.67, N/A,248.5,263.7,234.18
2019-11-18,246.76, N/A,263.82,249.7,246.16
2019-11-17,263.72, N/A,265.41,267.34,262.62
2019-11-16,265.84, N/A,265.55,267.18,265.04
2019-11-15,264.89, N/A,274.06,267.8,262.47
2019-11-14,272.06, N/A,285.18,279.76,270.38
2019-11-13,284.52, N/A,287.25,286.86,283.31
2019-11-12,286.35, N/A,286.42,289.86,285.74
2019-11-11,288.88, N/A,293.78,289.41,285.22
2019-11-10,294.26, N/A,281.19,297.61,292.73
2019-11-09,280.83, N/A,280.65,283.82,280.03
2019-11-08,281.34, N/A,293.54,281.84,276.58
2019-11-07,294.29, N/A,300.06,295.09,290.27
2019-11-06,297.03, N/A,294.64,307.32,296.1
2019-11-05,295.88, N/A,291.69,297.42,291.61
2019-11-04,290.69, N/A,289.62,293.18,288.45
2019-11-03,288.87, N/A,299.13,292.63,286.96
2019-11-02,294.2, N/A,278.9,294.79,289.67
2019-11-01,280.14, N/A,280.89,281.52,277.39
2019-10-31,281.38, N/A,289.2,283.69,280.81
2019-10-30,288.19, N/A,302.58,293.12,285.46
2019-10-29,300.43, N/A,268.04,305.01,284.63
2019-10-28,266.8, N/A,268.03,268.27,264.04
2019-10-27,266.67, N/A,249.5,274.59,260.54
2019-10-26,247.76, N/A,260.66,258.99,247.54
2019-10-25,262.27, N/A,214.74,263.43,254.36
2019-10-24,214.71, N/A,208.76,214.83,212.37
2019-10-23,208.49, N/A,226.58,211.11,208.02
2019-10-22,226.33, N/A,231.08,227.68,226.28
2019-10-21,231.47, N/A,223.74,233.79,230.54
2019-10-20,224.54, N/A,212.01,224.72,223.24
2019-10-19,212.37, N/A,211.5,213.45,210.87
