Date, Close/Last, Volume, Open, High, Low
2020-04-20,75.0, N/A,82.27,75.92,74.0
2020-04-19,81.88, N/A,82.25,82.43,79.9
2020-04-18,82.23, N/A,77.7,82.33,78.92
2020-04-17,78.47, N/A,75.93,78.84,76.32
2020-04-16,76.39, N/A,69.24,76.94,75.4
2020-04-15,69.46, N/A,73.08,70.8,67.54
2020-04-14,73.43, N/A,73.5,73.48,71.68
2020-04-13,74.29, N/A,71.43,74.43,72.91
2020-04-12,71.25, N/A,74.33,74.23,70.59
2020-04-11,73.75, N/A,74.95,75.73,73.66
2020-04-10,74.72, N/A,81.55,75.15,73.68
2020-04-09,79.1, N/A,75.79,83.43,79.06
2020-04-08,74.55, N/A,72.72,76.34,74.41
2020-04-07,74.58, N/A,72.63,81.31,71.16
2020-04-06,72.57, N/A,67.69,74.9,71.6
2020-04-05,67.63, N/A,68.36,67.97,66.85
2020-04-04,67.94, N/A,67.42,68.78,67.92
2020-04-03,67.08, N/A,68.9,68.15,66.79
2020-04-02,69.09, N/A,65.48,69.55,67.46
2020-04-01,65.56, N/A,63.84,66.57,65.13
2020-03-31,64.44, N/A,65.54,65.11,63.53
2020-03-30,65.49, N/A,61.83,66.38,65.05
2020-03-29,61.93, N/A,64.78,62.08,60.5
2020-03-28,64.77, N/A,64.62,65.76,64.47
2020-03-27,63.17, N/A,68.58,67.69,62.54
2020-03-26,68.72, N/A,68.27,69.17,68.2
2020-03-25,68.13, N/A,67.27,68.58,67.6
2020-03-24,67.33, N/A,69.18,69.89,67.2
2020-03-23,69.54, N/A,63.6,71.02,62.68
2020-03-22,63.74, N/A,72.78,64.12,61.52
2020-03-21,72.43, N/A,72.84,72.43,70.54
2020-03-20,72.81, N/A,64.61,75.21,70.16
2020-03-19,64.8, N/A,58.56,67.5,63.8
2020-03-18,58.9, N/A,46.27,62.74,51.58
2020-03-17,46.22, N/A,45.55,46.3,45.21
2020-03-16,45.58, N/A,46.77,46.02,42.43
2020-03-15,46.56, N/A,45.7,47.59,46.2
2020-03-14,45.74, N/A,50.02,46.98,45.61
2020-03-13,50.09, N/A,43.75,51.09,48.58
2020-03-12,42.82, N/A,68.44,45.7,32.27
2020-03-11,68.25, N/A,74.55,72.58,68.23
2020-03-10,74.55, N/A,73.45,75.27,73.98
2020-03-09,73.36, N/A,72.96,74.22,72.65
2020-03-08,72.7, N/A,85.41,75.33,71.9
2020-03-07,85.49, N/A,92.24,88.23,84.46
2020-03-06,92.3, N/A,89.33,94.09,92.08
2020-03-05,89.41, N/A,89.26,90.58,89.1
2020-03-04,88.2, N/A,88.91,90.02,87.36
2020-03-03,89.71, N/A,89.32,89.89,88.12
2020-03-02,89.38, N/A,85.64,90.3,88.68
2020-03-01,85.41, N/A,88.18,86.04,84.27
2020-02-29,88.31, N/A,89.77,89.85,85.24
2020-02-28,89.59, N/A,89.67,89.84,88.1
2020-02-27,89.99, N/A,83.29,92.61,88.92
2020-02-26,83.18, N/A,90.4,84.54,79.87
2020-02-25,90.12, N/A,101.52,96.75,88.14
2020-02-24,101.38, N/A,104.81,103.57,100.93
2020-02-23,104.5, N/A,106.42,108.9,104.16
2020-02-22,106.29, N/A,106.74,106.83,103.47
2020-02-21,106.82, N/A,105.44,109.33,106.82
2020-02-20,105.68, N/A,105.46,107.02,103.2
2020-02-19,105.42, N/A,114.17,106.98,103.49
2020-02-18,114.42, N/A,116.04,115.68,114.11
2020-02-17,104.94, N/A,120.23,112.21,101.98
2020-02-16,105.0, N/A,121.82,112.21,102.92
2020-02-15,121.8, N/A,130.98,123.43,118.82
2020-02-14,131.19, N/A,130.08,133.28,130.26
2020-02-13,130.26, N/A,133.53,131.27,129.3
2020-02-12,133.59, N/A,132.16,134.8,132.46
2020-02-11,132.12, N/A,124.37,132.86,129.16
2020-02-10,124.31, N/A,126.06,127.79,123.89
2020-02-09,125.78, N/A,128.87,128.64,125.16
2020-02-08,128.97, N/A,119.06,130.36,126.33
2020-02-07,119.94, N/A,120.53,119.94,113.1
2020-02-06,120.76, N/A,123.24,122.88,119.69
2020-02-05,123.16, N/A,111.44,124.6,120.19
2020-02-04,111.47, N/A,114.15,111.47,109.87
2020-02-03,114.22, N/A,115.37,115.67,114.1
2020-02-02,115.48, N/A,114.79,117.28,111.02
2020-02-01,115.01, N/A,117.61,116.73,112.95
2020-01-31,118.1, N/A,120.45,119.74,115.14
2020-01-30,120.56, N/A,124.12,124.43,120.28
2020-01-29,123.69, N/A,117.34,124.67,117.95
2020-01-28,117.28, N/A,113.82,117.98,115.07
2020-01-27,113.84, N/A,115.97,116.88,112.84
2020-01-26,115.87, N/A,103.45,117.91,109.8
2020-01-25,103.39, N/A,98.19,104.72,100.25
2020-01-24,98.13, N/A,97.86,100.29,97.52
2020-01-23,98.12, N/A,104.0,102.84,97.23
2020-01-22,104.0, N/A,109.45,108.06,102.59
2020-01-21,108.03, N/A,109.75,110.98,107.5
2020-01-20,109.88, N/A,101.71,112.06,107.75
2020-01-19,101.97, N/A,108.95,105.98,100.72
2020-01-18,107.84, N/A,102.25,109.03,97.25
2020-01-17,103.08, N/A,125.2,114.33,101.55
2020-01-16,123.59, N/A,119.23,127.81,120.44
2020-01-15,119.33, N/A,104.0,134.34,113.1
2020-01-14,106.17, N/A,77.33,137.51,88.73
2020-01-13,76.79, N/A,64.74,76.79,69.44
2020-01-12,64.79, N/A,65.51,66.32,64.25
2020-01-11,65.69, N/A,59.53,67.85,62.2
2020-01-10,59.57, N/A,49.96,61.66,55.8
2020-01-09,49.99, N/A,52.76,50.95,49.8
2020-01-08,52.75, N/A,55.1,52.96,51.61
2020-01-07,54.87, N/A,54.26,56.97,54.63
2020-01-06,54.35, N/A,52.5,57.51,54.35
2020-01-05,52.41, N/A,49.59,52.51,50.86
2020-01-04,49.41, N/A,43.29,49.41,46.18
2020-01-03,43.23, N/A,41.16,43.97,43.03
2020-01-02,41.14, N/A,41.23,41.39,39.94
2020-01-01,41.31, N/A,41.49,41.88,40.88
2019-12-31,41.56, N/A,42.56,41.7,40.9
2019-12-30,42.65, N/A,44.5,42.68,41.94
2019-12-29,44.54, N/A,41.74,44.67,44.07
2019-12-28,41.78, N/A,40.18,41.85,41.28
2019-12-27,39.56, N/A,40.11,40.41,38.35
2019-12-26,39.37, N/A,39.99,40.41,39.37
2019-12-25,40.0, N/A,41.51,40.89,39.49
2019-12-24,41.58, N/A,42.91,41.77,40.82
2019-12-23,42.93, N/A,44.82,43.0,42.61
2019-12-22,44.89, N/A,42.76,44.89,43.93
2019-12-21,42.78, N/A,43.17,42.9,42.49
2019-12-20,43.19, N/A,42.33,43.38,43.0
2019-12-19,42.34, N/A,43.17,42.99,42.21
2019-12-18,43.19, N/A,42.08,44.87,43.0
2019-12-17,42.03, N/A,45.17,42.55,41.04
2019-12-16,45.17, N/A,50.14,46.15,44.96
2019-12-15,50.18, N/A,49.53,50.85,49.74
2019-12-14,49.55, N/A,51.08,49.66,48.9
2019-12-13,51.18, N/A,50.08,51.21,50.21
2019-12-12,50.13, N/A,48.98,50.43,49.67
2019-12-11,48.99, N/A,50.01,50.21,48.64
2019-12-10,49.92, N/A,51.6,50.58,49.86
2019-12-09,51.66, N/A,51.54,51.69,51.08
2019-12-08,51.54, N/A,52.03,52.11,51.29
2019-12-07,51.97, N/A,53.13,52.54,51.62
2019-12-06,53.25, N/A,50.66,53.36,52.21
2019-12-05,50.59, N/A,50.32,51.0,49.74
2019-12-04,50.17, N/A,51.34,51.19,49.9
2019-12-03,51.1, N/A,53.01,51.63,49.75
2019-12-02,52.59, N/A,53.45,53.21,52.58
2019-12-01,53.41, N/A,52.58,53.79,52.93
2019-11-30,53.11, N/A,57.74,55.94,52.49
2019-11-29,57.25, N/A,53.88,58.61,57.18
2019-11-28,53.73, N/A,49.6,54.8,52.29
2019-11-27,50.45, N/A,49.47,50.78,49.51
2019-11-26,49.48, N/A,50.64,52.44,49.24
2019-11-25,50.01, N/A,50.71,50.35,49.57
2019-11-24,50.63, N/A,55.23,51.52,49.18
2019-11-23,55.11, N/A,56.52,55.46,54.9
2019-11-22,56.57, N/A,61.73,58.76,56.21
2019-11-21,61.72, N/A,65.04,62.04,61.36
2019-11-20,64.96, N/A,65.64,65.09,64.07
2019-11-19,65.7, N/A,65.41,65.73,63.64
2019-11-18,64.95, N/A,67.57,65.24,64.67
2019-11-17,67.53, N/A,67.97,67.86,67.52
2019-11-16,68.08, N/A,68.13,68.21,67.95
2019-11-15,67.91, N/A,68.28,68.2,67.89
2019-11-14,68.1, N/A,69.48,68.76,68.02
2019-11-13,69.58, N/A,69.61,69.65,69.25
