Date, Close/Last, Volume, Open, High, Low
2020-04-20,2.5144, N/A,2.6375,2.5411,2.4991
2020-04-19,2.6361, N/A,2.7174,2.6598,2.5825
2020-04-18,2.7135, N/A,2.649,2.7359,2.6551
2020-04-17,2.6471, N/A,2.6464,2.67,2.6114
2020-04-16,2.6482, N/A,2.3951,2.6691,2.6098
2020-04-15,2.3996, N/A,2.488,2.4115,2.3394
2020-04-14,2.4855, N/A,2.4693,2.4977,2.4295
2020-04-13,2.4662, N/A,2.3935,2.4744,2.4393
2020-04-12,2.3938, N/A,2.4657,2.497,2.3516
2020-04-11,2.4724, N/A,2.5233,2.5204,2.4678
2020-04-10,2.5213, N/A,2.6609,2.5258,2.4835
2020-04-09,2.6551, N/A,2.7061,2.7467,2.6514
2020-04-08,2.7098, N/A,2.7325,2.7604,2.6968
2020-04-07,2.7291, N/A,2.7345,2.7501,2.5842
2020-04-06,2.7304, N/A,2.3698,2.8234,2.6778
2020-04-05,2.3647, N/A,2.3465,2.3822,2.348
2020-04-04,2.3513, N/A,2.3048,2.3752,2.3466
2020-04-03,2.3077, N/A,2.3129,2.3404,2.294
2020-04-02,2.3131, N/A,2.2709,2.3266,2.2804
2020-04-01,2.2653, N/A,2.2119,2.3002,2.2527
2020-03-31,2.2093, N/A,2.2173,2.2202,2.1827
2020-03-30,2.2197, N/A,2.1394,2.257,2.211
2020-03-29,2.1392, N/A,2.193,2.1457,2.1117
2020-03-28,2.194, N/A,2.1513,2.2146,2.1795
2020-03-27,2.1562, N/A,2.3322,2.2016,2.1276
2020-03-26,2.3335, N/A,2.3245,2.356,2.314
2020-03-25,2.3226, N/A,2.313,2.3432,2.2953
2020-03-24,2.2914, N/A,2.3242,2.3472,2.2802
2020-03-23,2.2976, N/A,2.1509,2.3321,2.2789
2020-03-22,2.1931, N/A,2.3028,2.2006,2.0785
2020-03-21,2.3259, N/A,2.2528,2.3303,2.2535
2020-03-20,2.237, N/A,2.284,2.2853,2.1695
2020-03-19,2.2705, N/A,1.9818,2.322,2.261
2020-03-18,1.9884, N/A,1.9898,2.0272,1.9713
2020-03-17,1.9972, N/A,1.9679,2.0027,1.9646
2020-03-16,1.976, N/A,2.0389,2.0142,1.8737
2020-03-15,2.016, N/A,1.9716,2.0533,2.0032
2020-03-14,1.9634, N/A,2.0806,1.9982,1.9406
2020-03-13,2.1137, N/A,1.6779,2.1265,2.0089
2020-03-12,1.8188, N/A,2.9207,2.003,1.3956
2020-03-11,2.9212, N/A,3.0869,3.0797,2.8895
2020-03-10,3.1012, N/A,3.0552,3.1163,3.065
2020-03-09,3.0736, N/A,3.0639,3.095,3.039
2020-03-08,3.0631, N/A,3.584,3.1294,3.0143
2020-03-07,3.6008, N/A,3.804,3.6424,3.5775
2020-03-06,3.7906, N/A,3.7556,3.8388,3.7823
2020-03-05,3.7378, N/A,3.6352,3.7809,3.7202
2020-03-04,3.6058, N/A,3.6496,3.6713,3.5698
2020-03-03,3.6561, N/A,3.6788,3.6713,3.601
2020-03-02,3.6801, N/A,3.5729,3.7184,3.6453
2020-03-01,3.5712, N/A,3.5632,3.5849,3.4954
2020-02-29,3.5684, N/A,3.6366,3.6189,3.4969
2020-02-28,3.6362, N/A,3.6054,3.6525,3.5125
2020-02-27,3.6136, N/A,3.5559,3.6802,3.5924
2020-02-26,3.538, N/A,3.914,3.5901,3.3996
2020-02-25,3.919, N/A,4.066,4.1123,3.8318
2020-02-24,4.0684, N/A,4.2217,4.1448,4.0506
2020-02-23,4.2118, N/A,4.2515,4.397,4.1616
2020-02-22,4.2468, N/A,4.0314,4.2849,4.0863
2020-02-21,4.0258, N/A,4.1001,4.1007,4.0093
2020-02-20,4.1051, N/A,4.0276,4.1487,3.9561
2020-02-19,4.0415, N/A,4.5401,4.075,3.9379
2020-02-18,4.5436, N/A,4.4914,4.6022,4.5035
2020-02-17,4.1922, N/A,4.6023,4.3972,4.0343
2020-02-16,4.0919, N/A,4.8099,4.3972,4.0343
2020-02-15,4.8065, N/A,5.2652,4.8655,4.6642
