Date, Close/Last, Volume, Open, High, Low
2020-04-20,171.69, N/A,183.41,173.5,169.85
2020-04-19,183.88, N/A,187.28,184.16,178.9
2020-04-18,187.02, N/A,173.34,188.23,184.82
2020-04-17,172.71, N/A,170.96,173.95,170.61
2020-04-16,171.42, N/A,153.09,173.14,170.19
2020-04-15,153.08, N/A,159.8,153.55,148.91
2020-04-14,160.06, N/A,157.44,160.13,155.94
2020-04-13,157.98, N/A,153.94,158.35,155.52
2020-04-12,152.56, N/A,156.91,158.76,150.6
2020-04-11,155.9, N/A,159.81,159.36,155.75
2020-04-10,159.77, N/A,168.29,160.36,157.75
2020-04-09,163.45, N/A,170.21,170.1,163.22
2020-04-08,170.26, N/A,168.76,173.18,169.87
2020-04-07,172.2, N/A,169.92,172.85,163.73
2020-04-06,170.57, N/A,143.6,175.78,167.58
2020-04-05,144.01, N/A,144.46,144.55,142.55
2020-04-04,143.9, N/A,139.92,145.26,143.44
2020-04-03,140.0, N/A,142.26,142.02,139.36
2020-04-02,141.99, N/A,136.22,142.7,140.42
2020-04-01,135.73, N/A,132.48,137.93,135.26
2020-03-31,132.84, N/A,133.0,133.4,131.27
2020-03-30,132.45, N/A,127.01,134.0,131.14
2020-03-29,126.85, N/A,130.02,127.45,125.02
2020-03-28,130.17, N/A,126.5,131.74,129.26
2020-03-27,126.5, N/A,139.26,132.3,125.48
2020-03-26,139.27, N/A,137.06,140.99,137.95
2020-03-25,136.84, N/A,136.25,137.85,135.32
2020-03-24,136.54, N/A,134.12,141.1,135.35
2020-03-23,134.7, N/A,125.33,136.74,134.39
2020-03-22,125.4, N/A,135.91,125.95,120.2
2020-03-21,135.56, N/A,134.12,135.76,130.75
2020-03-20,133.26, N/A,133.78,137.33,129.92
2020-03-19,133.81, N/A,116.03,138.58,132.74
2020-03-18,116.18, N/A,116.98,119.21,115.61
2020-03-17,116.84, N/A,117.45,117.36,115.24
2020-03-16,117.36, N/A,122.51,120.6,109.67
2020-03-15,122.03, N/A,121.2,124.38,120.77
2020-03-14,121.21, N/A,133.4,123.75,120.93
2020-03-13,133.74, N/A,124.09,134.58,129.72
2020-03-12,124.23, N/A,183.27,137.06,88.5
2020-03-11,182.97, N/A,201.72,195.4,182.95
2020-03-10,201.6, N/A,202.36,202.96,200.1
2020-03-09,202.58, N/A,201.43,204.6,200.13
2020-03-08,200.89, N/A,231.65,206.62,198.25
2020-03-07,231.68, N/A,243.09,237.3,229.75
2020-03-06,243.19, N/A,229.11,245.85,242.39
2020-03-05,229.17, N/A,226.72,230.69,227.71
2020-03-04,224.23, N/A,228.6,228.66,221.74
2020-03-03,227.2, N/A,229.86,228.66,222.66
2020-03-02,229.92, N/A,220.99,232.15,227.76
2020-03-01,221.05, N/A,222.55,221.89,216.23
2020-02-29,222.75, N/A,231.89,225.34,216.48
2020-02-28,231.91, N/A,229.18,232.45,226.79
2020-02-27,230.27, N/A,218.2,234.55,227.0
2020-02-26,218.28, N/A,240.59,224.52,210.36
2020-02-25,240.6, N/A,261.33,250.05,236.8
2020-02-24,261.34, N/A,267.69,266.17,261.08
2020-02-23,267.13, N/A,266.17,276.81,266.08
2020-02-22,266.02, N/A,261.06,267.9,261.24
2020-02-21,260.78, N/A,260.83,266.71,260.75
2020-02-20,260.87, N/A,260.55,263.69,254.15
2020-02-19,260.24, N/A,278.69,264.22,257.67
2020-02-18,278.91, N/A,270.99,282.61,277.7
2020-02-17,248.81, N/A,265.86,261.25,242.11
2020-02-16,245.2, N/A,272.75,261.25,242.11
2020-02-15,271.87, N/A,281.25,273.81,258.89
2020-02-14,282.01, N/A,266.87,287.93,278.59
2020-02-13,267.16, N/A,269.48,269.9,264.84
2020-02-12,269.35, N/A,245.01,274.21,265.23
2020-02-11,245.68, N/A,218.56,247.11,236.73
2020-02-10,218.39, N/A,224.59,223.44,218.22
2020-02-09,224.54, N/A,227.72,229.28,222.59
2020-02-08,228.07, N/A,220.03,228.84,223.07
2020-02-07,220.39, N/A,218.62,224.43,213.75
2020-02-06,219.52, N/A,205.94,220.92,213.14
2020-02-05,205.23, N/A,190.26,206.51,201.29
2020-02-04,189.95, N/A,187.23,190.13,188.26
