Date, Close/Last, Volume, Open, High, Low
2020-04-20,5.1622, N/A,5.5633,5.3011,5.16
2020-04-19,5.5655, N/A,5.6436,5.5931,5.4593
2020-04-18,5.6479, N/A,5.4572,5.6669,5.5828
2020-04-17,5.4919, N/A,5.4141,5.5107,5.3726
2020-04-16,5.4556, N/A,5.014,5.4945,5.4018
2020-04-15,5.0279, N/A,5.3251,5.0997,4.8683
2020-04-14,5.3216, N/A,5.209,5.333,5.1969
2020-04-13,5.2144, N/A,5.0946,5.2269,5.1679
2020-04-12,5.076, N/A,5.2202,5.3104,5.0391
2020-04-11,5.1965, N/A,5.2903,5.2941,5.1915
2020-04-10,5.2898, N/A,5.8103,5.3169,5.2254
2020-04-09,5.7085, N/A,5.8333,5.9121,5.7085
2020-04-08,5.7516, N/A,5.5877,5.9227,5.7494
2020-04-07,5.7281, N/A,5.5608,5.7511,5.4058
2020-04-06,5.56, N/A,5.1037,5.7449,5.5042
2020-04-05,5.1506, N/A,5.1592,5.1772,5.0275
2020-04-04,5.1375, N/A,5.0541,5.1819,5.1289
2020-04-03,5.0602, N/A,5.1406,5.1309,5.0451
2020-04-02,5.1379, N/A,5.0062,5.1544,5.0748
2020-04-01,4.9964, N/A,4.8382,5.0743,4.9821
2020-03-31,4.8514, N/A,4.9528,4.9385,4.8009
2020-03-30,4.9479, N/A,4.8781,5.0116,4.9075
2020-03-29,4.8623, N/A,4.7979,4.9052,4.8029
2020-03-28,4.8301, N/A,4.8052,4.847,4.777
2020-03-27,4.7605, N/A,5.1578,4.9215,4.7028
2020-03-26,5.1468, N/A,5.0328,5.1977,5.0949
2020-03-25,5.0559, N/A,5.0007,5.0849,5.0004
2020-03-24,4.961, N/A,5.142,5.084,4.9449
2020-03-23,5.0773, N/A,4.6405,5.1913,4.9371
2020-03-22,4.8806, N/A,5.1282,4.9531,4.5224
2020-03-21,5.1203, N/A,4.9521,5.1466,4.9681
2020-03-20,4.9347, N/A,5.014,5.0289,4.8072
2020-03-19,5.0157, N/A,4.5095,5.1702,4.9562
2020-03-18,4.5104, N/A,4.6413,4.6514,4.4816
2020-03-17,4.6386, N/A,4.76,4.664,4.5746
2020-03-16,4.7361, N/A,4.9344,4.7816,4.378
2020-03-15,4.9212, N/A,4.6099,5.0586,4.9081
2020-03-14,4.6145, N/A,4.8763,4.6603,4.5487
2020-03-13,4.8965, N/A,3.8923,4.9127,4.6831
2020-03-12,3.9294, N/A,6.3243,4.4259,3.1148
2020-03-11,6.3048, N/A,6.826,6.6142,6.2217
2020-03-10,6.82, N/A,6.818,6.8849,6.7922
2020-03-09,6.835, N/A,6.5381,6.9573,6.7547
2020-03-08,6.5192, N/A,7.5592,6.7368,6.406
2020-03-07,7.5614, N/A,8.0664,7.8057,7.5125
2020-03-06,8.0751, N/A,8.124,8.2205,8.0469
