Date, Close/Last, Volume, Open, High, Low
2020-04-20,7.2247, N/A,7.7456,7.3572,7.1884
2020-04-19,7.7464, N/A,7.9105,7.7672,7.5565
2020-04-18,7.9069, N/A,7.5763,7.9163,7.7778
2020-04-17,7.5865, N/A,7.5407,7.6214,7.4665
2020-04-16,7.5654, N/A,6.9839,7.6715,7.509
2020-04-15,6.9837, N/A,7.3393,7.0135,6.8342
2020-04-14,7.3321, N/A,7.297,7.3394,7.1819
2020-04-13,7.34, N/A,7.1925,7.3495,7.24
2020-04-12,7.1236, N/A,7.2487,7.3763,7.0573
2020-04-11,7.2244, N/A,7.4097,7.3563,7.2111
2020-04-10,7.4136, N/A,7.9124,7.4562,7.2709
2020-04-09,7.7421, N/A,7.9854,8.0385,7.7385
2020-04-08,7.9419, N/A,7.7988,8.1037,7.909
2020-04-07,7.9525, N/A,7.7589,7.977,7.6542
2020-04-06,7.7549, N/A,7.0757,8.008,7.685
2020-04-05,7.0883, N/A,7.1705,7.1186,7.0138
2020-04-04,7.1403, N/A,6.9335,7.241,7.1195
2020-04-03,6.918, N/A,7.0206,7.0637,6.8833
2020-04-02,7.0244, N/A,6.8302,7.0489,6.9366
2020-04-01,6.8536, N/A,6.7258,6.8906,6.7846
2020-03-31,6.7386, N/A,6.6363,6.8107,6.6713
2020-03-30,6.6161, N/A,6.2726,6.6803,6.5765
2020-03-29,6.2925, N/A,6.5305,6.3051,6.1918
2020-03-28,6.576, N/A,6.4655,6.6802,6.5074
2020-03-27,6.2965, N/A,7.086,6.5475,6.2843
2020-03-26,7.0492, N/A,6.8237,7.1538,6.988
2020-03-25,6.8514, N/A,6.7471,6.9787,6.7986
2020-03-24,6.7362, N/A,6.7277,6.9408,6.684
2020-03-23,6.6993, N/A,6.0208,6.7688,6.5346
2020-03-22,6.0932, N/A,6.2884,6.1195,5.8566
2020-03-21,6.364, N/A,6.3372,6.3824,6.129
2020-03-20,6.2094, N/A,6.421,6.4452,6.1427
2020-03-19,6.4286, N/A,5.6962,6.6057,6.4147
2020-03-18,5.7159, N/A,5.6849,5.8135,5.6785
2020-03-17,5.6782, N/A,5.7057,5.6977,5.5935
2020-03-16,5.6771, N/A,5.8205,5.7352,5.3199
2020-03-15,5.8242, N/A,5.7612,5.9951,5.8214
2020-03-14,5.7708, N/A,6.2325,5.8545,5.699
2020-03-13,6.2277, N/A,5.9954,6.2747,6.0083
2020-03-12,6.0318, N/A,8.7791,6.3797,3.9786
2020-03-11,8.7637, N/A,9.9213,9.5547,8.7549
2020-03-10,9.8912, N/A,9.8024,9.9969,9.8111
2020-03-09,9.805, N/A,10.0421,9.962,9.711
2020-03-08,9.9791, N/A,11.3305,10.296,9.8318
2020-03-07,11.3456, N/A,12.3404,11.6013,11.2624
2020-03-06,12.3531, N/A,11.9594,12.411,12.2167
2020-03-05,11.9794, N/A,12.0492,12.1312,11.9222
2020-03-04,11.7779, N/A,11.6949,12.0333,11.506
2020-03-03,11.8895, N/A,11.7574,12.0333,11.506
2020-03-02,11.8064, N/A,11.3584,12.0871,11.6704
2020-03-01,11.3419, N/A,11.6142,11.4345,11.1754
2020-02-29,11.624, N/A,11.481,11.7776,11.0919
2020-02-28,11.4416, N/A,11.3842,11.4876,11.2223
2020-02-27,11.4437, N/A,10.875,11.6521,11.3425
2020-02-26,10.8321, N/A,11.9123,11.0076,10.4083
2020-02-25,11.9286, N/A,13.3212,12.5304,11.6222
2020-02-24,13.3608, N/A,13.815,13.4838,13.1059
2020-02-23,13.8167, N/A,14.0786,14.4157,13.7375
2020-02-22,14.0573, N/A,13.7256,14.1197,13.7071
2020-02-21,13.6949, N/A,14.1351,14.0697,13.6933
2020-02-20,14.144, N/A,14.229,14.3043,13.717
2020-02-19,14.1943, N/A,15.4138,14.3662,13.938
2020-02-18,15.3805, N/A,15.3927,15.5044,15.1187
2020-02-17,13.8038, N/A,15.1484,14.7639,13.4276
2020-02-16,13.7556, N/A,15.7934,14.7639,13.6159
