Date, Close/Last, Volume, Open, High, Low
2020-04-20,1.084, N/A,1.0862,1.0872,1.0825
2020-04-19,1.0859, N/A,1.0876,1.0878,1.0857
2020-04-17,1.0872, N/A,1.0835,1.0892,1.0813
2020-04-16,1.0869, N/A,1.0835,1.088,1.0835
2020-04-15,1.0873, N/A,1.0907,1.0913,1.0873
2020-04-14,1.0978, N/A,1.0979,1.0991,1.0975
2020-04-13,1.0948, N/A,1.0913,1.0967,1.0893
2020-04-12,1.0934, N/A,1.0935,1.0947,1.0925
2020-04-10,1.0937, N/A,1.0927,1.0952,1.0919
2020-04-09,1.0941, N/A,1.0927,1.0944,1.0919
2020-04-08,1.0868, N/A,1.0856,1.088,1.0854
2020-04-07,1.0861, N/A,1.0889,1.0902,1.086
2020-04-06,1.0817, N/A,1.0791,1.0819,1.0784
2020-04-05,1.0818, N/A,1.0808,1.0823,1.0799
2020-04-03,1.0806, N/A,1.0856,1.0863,1.0773
2020-04-02,1.0844, N/A,1.0856,1.0863,1.0834
2020-04-01,1.0937, N/A,1.0962,1.0969,1.0931
2020-03-31,1.102, N/A,1.1029,1.1039,1.1006
2020-03-30,1.1029, N/A,1.1046,1.1055,1.0991
2020-03-29,1.1083, N/A,1.114,1.1144,1.108
2020-03-27,1.1136, N/A,1.1028,1.1147,1.0955
2020-03-26,1.1083, N/A,1.1028,1.1087,1.1023
2020-03-25,1.0915, N/A,1.088,1.0934,1.087
2020-03-24,1.0808, N/A,1.0787,1.0824,1.0761
2020-03-23,1.0802, N/A,1.0721,1.0823,1.0722
2020-03-22,1.0713, N/A,1.0694,1.0731,1.0637
2020-03-20,1.0702, N/A,1.069,1.0832,1.0638
2020-03-19,1.0735, N/A,1.069,1.075,1.0653
2020-03-18,1.0896, N/A,1.0913,1.0981,1.0878
2020-03-17,1.1005, N/A,1.0996,1.1023,1.0985
2020-03-16,1.118, N/A,1.1181,1.1189,1.1159
2020-03-15,1.1126, N/A,1.1105,1.12,1.1077
2020-03-13,1.1107, N/A,1.1183,1.1221,1.1055
2020-03-12,1.1217, N/A,1.1183,1.1217,1.1153
