Date, Close/Last, Volume, Open, High, Low
2020-04-20,1.2403, N/A,1.2435,1.2449,1.2389
2020-04-19,1.2471, N/A,1.2499,1.2504,1.247
2020-04-17,1.2499, N/A,1.2455,1.2522,1.2408
2020-04-16,1.2496, N/A,1.2455,1.2522,1.245
2020-04-15,1.247, N/A,1.2514,1.253,1.247
2020-04-14,1.261, N/A,1.2623,1.2631,1.2605
2020-04-13,1.2561, N/A,1.2507,1.2567,1.2504
2020-04-12,1.2467, N/A,1.2452,1.2473,1.2453
2020-04-10,1.2454, N/A,1.2455,1.2487,1.2446
2020-04-09,1.2464, N/A,1.2455,1.2475,1.2446
2020-04-08,1.2399, N/A,1.2385,1.2419,1.2381
2020-04-07,1.2316, N/A,1.2337,1.2353,1.2312
2020-04-06,1.2266, N/A,1.2229,1.2275,1.2169
2020-04-05,1.2241, N/A,1.226,1.2265,1.221
2020-04-03,1.2269, N/A,1.2392,1.2411,1.2206
2020-04-02,1.2372, N/A,1.2392,1.2411,1.237
2020-04-01,1.2389, N/A,1.2376,1.2409,1.2367
2020-03-31,1.2384, N/A,1.2418,1.2443,1.2364
2020-03-30,1.2348, N/A,1.2416,1.242,1.2255
2020-03-29,1.2379, N/A,1.2456,1.2469,1.2361
2020-03-27,1.2456, N/A,1.2201,1.2486,1.2132
2020-03-26,1.2294, N/A,1.2201,1.2305,1.2132
2020-03-25,1.1865, N/A,1.1885,1.19,1.1778
2020-03-24,1.1808, N/A,1.1757,1.1817,1.1736
2020-03-23,1.1618, N/A,1.1548,1.1659,1.1509
2020-03-22,1.1648, N/A,1.1641,1.1692,1.1533
2020-03-20,1.1646, N/A,1.1485,1.1931,1.1414
2020-03-19,1.1623, N/A,1.1485,1.1662,1.1414
2020-03-18,1.1505, N/A,1.1613,1.1667,1.1475
2020-03-17,1.2125, N/A,1.205,1.2129,1.205
2020-03-16,1.2262, N/A,1.2266,1.2275,1.2233
2020-03-15,1.2358, N/A,1.2276,1.2431,1.2276
2020-03-13,1.2283, N/A,1.2571,1.2625,1.2269
2020-03-12,1.2555, N/A,1.2571,1.26,1.2506
2020-03-11,1.2824, N/A,1.282,1.2851,1.2812
2020-03-10,1.2921, N/A,1.2906,1.2924,1.2869
2020-03-09,1.3058, N/A,1.3131,1.3134,1.3042
2020-03-08,1.3075, N/A,1.3047,1.312,1.3062
2020-03-06,1.3049, N/A,1.2954,1.3057,1.2947
2020-03-05,1.2954, N/A,1.2954,1.2966,1.2947
2020-03-04,1.2809, N/A,1.281,1.2833,1.277
2020-03-03,1.2811, N/A,1.281,1.2832,1.2807
2020-03-02,1.278, N/A,1.275,1.2786,1.274
2020-03-01,1.2826, N/A,1.282,1.2838,1.2792
2020-02-28,1.2816, N/A,1.2884,1.2919,1.2727
2020-02-27,1.2886, N/A,1.2884,1.2899,1.287
2020-02-26,1.2924, N/A,1.2903,1.2928,1.2897
2020-02-25,1.2986, N/A,1.3004,1.3013,1.2982
2020-02-24,1.2938, N/A,1.2927,1.2943,1.2914
2020-02-23,1.2938, N/A,1.2969,1.2955,1.2934
2020-02-21,1.2959, N/A,1.2879,1.2981,1.2878
2020-02-20,1.2893, N/A,1.2879,1.2896,1.2878
2020-02-19,1.291, N/A,1.2919,1.2929,1.2901
2020-02-18,1.3001, N/A,1.2998,1.3006,1.2996
2020-02-17,1.3014, N/A,1.3046,1.3054,1.3011
2020-02-16,1.3045, N/A,1.3046,1.3054,1.3034
2020-02-14,1.3047, N/A,1.3045,1.3063,1.3001
2020-02-13,1.3045, N/A,1.3045,1.3051,1.3037
2020-02-12,1.2951, N/A,1.296,1.2967,1.2951
2020-02-11,1.2959, N/A,1.2951,1.297,1.295
2020-02-10,1.2913, N/A,1.2913,1.2922,1.2911
2020-02-09,1.2902, N/A,1.2891,1.2903,1.2884
2020-02-07,1.2885, N/A,1.2928,1.2959,1.2881
2020-02-06,1.2938, N/A,1.2928,1.2945,1.2926
2020-02-05,1.2984, N/A,1.3,1.3003,1.2982
2020-02-04,1.3021, N/A,1.3029,1.3041,1.3012
2020-02-03,1.3011, N/A,1.2993,1.3014,1.2981
2020-02-02,1.3167, N/A,1.3199,1.3184,1.3156
2020-01-31,1.3205, N/A,1.3094,1.321,1.3084
2020-01-30,1.3098, N/A,1.3094,1.3106,1.3084
2020-01-29,1.3016, N/A,1.302,1.3029,1.3003
2020-01-28,1.3018, N/A,1.3027,1.3031,1.3015
2020-01-27,1.3056, N/A,1.3053,1.3066,1.3051
2020-01-26,1.3062, N/A,1.3076,1.3079,1.3052
2020-01-24,1.3075, N/A,1.3121,1.3164,1.3057
2020-01-23,1.3123, N/A,1.3121,1.3128,1.3113
2020-01-22,1.3125, N/A,1.314,1.3152,1.3124
2020-01-21,1.3039, N/A,1.3047,1.3054,1.3035
2020-01-20,1.3013, N/A,1.3009,1.3015,1.2996
2020-01-19,1.3003, N/A,1.3008,1.301,1.2996
2020-01-17,1.3009, N/A,1.3076,1.3118,1.3007
2020-01-16,1.3072, N/A,1.3076,1.308,1.3064
2020-01-15,1.3049, N/A,1.3036,1.3061,1.3037
2020-01-14,1.3028, N/A,1.3017,1.303,1.3014
2020-01-13,1.2995, N/A,1.2988,1.3002,1.2986
2020-01-12,1.3039, N/A,1.3059,1.3045,1.3032
2020-01-10,1.3064, N/A,1.3065,1.3096,1.3043
2020-01-09,1.3077, N/A,1.3065,1.3082,1.306
2020-01-08,1.3108, N/A,1.3097,1.3115,1.3097
2020-01-07,1.3123, N/A,1.3123,1.3141,1.3106
2020-01-06,1.3171, N/A,1.3167,1.3179,1.3168
2020-01-05,1.3081, N/A,1.3086,1.3091,1.3067
2020-01-03,1.308, N/A,1.3144,1.3161,1.3054
2020-01-02,1.3133, N/A,1.3144,1.3161,1.3124
2020-01-01,1.3213, N/A,1.3254,1.3266,1.3203
2019-12-31,1.3261, N/A,1.3259,1.3282,1.3107
2019-12-30,1.3121, N/A,1.3113,1.3136,1.3108
2019-12-29,1.3113, N/A,1.3076,1.3126,1.307
2019-12-27,1.3096, N/A,1.2992,1.3118,1.297
2019-12-26,1.3007, N/A,1.2992,1.3009,1.297
2019-12-25,1.2986, N/A,1.296,1.2999,1.2952
2019-12-24,1.2956, N/A,1.2944,1.2967,1.2927
2019-12-23,1.2946, N/A,1.2933,1.2948,1.2934
2019-12-22,1.301, N/A,1.3002,1.3017,1.299
2019-12-20,1.3007, N/A,1.3007,1.308,1.2978
2019-12-19,1.302, N/A,1.3007,1.3029,1.3006
2019-12-18,1.3081, N/A,1.3076,1.3091,1.3072
2019-12-17,1.3104, N/A,1.3128,1.3135,1.3072
2019-12-16,1.3298, N/A,1.3329,1.3339,1.3236
2019-12-15,1.3388, N/A,1.3325,1.3398,1.3337
2019-12-13,1.3335, N/A,1.3162,1.3515,1.3162
2019-12-12,1.3462, N/A,1.3162,1.3515,1.3162
