Date, Close/Last, Volume, Open, High, Low
2020-04-20,5.3169, N/A,5.3168,5.3175,5.3169
2020-04-17,5.235, N/A,5.2333,5.275,5.2079
2020-04-16,5.2343, N/A,5.2367,5.2671,5.2015
2020-04-15,5.2385, N/A,5.2367,5.2385,5.2384
2020-04-14,5.1639, N/A,5.1994,5.2116,5.1502
2020-04-13,5.1994, N/A,5.1063,5.208,5.1053
2020-04-10,5.1068, N/A,5.1068,5.1072,5.1068
2020-04-09,5.1062, N/A,5.1233,5.1527,5.0498
2020-04-08,5.1201, N/A,5.2214,5.248,5.1116
2020-04-07,5.2245, N/A,5.2863,5.2862,5.1839
2020-04-06,5.2817, N/A,5.2863,5.2817,5.2816
2020-04-03,5.3513, N/A,5.2533,5.3539,5.2546
2020-04-02,5.2566, N/A,5.2533,5.2566,5.2546
2020-04-01,5.2495, N/A,5.2493,5.2498,5.2495
2020-03-31,5.2061, N/A,5.1936,5.2143,5.169
2020-03-30,5.1943, N/A,5.0997,5.1945,5.101
2020-03-27,5.1, N/A,5.0212,5.1279,5.0221
2020-03-26,5.0235, N/A,5.0212,5.0235,5.0221
2020-03-25,5.035, N/A,5.0353,5.0366,5.0348
2020-03-24,5.0995, N/A,5.0983,5.0995,5.0972
2020-03-23,5.1432, N/A,5.1444,5.1457,5.1432
2020-03-20,5.0637, N/A,5.0957,5.0967,4.983
2020-03-19,5.096, N/A,5.0957,5.0967,5.096
2020-03-18,5.1075, N/A,5.1075,5.1075,5.1075
2020-03-17,5.0112, N/A,5.0084,5.0118,5.0073
2020-03-16,4.9998, N/A,4.858,5.068,4.8595
2020-03-13,4.8596, N/A,4.791,4.881,4.6452
2020-03-12,4.7991, N/A,4.8136,5.028,4.75
2020-03-11,4.8266, N/A,4.6425,4.8274,4.64
2020-03-10,4.6439, N/A,4.7231,4.7246,4.6348
2020-03-09,4.7246, N/A,4.7246,4.7246,4.7246
2020-03-06,4.6282, N/A,4.6073,4.6711,4.6076
2020-03-05,4.6076, N/A,4.5847,4.6665,4.5843
2020-03-04,4.5277, N/A,4.5144,4.5287,4.5036
2020-03-03,4.5139, N/A,4.474,4.5176,4.4535
2020-03-02,4.4739, N/A,4.474,4.4744,4.4739
2020-02-28,4.4771, N/A,4.4861,4.5141,4.4645
2020-02-27,4.4863, N/A,4.4863,4.4863,4.4863
2020-02-26,4.4505, N/A,4.4505,4.4505,4.4505
2020-02-25,4.3883, N/A,4.3883,4.3883,4.3883
2020-02-24,4.3883, N/A,4.3883,4.3883,4.3883
2020-02-21,4.3895, N/A,4.3933,4.4064,4.3717
2020-02-20,4.3939, N/A,4.3933,4.3939,4.3936
2020-02-19,4.3656, N/A,4.3649,4.3656,4.3653
2020-02-18,4.3564, N/A,4.3557,4.3564,4.3559
2020-02-17,4.3122, N/A,4.2974,4.316,4.2969
2020-02-14,4.2976, N/A,4.3498,4.3504,4.2911
2020-02-13,4.3504, N/A,4.3498,4.3504,4.3502
2020-02-12,4.3559, N/A,4.3548,4.3559,4.3552
2020-02-11,4.3319, N/A,4.3316,4.3319,4.3318
2020-02-10,4.3246, N/A,4.3248,4.3251,4.3246
2020-02-07,4.3206, N/A,4.2822,4.3233,4.2793
2020-02-06,4.2824, N/A,4.2822,4.2825,4.2824
2020-02-05,4.2352, N/A,4.2353,4.2357,4.2352
2020-02-04,4.2552, N/A,4.2545,4.2552,4.2547
2020-02-03,4.248, N/A,4.2476,4.248,4.248
2020-01-31,4.2826, N/A,4.243,4.2899,4.2432
2020-01-30,4.2438, N/A,4.243,4.2438,4.2432
2020-01-29,4.2304, N/A,4.2303,4.2306,4.2304
2020-01-28,4.1948, N/A,4.1943,4.1948,4.1945
2020-01-27,4.2077, N/A,4.2077,4.2077,4.2077
2020-01-24,4.1816, N/A,4.1703,4.1913,4.1658
2020-01-23,4.1707, N/A,4.1703,4.1707,4.1707
2020-01-22,4.1829, N/A,4.1829,4.1829,4.1829
2020-01-21,4.2126, N/A,4.1898,4.2158,4.1839
2020-01-20,4.1902, N/A,4.1616,4.192,4.162
2020-01-17,4.162, N/A,4.1847,4.1932,4.1593
2020-01-16,4.1851, N/A,4.1847,4.1851,4.1851
2020-01-15,4.1756, N/A,4.1326,4.1869,4.131
2020-01-14,4.133, N/A,4.1466,4.1613,4.1227
2020-01-13,4.1474, N/A,4.1466,4.1474,4.1468
2020-01-10,4.0961, N/A,4.0925,4.1043,4.0617
2020-01-09,4.0936, N/A,4.0925,4.0936,4.0927
2020-01-08,4.0645, N/A,4.0647,4.0649,4.0645
2020-01-07,4.0676, N/A,4.0676,4.0679,4.0676
2020-01-06,4.062, N/A,4.0616,4.062,4.0618
2020-01-03,4.0657, N/A,4.026,4.0717,4.0251
2020-01-02,4.0251, N/A,4.026,4.0263,4.0251
2020-01-01,4.0195, N/A,4.0195,4.0195,4.0195
2019-12-31,4.0195, N/A,4.0195,4.0195,4.0195
2019-12-30,4.0197, N/A,4.0191,4.0197,4.0195
2019-12-27,4.0456, N/A,4.0557,4.0615,4.0358
2019-12-26,4.0566, N/A,4.0557,4.0566,4.056
2019-12-25,4.0838, N/A,4.0838,4.0838,4.0838
2019-12-24,4.0838, N/A,4.0838,4.0838,4.0838
2019-12-23,4.0835, N/A,4.0835,4.0835,4.0835
2019-12-20,4.1025, N/A,4.0694,4.1025,4.0584
2019-12-19,4.0704, N/A,4.0694,4.0704,4.0697
2019-12-18,4.0633, N/A,4.063,4.0634,4.0633
2019-12-17,4.0719, N/A,4.0719,4.0719,4.0719
2019-12-16,4.0633, N/A,4.0628,4.0633,4.0632
2019-12-13,4.1088, N/A,4.0905,4.117,4.0756
2019-12-12,4.0908, N/A,4.0908,4.0908,4.0908
2019-12-11,4.1242, N/A,4.1238,4.1242,4.1242
2019-12-10,4.1463, N/A,4.1467,4.147,4.1463
2019-12-09,4.1427, N/A,4.1422,4.1427,4.1425
2019-12-06,4.1414, N/A,4.1856,4.1944,4.1345
2019-12-05,4.186, N/A,4.1856,4.186,4.186
2019-12-04,4.2077, N/A,4.2077,4.208,4.2077
2019-12-03,4.2054, N/A,4.2063,4.2066,4.2054
2019-12-02,4.2236, N/A,4.223,4.2236,4.2234
2019-11-29,4.2367, N/A,4.19,4.2458,4.1835
2019-11-28,4.1894, N/A,4.19,4.1902,4.1894
2019-11-27,4.2641, N/A,4.2636,4.2641,4.2638
2019-11-26,4.2332, N/A,4.2266,4.2771,4.2268
2019-11-25,4.2269, N/A,4.2266,4.2269,4.2268
2019-11-22,4.1966, N/A,4.193,4.1998,4.1739
2019-11-21,4.1932, N/A,4.193,4.1932,4.1932
2019-11-20,4.1965, N/A,4.1955,4.1965,4.1965
2019-11-19,4.1945, N/A,4.2177,4.219,4.1871
2019-11-18,4.218, N/A,4.2177,4.218,4.218
2019-11-15,4.1962, N/A,4.1949,4.1962,4.1951
2019-11-14,4.1958, N/A,4.1949,4.1958,4.1951
2019-11-13,4.1698, N/A,4.1702,4.1704,4.1698
2019-11-12,4.1693, N/A,4.1675,4.1693,4.1677
