Date, Close/Last, Volume, Open, High, Low
2020-04-20,1.4161, N/A,1.4145,1.4178,1.4111
2020-04-19,1.4076, N/A,1.3998,1.4079,1.4017
2020-04-17,1.3999, N/A,1.4079,1.4118,1.3998
2020-04-16,1.4037, N/A,1.4079,1.4089,1.4003
2020-04-15,1.4115, N/A,1.4111,1.4137,1.4101
2020-04-14,1.3897, N/A,1.3881,1.3913,1.3874
2020-04-13,1.3867, N/A,1.3902,1.3907,1.3862
2020-04-12,1.3952, N/A,1.3952,1.4002,1.3925
2020-04-10,1.3957, N/A,1.3973,1.4009,1.3946
2020-04-09,1.3974, N/A,1.3973,1.4009,1.3963
2020-04-08,1.4021, N/A,1.4012,1.4036,1.3999
2020-04-07,1.4046, N/A,1.3993,1.4046,1.3986
2020-04-06,1.4102, N/A,1.4109,1.4143,1.4081
2020-04-05,1.4181, N/A,1.4201,1.4262,1.4176
2020-04-03,1.4192, N/A,1.4131,1.4225,1.4093
2020-04-02,1.4159, N/A,1.4131,1.4172,1.4115
2020-04-01,1.4171, N/A,1.4188,1.4196,1.4145
2020-03-31,1.4102, N/A,1.4059,1.4119,1.4061
2020-03-30,1.4175, N/A,1.4169,1.4208,1.4152
2020-03-29,1.4057, N/A,1.3977,1.4083,1.4018
2020-03-27,1.3991, N/A,1.4016,1.4154,1.392
2020-03-26,1.4001, N/A,1.4016,1.4072,1.3998
2020-03-25,1.4244, N/A,1.419,1.4269,1.4185
2020-03-24,1.4391, N/A,1.4459,1.4482,1.4376
2020-03-23,1.4421, N/A,1.4496,1.4534,1.4398
2020-03-22,1.4419, N/A,1.4362,1.4488,1.4348
2020-03-20,1.4341, N/A,1.451,1.4538,1.415
2020-03-19,1.4405, N/A,1.451,1.4538,1.4376
2020-03-18,1.4622, N/A,1.4503,1.4668,1.4423
2020-03-17,1.4206, N/A,1.4199,1.4248,1.4192
2020-03-16,1.3975, N/A,1.4016,1.402,1.3962
2020-03-15,1.3843, N/A,1.3803,1.3884,1.3733
2020-03-13,1.3806, N/A,1.3926,1.3994,1.378
2020-03-12,1.392, N/A,1.3926,1.3949,1.391
2020-03-11,1.3787, N/A,1.3776,1.3821,1.3765
2020-03-10,1.3697, N/A,1.3722,1.3745,1.3693
2020-03-09,1.3634, N/A,1.3701,1.3708,1.3627
2020-03-08,1.3638, N/A,1.3423,1.3758,1.354
2020-03-06,1.3425, N/A,1.3405,1.3439,1.3378
2020-03-05,1.3407, N/A,1.3405,1.3414,1.3385
2020-03-04,1.3347, N/A,1.3385,1.3388,1.3328
2020-03-03,1.3355, N/A,1.3385,1.3388,1.3342
2020-03-02,1.334, N/A,1.3322,1.3352,1.3318
2020-03-01,1.3346, N/A,1.3396,1.344,1.3334
2020-02-28,1.3397, N/A,1.3388,1.3464,1.3376
2020-02-27,1.344, N/A,1.3388,1.3447,1.3376
2020-02-26,1.3342, N/A,1.333,1.3348,1.3325
2020-02-25,1.3279, N/A,1.3277,1.3295,1.3272
2020-02-24,1.3287, N/A,1.3292,1.3297,1.3278
2020-02-23,1.3265, N/A,1.3222,1.3268,1.3245
2020-02-21,1.3224, N/A,1.3259,1.3269,1.32
2020-02-20,1.3252, N/A,1.3259,1.3267,1.3244
2020-02-19,1.3228, N/A,1.3218,1.324,1.3209
2020-02-18,1.3247, N/A,1.3256,1.3261,1.3242
2020-02-17,1.3234, N/A,1.3252,1.3252,1.3224
2020-02-16,1.3237, N/A,1.3252,1.3252,1.3236
2020-02-14,1.3251, N/A,1.3267,1.327,1.3233
2020-02-13,1.3258, N/A,1.3267,1.327,1.3253
2020-02-12,1.325, N/A,1.3249,1.3261,1.3238
2020-02-11,1.3282, N/A,1.3286,1.3296,1.3276
2020-02-10,1.3302, N/A,1.3315,1.332,1.3298
2020-02-09,1.3293, N/A,1.3311,1.3313,1.3291
2020-02-07,1.3306, N/A,1.3284,1.332,1.3278
2020-02-06,1.3289, N/A,1.3284,1.3295,1.3282
2020-02-05,1.3283, N/A,1.3278,1.3289,1.3278
2020-02-04,1.3289, N/A,1.3272,1.3295,1.3273
2020-02-03,1.3291, N/A,1.3284,1.3302,1.3285
2020-02-02,1.3244, N/A,1.3235,1.325,1.3237
2020-01-31,1.3237, N/A,1.3208,1.3254,1.3193
2020-01-30,1.3201, N/A,1.3208,1.3216,1.3193
2020-01-29,1.3203, N/A,1.3196,1.3206,1.3191
2020-01-28,1.3163, N/A,1.3155,1.3166,1.3153
2020-01-27,1.3186, N/A,1.3192,1.3196,1.3182
2020-01-26,1.3159, N/A,1.3142,1.3164,1.3148
2020-01-24,1.3149, N/A,1.3122,1.3153,1.3119
2020-01-23,1.3127, N/A,1.3122,1.3133,1.3122
2020-01-22,1.3167, N/A,1.3134,1.317,1.3131
2020-01-21,1.3085, N/A,1.3067,1.3093,1.3067
2020-01-20,1.3056, N/A,1.3046,1.3062,1.3042
2020-01-19,1.3066, N/A,1.3063,1.307,1.3059
2020-01-17,1.3066, N/A,1.304,1.3075,1.3032
2020-01-16,1.3051, N/A,1.304,1.3053,1.3036
2020-01-15,1.3043, N/A,1.3041,1.3046,1.3033
2020-01-14,1.3058, N/A,1.306,1.3072,1.3054
2020-01-13,1.3058, N/A,1.3056,1.3063,1.3047
2020-01-12,1.3047, N/A,1.305,1.3068,1.3045
2020-01-10,1.3049, N/A,1.3054,1.3076,1.3027
2020-01-09,1.3064, N/A,1.3054,1.3069,1.3051
2020-01-08,1.304, N/A,1.3037,1.304,1.3024
2020-01-07,1.2984, N/A,1.3003,1.3008,1.2978
2020-01-06,1.2966, N/A,1.2963,1.2968,1.2958
2020-01-05,1.2976, N/A,1.2999,1.2991,1.2975
2020-01-03,1.3001, N/A,1.2978,1.3009,1.2959
2020-01-02,1.2992, N/A,1.2978,1.2999,1.2974
2020-01-01,1.2988, N/A,1.2986,1.299,1.2971
2019-12-31,1.2986, N/A,1.2986,1.2992,1.2984
2019-12-30,1.3051, N/A,1.3064,1.3071,1.3043
2019-12-29,1.3068, N/A,1.3076,1.3085,1.3063
2019-12-27,1.307, N/A,1.3121,1.3123,1.3063
2019-12-26,1.3106, N/A,1.3121,1.3123,1.3101
