Date, Close/Last, Volume, Open, High, Low
2020-04-20,0.9706, N/A,0.9677,0.9714,0.9675
2020-04-19,0.9686, N/A,0.9671,0.9688,0.9667
2020-04-17,0.967, N/A,0.9703,0.9725,0.9658
2020-04-16,0.9685, N/A,0.9703,0.9709,0.9675
2020-04-15,0.9677, N/A,0.9644,0.9679,0.9645
2020-04-14,0.9611, N/A,0.96,0.9616,0.9596
2020-04-13,0.9643, N/A,0.9672,0.9683,0.964
2020-04-12,0.9655, N/A,0.9661,0.9669,0.9652
2020-04-10,0.966, N/A,0.9657,0.968,0.964
2020-04-09,0.9655, N/A,0.9657,0.968,0.9653
2020-04-08,0.9715, N/A,0.9717,0.973,0.9705
2020-04-07,0.9726, N/A,0.9692,0.9727,0.9688
2020-04-06,0.9766, N/A,0.9786,0.9794,0.9764
2020-04-05,0.9772, N/A,0.9777,0.9785,0.9761
2020-04-03,0.9774, N/A,0.9736,0.9796,0.9727
2020-04-02,0.9735, N/A,0.9736,0.9754,0.9727
2020-04-01,0.9682, N/A,0.9654,0.9688,0.965
2020-03-31,0.9615, N/A,0.9608,0.9631,0.9602
2020-03-30,0.9597, N/A,0.9583,0.9623,0.9579
2020-03-29,0.954, N/A,0.9512,0.9545,0.9502
2020-03-27,0.9515, N/A,0.963,0.9656,0.9505
2020-03-26,0.9596, N/A,0.963,0.9645,0.9587
2020-03-25,0.9735, N/A,0.9767,0.9778,0.973
2020-03-24,0.9798, N/A,0.9815,0.9837,0.979
2020-03-23,0.9795, N/A,0.9845,0.9851,0.9784
2020-03-22,0.9837, N/A,0.9865,0.9901,0.9819
2020-03-20,0.986, N/A,0.9858,0.9902,0.9744
2020-03-19,0.9807, N/A,0.9858,0.9891,0.98
2020-03-18,0.9707, N/A,0.9678,0.9736,0.9638
2020-03-17,0.9597, N/A,0.9609,0.9619,0.9591
2020-03-16,0.9486, N/A,0.9469,0.95,0.9457
2020-03-15,0.9503, N/A,0.9496,0.9536,0.9443
2020-03-13,0.9498, N/A,0.9437,0.957,0.9422
2020-03-12,0.9432, N/A,0.9437,0.9479,0.9431
2020-03-11,0.9332, N/A,0.9387,0.9407,0.9321
2020-03-10,0.9355, N/A,0.9397,0.9405,0.9353
2020-03-09,0.9318, N/A,0.925,0.9327,0.9245
2020-03-08,0.9265, N/A,0.9372,0.934,0.9192
2020-03-06,0.9374, N/A,0.9453,0.9468,0.9318
2020-03-05,0.9443, N/A,0.9453,0.9468,0.9437
2020-03-04,0.957, N/A,0.956,0.9597,0.9533
2020-03-03,0.9569, N/A,0.956,0.9573,0.9549
2020-03-02,0.9578, N/A,0.9591,0.9598,0.9573
2020-03-01,0.9638, N/A,0.9653,0.9656,0.9619
2020-02-28,0.9656, N/A,0.9676,0.9696,0.961
2020-02-27,0.968, N/A,0.9676,0.9696,0.9675
2020-02-26,0.9737, N/A,0.9767,0.9771,0.9736
2020-02-25,0.9773, N/A,0.976,0.9778,0.9752
2020-02-24,0.9788, N/A,0.9787,0.9806,0.9781
2020-02-23,0.9805, N/A,0.978,0.9809,0.9783
2020-02-21,0.9783, N/A,0.9839,0.9846,0.9771
2020-02-20,0.9833, N/A,0.9839,0.9846,0.9831
2020-02-19,0.984, N/A,0.9837,0.9843,0.9823
2020-02-18,0.9834, N/A,0.9831,0.9837,0.9825
2020-02-17,0.9823, N/A,0.982,0.9828,0.9812
2020-02-16,0.9821, N/A,0.982,0.9828,0.9814
2020-02-14,0.9822, N/A,0.9792,0.9823,0.9788
2020-02-13,0.98, N/A,0.9792,0.9803,0.9788
2020-02-12,0.9781, N/A,0.9781,0.9788,0.9775
2020-02-11,0.9757, N/A,0.9757,0.9762,0.9748
2020-02-10,0.9785, N/A,0.977,0.9785,0.977
2020-02-09,0.9769, N/A,0.9777,0.9783,0.9763
2020-02-07,0.9775, N/A,0.9744,0.9782,0.9739
2020-02-06,0.9745, N/A,0.9744,0.9752,0.9739
2020-02-05,0.9744, N/A,0.9732,0.9746,0.9733
2020-02-04,0.9698, N/A,0.969,0.97,0.9689
2020-02-03,0.9667, N/A,0.9657,0.9674,0.9656
2020-02-02,0.9635, N/A,0.963,0.9648,0.963
2020-01-31,0.9634, N/A,0.9693,0.9714,0.9628
2020-01-30,0.9708, N/A,0.9693,0.9709,0.9692
2020-01-29,0.9725, N/A,0.973,0.974,0.9719
2020-01-28,0.9741, N/A,0.9728,0.9746,0.9726
2020-01-27,0.9706, N/A,0.9694,0.9708,0.9691
2020-01-26,0.9708, N/A,0.971,0.9711,0.9692
2020-01-24,0.9711, N/A,0.9687,0.9719,0.9686
2020-01-23,0.9699, N/A,0.9687,0.9701,0.9686
2020-01-22,0.9682, N/A,0.9677,0.9685,0.9673
2020-01-21,0.9698, N/A,0.9684,0.9702,0.9684
2020-01-20,0.9676, N/A,0.9679,0.9689,0.9671
2020-01-19,0.968, N/A,0.968,0.9685,0.9676
2020-01-17,0.9678, N/A,0.9644,0.9696,0.9645
2020-01-16,0.9655, N/A,0.9644,0.9658,0.9645
2020-01-15,0.9647, N/A,0.9641,0.9647,0.9636
2020-01-14,0.9673, N/A,0.9672,0.968,0.9668
2020-01-13,0.9712, N/A,0.9707,0.9715,0.9701
2020-01-12,0.9728, N/A,0.9723,0.9738,0.972
2020-01-10,0.9727, N/A,0.9731,0.9762,0.972
2020-01-09,0.9731, N/A,0.9731,0.9738,0.9729
2020-01-08,0.974, N/A,0.9737,0.9745,0.9731
2020-01-07,0.9702, N/A,0.9701,0.9713,0.9665
2020-01-06,0.9691, N/A,0.968,0.9694,0.9678
2020-01-05,0.9714, N/A,0.9725,0.9719,0.9703
2020-01-03,0.9724, N/A,0.9712,0.9745,0.9688
2020-01-02,0.9702, N/A,0.9712,0.9718,0.9688
2020-01-01,0.9693, N/A,0.9677,0.9694,0.9668
2019-12-31,0.968, N/A,0.9678,0.968,0.968
2019-12-30,0.9679, N/A,0.9692,0.9698,0.9675
2019-12-29,0.9726, N/A,0.9748,0.9757,0.9719
2019-12-27,0.9735, N/A,0.9812,0.9819,0.9731
2019-12-26,0.98, N/A,0.9812,0.9819,0.9798
2019-12-25,0.981, N/A,0.98,0.9815,0.9795
2019-12-24,0.9811, N/A,0.9801,0.9816,0.98
2019-12-23,0.9825, N/A,0.9817,0.9827,0.9813
2019-12-22,0.9821, N/A,0.9826,0.983,0.9817
2019-12-20,0.9829, N/A,0.9783,0.9833,0.9777
2019-12-19,0.9791, N/A,0.9783,0.9794,0.9777
2019-12-18,0.98, N/A,0.9803,0.981,0.9797
2019-12-17,0.9808, N/A,0.9803,0.9811,0.9798
2019-12-16,0.9829, N/A,0.982,0.9838,0.982
