Date, Close/Last, Volume, Open, High, Low
2020-04-20,76.625, N/A,76.57,76.811,76.575
2020-04-19,76.53, N/A,76.54,76.559,76.455
2020-04-17,76.55, N/A,76.79,76.821,76.254
2020-04-16,76.63, N/A,76.79,76.821,76.53
2020-04-15,76.685, N/A,76.559,76.685,76.55
2020-04-14,76.017, N/A,76.01,76.072,76.007
2020-04-13,76.289, N/A,76.245,76.352,76.249
2020-04-12,76.205, N/A,75.869,76.227,75.879
2020-04-10,75.879, N/A,76.295,76.3,75.847
2020-04-09,75.885, N/A,76.295,76.3,75.86
2020-04-08,76.04, N/A,75.93,76.1,75.945
2020-04-07,75.85, N/A,75.62,75.85,75.625
2020-04-06,75.895, N/A,75.96,75.985,75.863
2020-04-05,76.226, N/A,76.236,76.24,76.185
2020-04-03,76.24, N/A,76.395,76.4,75.795
2020-04-02,76.09, N/A,76.395,76.4,75.95
2020-04-01,76.404, N/A,75.333,76.421,75.32
2020-03-31,75.32, N/A,75.333,75.343,75.32
2020-03-30,75.505, N/A,75.39,75.535,75.375
2020-03-29,75.215, N/A,75.469,75.472,75.125
2020-03-27,75.472, N/A,74.885,75.528,74.365
2020-03-26,74.76, N/A,74.885,74.889,74.625
2020-03-25,75.84, N/A,76.36,76.375,75.82
2020-03-24,76.379, N/A,76.32,76.385,75.946
2020-03-23,76.045, N/A,76.32,76.335,76.005
2020-03-22,76.125, N/A,75.394,76.15,75.37
2020-03-20,75.399, N/A,74.782,75.399,74.715
2020-03-19,74.74, N/A,74.782,74.89,74.715
2020-03-18,74.838, N/A,74.546,75.02,74.55
2020-03-17,74.062, N/A,74.062,74.062,74.062
2020-03-16,74.145, N/A,73.997,74.185,74.003
2020-03-15,74.155, N/A,73.839,74.175,73.84
2020-03-13,73.84, N/A,74.572,74.576,73.734
2020-03-12,74.406, N/A,74.572,74.576,74.36
2020-03-11,74.181, N/A,73.68,74.345,73.682
2020-03-10,73.852, N/A,74.147,74.15,73.776
2020-03-09,74.248, N/A,74.191,74.248,74.195
2020-03-08,73.993, N/A,74.001,74.035,73.931
2020-03-06,74.004, N/A,74.004,74.075,73.507
2020-03-05,73.715, N/A,73.502,74.075,73.507
2020-03-04,73.256, N/A,73.03,73.632,72.903
2020-03-03,73.387, N/A,73.03,73.416,72.903
2020-03-02,72.737, N/A,72.878,72.882,72.435
2020-03-01,72.251, N/A,72.534,72.539,72.041
2020-02-28,72.539, N/A,71.65,72.573,71.655
2020-02-27,71.929, N/A,71.65,71.957,71.655
2020-02-26,71.666, N/A,71.577,71.686,71.58
2020-02-25,71.754, N/A,71.81,71.88,71.735
2020-02-24,71.88, N/A,71.92,71.935,71.802
2020-02-23,71.814, N/A,71.87,71.942,71.811
2020-02-21,71.885, N/A,71.67,72.02,71.66
2020-02-20,71.847, N/A,71.67,71.858,71.66
2020-02-19,71.692, N/A,71.59,71.815,71.6
2020-02-18,71.585, N/A,71.32,71.598,71.34
2020-02-17,71.372, N/A,71.527,71.528,71.26
2020-02-16,71.458, N/A,71.527,71.528,71.39
2020-02-14,71.529, N/A,71.32,71.602,71.285
2020-02-13,71.308, N/A,71.32,71.34,71.285
2020-02-12,71.449, N/A,71.29,71.456,71.306
2020-02-11,71.238, N/A,71.28,71.285,71.204
2020-02-10,71.207, N/A,71.28,71.29,71.195
2020-02-09,71.36, N/A,71.5,71.515,71.32
2020-02-07,71.52, N/A,71.223,71.53,71.201
2020-02-06,71.22, N/A,71.223,71.287,71.201
2020-02-05,71.222, N/A,71.18,71.287,71.18
2020-02-04,71.235, N/A,71.11,71.278,71.11
2020-02-03,71.201, N/A,71.321,71.324,71.177
2020-02-02,71.57, N/A,71.54,71.655,71.525
2020-01-31,71.555, N/A,71.54,71.574,71.281
2020-01-30,71.434, N/A,71.54,71.57,71.412
2020-01-29,71.472, N/A,71.3,71.485,71.31
2020-01-28,71.195, N/A,71.19,71.254,71.18
2020-01-27,71.347, N/A,71.44,71.45,71.335
2020-01-26,71.435, N/A,71.32,71.515,71.33
2020-01-24,71.33, N/A,71.39,71.4,71.215
2020-01-23,71.265, N/A,71.39,71.4,71.252
2020-01-22,71.175, N/A,71.07,71.235,71.08
2020-01-21,71.191, N/A,71.16,71.205,71.127
2020-01-20,71.159, N/A,71.03,71.195,71.04
2020-01-19,71.07, N/A,71.076,71.123,71.045
2020-01-17,71.079, N/A,70.953,71.11,70.942
2020-01-16,70.959, N/A,70.953,71.035,70.942
2020-01-15,70.808, N/A,70.71,70.817,70.72
2020-01-14,70.917, N/A,70.84,71.015,70.85
2020-01-13,70.889, N/A,70.7,70.894,70.71
2020-01-12,70.838, N/A,70.95,70.96,70.797
2020-01-10,70.96, N/A,71.2,71.26,70.853
2020-01-09,71.127, N/A,71.2,71.26,71.062
2020-01-08,71.445, N/A,71.506,71.525,71.377
2020-01-07,72.007, N/A,71.84,72.08,71.845
2020-01-06,71.722, N/A,71.864,71.867,71.689
2020-01-05,72.041, N/A,71.76,72.109,71.77
2020-01-03,71.77, N/A,71.34,71.838,71.35
2020-01-02,71.637, N/A,71.34,71.657,71.35
2020-01-01,71.316, N/A,71.222,71.328,71.228
2019-12-31,71.34, N/A,71.35,71.365,71.285
2019-12-30,71.255, N/A,71.31,71.32,71.237
2019-12-29,71.346, N/A,71.44,71.455,71.295
2019-12-27,71.505, N/A,71.29,71.505,71.175
2019-12-26,71.275, N/A,71.29,71.315,71.233
2019-12-25,71.27, N/A,71.27,71.28,71.225
2019-12-24,71.28, N/A,71.28,71.28,71.28
2019-12-23,71.236, N/A,71.21,71.251,71.19
2019-12-22,71.175, N/A,71.05,71.18,71.06
2019-12-20,71.075, N/A,71.17,71.257,71.037
2019-12-19,71.049, N/A,71.17,71.18,71.037
2019-12-18,70.926, N/A,70.99,71.025,70.922
2019-12-17,71.089, N/A,71.03,71.109,71.025
2019-12-16,70.965, N/A,70.91,71.022,70.915
2019-12-15,70.914, N/A,70.795,70.915,70.755
2019-12-13,70.798, N/A,70.56,70.885,70.525
2019-12-12,70.61, N/A,70.56,70.655,70.525
2019-12-11,70.679, N/A,70.7,70.718,70.638
2019-12-10,70.765, N/A,70.8,70.9,70.754
2019-12-09,70.92, N/A,70.96,71.037,70.915
2019-12-08,71.135, N/A,71.268,71.295,71.105
2019-12-06,71.283, N/A,71.227,71.433,71.193
2019-12-05,71.345, N/A,71.227,71.355,71.24
2019-12-04,71.505, N/A,71.471,71.55,71.474
2019-12-03,71.722, N/A,71.73,71.809,71.528
2019-12-02,71.61, N/A,71.619,71.653,71.578
2019-12-01,71.708, N/A,71.746,71.785,71.662
2019-11-29,71.749, N/A,71.5,71.873,71.24
2019-11-28,71.695, N/A,71.5,71.743,71.24
2019-11-27,71.455, N/A,71.25,71.46,71.24
2019-11-26,71.435, N/A,71.47,71.487,71.405
2019-11-25,71.675, N/A,71.684,71.689,71.675
2019-11-22,71.792, N/A,71.74,71.873,71.658
2019-11-21,71.75, N/A,71.74,71.75,71.75
2019-11-20,71.746, N/A,71.743,71.746,71.746
2019-11-19,71.83, N/A,71.94,72.005,71.62
2019-11-18,71.945, N/A,71.94,71.945,71.945
2019-11-15,71.65, N/A,71.953,71.966,71.597
2019-11-14,71.966, N/A,71.953,71.966,71.966
