Date, Close/Last, Volume, Open, High, Low
2020-04-20,24.076, N/A,24.038,24.177,23.9859
2020-04-19,24.0945, N/A,23.671,24.1025,23.71
2020-04-17,23.7389, N/A,24.001,24.1346,23.615
2020-04-16,23.803, N/A,24.001,24.0385,23.7274
2020-04-15,24.392, N/A,23.974,24.4315,23.9697
2020-04-14,23.449, N/A,23.37,23.4768,23.3725
2020-04-13,23.487, N/A,23.586,23.7171,23.4632
2020-04-12,23.4697, N/A,23.33,23.4953,23.288
2020-04-10,23.37, N/A,23.56,23.7858,23.3375
2020-04-09,23.7326, N/A,23.56,23.7858,23.5637
2020-04-08,24.0117, N/A,24.0075,24.072,23.9566
2020-04-07,24.3813, N/A,24.295,24.433,24.3115
2020-04-06,24.6793, N/A,24.6266,24.6813,24.5434
2020-04-05,25.5502, N/A,24.961,25.6895,25.0125
2020-04-03,24.9765, N/A,24.221,25.046,24.2221
2020-04-02,24.455, N/A,24.221,24.5224,24.2221
2020-04-01,24.205, N/A,24.201,24.305,24.2015
2020-03-31,23.816, N/A,23.714,23.8177,23.6255
2020-03-30,23.88, N/A,23.788,23.9321,23.7564
2020-03-29,23.683, N/A,23.301,23.713,23.5706
2020-03-27,23.362, N/A,22.93,23.62,22.864
2020-03-26,23.198, N/A,22.93,23.4334,22.864
2020-03-25,24.01, N/A,23.931,24.0893,23.9185
2020-03-24,24.817, N/A,24.827,24.9135,24.7541
2020-03-23,25.113, N/A,25.338,25.4475,25.039
2020-03-22,24.744, N/A,24.4215,24.8665,24.415
2020-03-20,24.4138, N/A,24.0225,24.565,23.4881
2020-03-19,23.7515, N/A,24.0225,24.115,23.5785
2020-03-18,24.3422, N/A,23.7064,24.4063,23.6043
2020-03-17,22.9475, N/A,22.9367,23.03,22.9145
2020-03-16,22.555, N/A,22.85,22.895,22.47
2020-03-15,22.037, N/A,21.902,22.0825,21.592
2020-03-13,21.9235, N/A,21.901,22.153,21.36
2020-03-12,22.0435, N/A,21.901,22.153,21.9045
2020-03-11,21.8015, N/A,21.3805,21.8825,21.3516
2020-03-10,20.9145, N/A,20.8435,20.9915,20.7689
2020-03-09,20.646, N/A,20.784,21.002,20.5245
2020-03-08,21.3058, N/A,20.1024,21.69,20.1097
2020-03-06,20.1043, N/A,19.8445,20.385,19.8117
2020-03-05,20.0185, N/A,19.8445,20.083,19.8117
2020-03-04,19.3535, N/A,19.448,19.484,19.1869
2020-03-03,19.3862, N/A,19.448,19.484,19.3634
2020-03-02,19.437, N/A,19.4,19.461,19.354
2020-03-01,19.6645, N/A,19.611,19.8767,19.5798
2020-02-28,19.6155, N/A,19.508,19.8985,19.4567
2020-02-27,19.5238, N/A,19.508,19.5485,19.4567
2020-02-26,19.3995, N/A,19.282,19.4135,19.2658
2020-02-25,19.0995, N/A,19.08,19.1415,19.0654
2020-02-24,19.0222, N/A,19.0599,19.0857,18.9857
2020-02-23,19.0618, N/A,18.8949,19.0929,18.9061
