Date, Close/Last, Volume, Open, High, Low
2020-04-20,12.34,2033779,12.2,12.57,12.0
2020-04-17,12.66,361315,12.5,12.87,12.3701
2020-04-16,12.74,508144,12.85,12.9387,12.3
2020-04-15,12.85,382238,13.14,13.21,12.71
2020-04-14,13.56,333444,13.52,13.7,13.29
2020-04-13,13.59,245229,13.4,13.61,13.35
2020-04-09,12.96,348647,13.13,13.84,12.9
2020-04-08,13.06,266280,12.99,13.3,12.93
2020-04-07,13.01,303645,13.36,13.38,12.78
2020-04-06,13.0889,196356,13.07,13.2,12.84
2020-04-03,13.05,224141,12.96,13.1873,12.51
2020-04-02,12.18,522151,12.12,12.68,11.9
2020-04-01,11.95,314984,12.24,12.3,11.83
2020-03-31,12.27,370250,12.6,12.73,12.18
2020-03-30,12.38,368873,12.2,13.28,11.97
2020-03-27,12.47,133522,12.61,12.61,12.2535
2020-03-26,12.48,210214,14.0,14.59,12.2
2020-03-25,14.7,204598,12.75,14.7,12.25
2020-03-24,13.0,152960,12.6,13.0,12.08
2020-03-23,11.61,145813,12.56,12.56,11.3
2020-03-20,12.56,160235,12.24,12.56,11.4
2020-03-19,12.2393,305307,11.99,12.6,11.78
2020-03-18,11.32,176027,13.0,13.0,11.05
2020-03-17,13.21,128353,13.85,14.0,13.1
2020-03-16,14.1,360134,13.93,14.2,13.1
2020-03-13,14.7,299433,14.35,14.92,13.98
2020-03-12,14.46,229859,14.0,14.54,13.59
2020-03-11,14.34,128723,14.55,14.6653,14.2
2020-03-10,15.25,142321,14.56,15.25,14.25
2020-03-09,13.69,311273,15.35,15.35,13.45
2020-03-06,17.06,46886,17.82,17.82,16.87
2020-03-05,18.43,40133,18.78,18.82,18.32
2020-03-04,18.85,49998,19.15,19.3,18.7
2020-03-03,18.87,53934,19.01,19.31,18.56
2020-03-02,18.9,44701,18.45,18.91,18.3
2020-02-28,18.15,28194,18.09,18.15,17.71
2020-02-27,18.73,28255,18.58,19.02,18.43
2020-02-26,19.31,9099,19.6,19.871,19.19
2020-02-25,19.69,14684,20.2799,20.2799,19.659
2020-02-24,20.33,67994,20.08,20.3901,20.01
2020-02-21,20.93,6911,20.748,20.93,20.711
2020-02-20,21.17,10200,21.22,21.425,21.13
2020-02-19,21.11,13323,21.04,21.2,20.925
2020-02-18,20.78,14856,20.35,20.8035,20.35
2020-02-14,20.76,11732,20.765,20.79,20.611
2020-02-13,20.61,15487,20.56,20.65,20.47
2020-02-12,20.57,3374,20.58,20.59,20.56
2020-02-11,20.13,7868,20.28,20.28,20.04
2020-02-10,19.96,8245,20.03,20.13,19.9
2020-02-07,20.2,30066,20.17,20.34,20.1
2020-02-06,20.37,40452,20.15,20.39,20.05
2020-02-05,20.24,37187,20.24,20.43,20.04
2020-02-04,19.76,39015,20.1255,20.15,19.74
2020-02-03,19.8357,43377,20.16,20.25,19.8
2020-01-31,20.31,26981,20.33,20.46,20.06
2020-01-30,20.5893,26348,20.33,20.5893,20.22
2020-01-29,20.67,11681,20.85,20.85,20.52
2020-01-28,20.75,6812,20.62,20.865,20.6
2020-01-27,20.51,157789,20.47,20.592,20.372
2020-01-24,20.9976,6131,21.13,21.13,20.82
2020-01-23,21.4603,5161,21.31,21.4603,21.23
2020-01-22,21.86,3108,22.0207,22.0207,21.84
2020-01-21,22.3801,9503,22.25,22.5,22.25
