Date, Close/Last, Volume, Open, High, Low
2020-04-20,3.75,875230600,3.76,4.05,3.7
2020-04-17,4.21,250164600,4.15,4.26,4.1
2020-04-16,4.36,241289900,4.4,4.41,4.15
2020-04-15,4.43,219222000,4.43,4.47,4.3
2020-04-14,4.66,191872000,4.755,4.8,4.53
2020-04-13,4.93,125551100,4.965,5.07,4.85
2020-04-09,4.98,303809200,5.4,5.78,4.8
2020-04-08,5.37,168911600,5.08,5.4,4.94
2020-04-07,5.09,187459800,5.46,5.53,4.89
2020-04-06,5.48,162802200,5.62,5.707,5.37
2020-04-03,5.9,225910600,5.7,6.02,5.44
2020-04-02,5.11,321813800,4.58,5.67,4.5
2020-04-01,4.38,119029200,4.24,4.38,4.13
2020-03-31,4.21,125116200,4.37,4.37,4.16
2020-03-30,4.23,164329400,4.21,4.28,4.03
2020-03-27,4.47,122496400,4.515,4.53,4.33
2020-03-26,4.83,125628000,4.9,4.96,4.64
2020-03-25,5.08,98758900,4.89,5.16,4.75
2020-03-24,4.98,85116090,5.06,5.07,4.79
2020-03-23,4.88,72403110,4.77,4.9,4.525
2020-03-20,4.94,146669300,5.275,5.37,4.68
2020-03-19,5.37,130136000,4.79,5.67,4.6
2020-03-18,4.71,190114000,5.06,5.18,4.29
2020-03-17,5.71,68945160,6.04,6.15,5.63
2020-03-16,6.05,76132940,6.09,6.38,5.82
2020-03-13,6.96,78657730,6.89,7.13,6.54
2020-03-12,6.54,93042620,6.44,6.8,6.43
2020-03-11,6.94,65179100,7.02,7.09,6.8386
2020-03-10,7.24,85587040,7.09,7.33,6.855
2020-03-09,6.52,154148500,6.82,7.3,6.5
2020-03-06,8.73,78256430,9.26,9.27,8.6
2020-03-05,9.61,33122550,9.81,9.85,9.55
2020-03-04,9.86,46349750,10.105,10.13,9.76
2020-03-03,9.89,51265970,10.0,10.175,9.7233
2020-03-02,9.92,41386880,9.67,9.92,9.54
2020-02-28,9.45,43000220,9.42,9.5,9.17
2020-02-27,9.78,49865750,9.72,9.99,9.6
2020-02-26,10.19,39463350,10.38,10.55,10.105
2020-02-25,10.4,33073900,10.76,10.775,10.4
2020-02-24,10.74,37552700,10.63,10.805,10.55
2020-02-21,11.16,27045150,11.08,11.205,10.99
2020-02-20,11.28,27381770,11.31,11.425,11.245
2020-02-19,11.18,25100650,11.13,11.23,11.02
2020-02-18,10.95,21426930,10.76,10.95,10.75
2020-02-14,10.95,24456980,10.96,10.99,10.84
2020-02-13,10.84,28876690,10.82,10.9,10.75
2020-02-12,10.81,31416190,10.82,10.86,10.71
2020-02-11,10.5,24936160,10.63,10.64,10.45
2020-02-10,10.42,22607390,10.48,10.56,10.38
2020-02-07,10.58,20887730,10.6,10.72,10.535
2020-02-06,10.74,25998660,10.64,10.77,10.55
2020-02-05,10.7,40714770,10.75,10.89,10.59
2020-02-04,10.44,41515380,10.68,10.7,10.4
2020-02-03,10.49,40468860,10.745,10.8352,10.48
2020-01-31,10.84,32415560,10.88,10.98,10.7
2020-01-30,11.08,29517160,10.93,11.09,10.85
2020-01-29,11.16,21796300,11.28,11.285,11.09
2020-01-28,11.25,24389630,11.16,11.32,11.1114
2020-01-27,11.1,25140750,11.11,11.24,11.02
2020-01-24,11.43,24408240,11.49,11.5,11.31
2020-01-23,11.66,30868240,11.6,11.71,11.5
2020-01-22,11.9,25571670,12.03,12.04,11.875
2020-01-21,12.24,13677060,12.22,12.34,12.21
2020-01-17,12.33,17766100,12.33,12.37,12.24
2020-01-16,12.29,15686460,12.2,12.355,12.195
2020-01-15,12.18,15054070,12.2,12.22,12.05
2020-01-14,12.28,18708610,12.27,12.32,12.2
2020-01-13,12.2,22870660,12.31,12.31,12.16
2020-01-10,12.41,16134020,12.43,12.48,12.335
2020-01-09,12.49,27517380,12.45,12.54,12.29
2020-01-08,12.66,55420480,13.06,13.07,12.39
2020-01-07,13.13,14878480,13.1,13.18,13.01
2020-01-06,13.16,20794310,13.3,13.32,13.12
2020-01-03,13.18,34611320,13.27,13.3163,13.03
2020-01-02,12.81,12499210,12.8,12.85,12.7
2019-12-31,12.81,11605320,12.71,12.955,12.69
2019-12-30,12.89,8971671,13.01,13.02,12.79
2019-12-27,12.91,9103937,12.92,12.96,12.82
2019-12-26,12.89,7053504,12.82,12.94,12.82
2019-12-24,12.77,3453938,12.73,12.79,12.725
2019-12-23,12.7,7453507,12.61,12.72,12.59
2019-12-20,12.63,11435850,12.72,12.72,12.56
2019-12-19,12.78,7676713,12.75,12.85,12.7104
2019-12-18,12.74,11869240,12.66,12.7896,12.62
2019-12-17,12.72,11953430,12.65,12.76,12.65
2019-12-16,12.59,6414720,12.58,12.618,12.56
2019-12-13,12.49,17101090,12.41,12.63,12.39
2019-12-12,12.37,22300400,12.3,12.47,12.3
2019-12-11,12.3,15346630,12.33,12.365,12.14
2019-12-10,12.39,10273580,12.31,12.43,12.27
2019-12-09,12.33,13750510,12.25,12.375,12.25
2019-12-06,12.32,21014580,12.13,12.495,12.12
2019-12-05,12.19,23810050,12.31,12.35,12.145
2019-12-04,12.19,29371220,12.06,12.25,12.05
2019-12-03,11.76,23342800,11.67,11.86,11.59
2019-12-02,11.67,13936130,11.78,11.81,11.62
2019-11-29,11.62,26762340,11.93,11.94,11.5425
2019-11-27,12.14,15076840,12.16,12.22,12.015
2019-11-26,12.19,16454450,12.17,12.23,12.0753
2019-11-25,12.11,18794530,12.03,12.14,11.9699
2019-11-22,12.11,17898330,12.2,12.21,12.01
2019-11-21,12.2,26990980,12.055,12.25,12.035
2019-11-20,11.9,38372800,11.675,11.98,11.6202
2019-11-19,11.57,28855000,11.71,11.74,11.52
2019-11-18,11.9,25071720,11.98,12.01,11.83
2019-11-15,12.08,17641480,11.87,12.13,11.87
2019-11-14,11.91,20385720,12.04,12.06,11.85
2019-11-13,11.96,22521290,11.8,12.02,11.8
2019-11-12,11.87,17394540,11.96,12.02,11.81
2019-11-11,11.89,17849520,11.79,11.975,11.77
2019-11-08,11.99,24070830,11.73,12.0,11.64
2019-11-07,11.88,26066750,11.98,12.08,11.86
2019-11-06,11.81,34027070,11.96,12.0774,11.72
2019-11-05,11.93,16771080,11.92,12.005,11.91
2019-11-04,11.81,24344380,11.93,11.99,11.78
2019-11-01,11.69,26235820,11.45,11.76,11.44
2019-10-31,11.3,22113050,11.39,11.4,11.21
2019-10-30,11.47,23960830,11.57,11.57,11.36
2019-10-29,11.58,17586020,11.435,11.67,11.42
2019-10-28,11.65,18973100,11.84,11.88,11.6
2019-10-25,11.83,16512940,11.71,11.84,11.6068
2019-10-24,11.73,16186650,11.7,11.79,11.6799
2019-10-23,11.65,25899350,11.275,11.7,11.27
2019-10-22,11.34,22258800,11.31,11.44,11.24
2019-10-21,11.21,17652840,11.05,11.22,11.04
