Date, Close/Last, Volume, Open, High, Low
2020-04-21,3159.54,0,3219.47,3228.63,3148.94
2020-04-20,3265.43,0,3265.88,3310.11,3264.12
2020-04-17,3301.3,0,3303.7,3304.06,3250.84
2020-04-16,3230.5,0,3200.58,3239.22,3172.14
2020-04-15,3175.36,0,3162.45,3196.43,3149.43
2020-04-14,3215.69,0,3165.96,3220.6,3162.03
2020-04-13,3105.69,0,3100.39,3110.49,3048.03
2020-04-09,3111.34,0,3105.1,3137.14,3080.11
2020-04-08,3075.94,0,3025.23,3086.98,3002.05
2020-04-07,3001.37,0,3092.2,3103.28,2996.36
2020-04-06,2999.08,0,2914.41,3008.95,2901.95
2020-04-03,2809.62,0,2843.21,2860.59,2779.56
2020-04-02,2845.02,0,2777.55,2859.09,2777.55
2020-04-01,2798.51,0,2827.1,2865.04,2772.61
2020-03-31,2919.71,0,2921.46,2966.7,2902.52
2020-03-30,2943.65,0,2884.18,2950.04,2862.72
2020-03-27,2860.8,0,2871.29,2938.13,2852.73
2020-03-26,2965.04,0,2840.28,2971.18,2840.17
2020-03-25,2822.4,0,2805.36,2928.03,2774.71
2020-03-24,2798.71,0,2709.81,2799.3,2709.42
2020-03-23,2579.34,0,2602.13,2649.36,2524.41
2020-03-20,2601.98,0,2735.17,2790.93,2597.49
2020-03-19,2706.08,0,2670.98,2768.18,2601.36
2020-03-18,2680.27,0,2666.41,2758.36,2544.19
2020-03-17,2846.89,0,2762.48,2885.06,2672.97
2020-03-16,2703.14,0,2874.54,2897.73,2695.43
2020-03-13,3038.55,0,2984.65,3039.31,2811.66
2020-03-12,2838.26,0,2900.03,3013.98,2835.65
2020-03-11,3118.17,0,3172.57,3202.71,3079.03
2020-03-10,3256.62,0,3213.78,3257.02,3093.8
2020-03-09,3121.11,0,3122.85,3217.55,3108.25
2020-03-06,3334.19,0,3259.35,3345.91,3259.17
2020-03-05,3374.85,0,3377.17,3436.96,3348.32
2020-03-04,3472.49,0,3382.9,3472.92,3368.9
2020-03-03,3335.08,0,3404.4,3473.21,3303.73
2020-03-02,3416.2,0,3290.46,3416.27,3260.36
2020-02-28,3277.87,0,3214.11,3282.29,3196.31
2020-02-27,3312.65,0,3385.88,3442.43,3311.1
2020-02-26,3444.39,0,3478.89,3514.94,3436.49
2020-02-25,3454.13,0,3583.56,3587.69,3449.85
2020-02-24,3561.06,0,3579.3,3593.24,3537.02
2020-02-21,3670.35,0,3685.66,3690.59,3655.88
2020-02-20,3699.88,0,3703.46,3719.77,3660.99
2020-02-19,3718.88,0,3705.69,3725.82,3704.65
2020-02-18,3689.3,0,3676.32,3692.76,3670.55
2020-02-14,3673.2,0,3669.62,3674.89,3661.15
2020-02-13,3660.42,0,3644.08,3672.69,3638.48
2020-02-12,3660.39,0,3637.79,3660.76,3635.58
2020-02-11,3619.85,0,3613.12,3628.61,3609.19
2020-02-10,3595.78,0,3577.18,3595.78,3576.64
2020-02-07,3579.29,0,3588.42,3592.72,3573.48
2020-02-06,3609.32,0,3604.01,3616.65,3595.03
2020-02-05,3596.33,0,3610.15,3612.64,3579.1
2020-02-04,3589.4,0,3557.79,3605.82,3550.59
2020-02-03,3501.89,0,3483.04,3515.51,3482.48
2020-01-31,3449.82,0,3490.48,3497.56,3439.45
2020-01-30,3504.72,0,3457.41,3505.94,3456.85
