Date, Close/Last, Volume, Open, High, Low
2020-04-21,10706.44,0,10763.67,10861.79,10667.29
2020-04-20,11003.88,0,11016.88,11181.81,10985.06
2020-04-17,11208.29,0,11101.32,11231.27,11030.42
2020-04-16,10818.03,0,10882.83,10891.68,10718.13
2020-04-15,10843.92,0,10861.97,10903.06,10760.96
2020-04-14,11172.2,0,11151.16,11241.23,11064.63
2020-04-13,10949.53,0,11136.61,11136.61,10817.15
2020-04-09,11136.61,0,11070.32,11272.48,11019.82
2020-04-08,10902.59,0,10641.51,10939.97,10538.65
2020-04-07,10537.04,0,10894.2,10912.56,10534.74
2020-04-06,10515.24,0,10264.13,10560.73,10233.04
2020-04-03,9880.63,0,10012.47,10075.91,9774.24
2020-04-02,10062.37,0,9815.27,10142.01,9813.51
2020-04-01,9844.85,0,9917.31,10029.0,9766.8
2020-03-31,10301.87,0,10387.73,10499.8,10237.22
2020-03-30,10434.74,0,10238.13,10455.77,10131.6
2020-03-27,10187.21,0,10135.73,10449.22,10064.5
2020-03-26,10536.28,0,10060.48,10556.9,10060.48
2020-03-25,9961.38,0,9749.8,10303.9,9591.74
2020-03-24,9658.32,0,9276.64,9672.01,9276.64
2020-03-23,8777.38,0,9014.58,9053.49,8664.94
2020-03-20,9133.16,0,9577.9,9676.94,9108.15
2020-03-19,9461.31,0,9313.76,9622.21,9048.36
2020-03-18,9384.6,0,9562.49,9666.57,8953.6
2020-03-17,10063.36,0,9726.18,10154.16,9484.65
2020-03-16,9567.53,0,10851.98,10851.98,9559.23
2020-03-13,10851.98,0,10445.44,10851.98,10060.35
2020-03-12,10060.76,0,10466.7,10646.92,10054.47
2020-03-11,11177.29,0,11523.94,11523.94,11053.79
2020-03-10,11793.27,0,11635.22,11794.01,11246.52
2020-03-09,11298.43,0,11748.61,11748.61,11240.77
2020-03-06,12352.03,0,12593.03,12593.03,12106.74
2020-03-05,12593.03,0,12740.86,12786.64,12489.77
2020-03-04,13009.96,0,12696.61,13011.45,12673.9
2020-03-03,12542.74,0,12845.06,13015.66,12432.52
2020-03-02,12827.99,0,12441.43,12830.05,12316.18
2020-02-28,12380.97,0,12547.25,12547.25,12024.45
2020-02-27,12547.25,0,12841.4,12977.18,12544.99
2020-02-26,13046.62,0,13194.31,13323.34,13041.94
2020-02-25,13143.73,0,13570.21,13582.74,13110.09
2020-02-24,13534.12,0,13654.0,13654.0,13493.68
2020-02-21,13975.78,0,14014.63,14014.63,13931.13
2020-02-20,14061.48,0,14061.04,14104.92,13955.75
2020-02-19,14087.13,0,14077.51,14115.95,14066.24
2020-02-18,14039.01,0,14047.91,14072.69,13990.7
2020-02-14,14097.34,0,14104.77,14110.19,14046.6
2020-02-13,14099.04,0,14069.25,14132.88,14049.13
2020-02-12,14136.98,0,14117.83,14148.24,14108.52
2020-02-11,14054.08,0,13984.48,14100.27,13984.48
2020-02-10,13984.48,0,13904.02,13984.55,13899.53
2020-02-07,13931.93,0,13987.51,13987.51,13912.04
2020-02-06,14034.95,0,14066.9,14069.33,14023.48
2020-02-05,14024.86,0,13964.0,14029.91,13947.59
2020-02-04,13862.84,0,13826.1,13920.63,13826.1
2020-02-03,13677.92,0,13655.89,13765.33,13655.89
2020-01-31,13614.1,0,13783.81,13788.22,13573.04
2020-01-30,13861.92,0,13745.2,13869.64,13699.81
2020-01-29,13843.81,0,13912.79,13922.44,13843.79
2020-01-28,13877.6,0,13812.65,13913.59,13798.34
2020-01-27,13769.6,0,13746.63,13826.43,13742.01
2020-01-24,13978.47,0,14120.02,14120.02,13920.57
2020-01-23,14102.04,0,14064.28,14109.59,14003.28
2020-01-22,14110.24,0,14147.89,14168.2,14104.06
2020-01-21,14109.98,0,14126.12,14153.02,14102.39
2020-01-17,14183.2,0,14168.14,14183.26,14156.4
2020-01-16,14141.78,0,14103.53,14142.31,14094.88
2020-01-15,14053.23,0,14022.3,14089.94,14021.18
2020-01-14,14037.13,0,14024.23,14068.58,14005.63
2020-01-13,14042.65,0,13980.47,14042.65,13963.87
2020-01-10,13957.97,0,14018.12,14021.65,13941.52
2020-01-09,13997.65,0,13974.07,14004.42,13960.17
