Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
A,"Agilent Technologies, Inc.",77.37,23957725646.0,,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a
AA,Alcoa Corporation,7.45,1385068553.0,,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
AACG,ATA Creativity Global,0.83,9686664.4,11670680.0,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/aacg
AAL,"American Airlines Group, Inc.",11.06,4712209709.0,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal
AAMC,Altisource Asset Management Corp,13.92,22533696.0,,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AAME,Atlantic American Corporation,1.85,37873499.7,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aame
AAN,"Aaron&#39;s,  Inc.",24.71,1649257015.0,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
AAOI,"Applied Optoelectronics, Inc.",8.37,169337111.0,,2013.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",46.38,2414145694.0,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
AAP,Advance Auto Parts Inc,115.4,7972925069.0,,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap
AAPL,Apple Inc.,276.93,1211700000000.0,,1980.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl
AAT,"American Assets Trust, Inc.",25.55,1534743225.0,,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat
AAU,"Almaden Minerals, Ltd.",0.3656,40847288.47,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
AAWW,Atlas Air Worldwide Holdings,24.63,639308816.7,,,Transportation,Transportation Services,https://old.nasdaq.com/symbol/aaww
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,63.03,3504468000.0,,,,,https://old.nasdaq.com/symbol/aaxj
AAXN,"Axon Enterprise, Inc.",76.78,4593306760.0,,,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/aaxn
AB,AllianceBernstein Holding L.P.,20.14,1975574854.0,,,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
ABB,ABB Ltd,17.5,37336269443.0,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,83.99,124026000000.0,,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),89.62,18452018993.0,,,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc
ABCB,Ameris Bancorp,22.15,1535808990.0,,1994.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abcb
ABEO,Abeona Therapeutics Inc.,2.51,209891558.9,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABEV,Ambev S.A.,2.24,35242112795.0,,2013.0,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,54.82,1056850878.0,,2002.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg
ABIO,"ARCA biopharma, Inc.",4.28,6822619.6,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/abio
ABM,ABM Industries Incorporated,30.69,2044899682.0,,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
ABMD,"ABIOMED, Inc.",166.2,7489414923.0,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
ABR,Arbor Realty Trust,6.04,668176461.7,,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,20.74,0.0,,,,,https://old.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,19.7,0.0,,,,,https://old.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,20.7,0.0,,,,,https://old.nasdaq.com/symbol/abr^c
ABT,Abbott Laboratories,98.0,172816000000.0,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABTX,"Allegiance Bancshares, Inc.",22.33,454508571.4,,2015.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx
ABUS,Arbutus Biopharma Corporation,1.24,86930703.44,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abus
AC,"Associated Capital Group, Inc.",35.43,794479414.7,,2015.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac
ACA,"Arcosa, Inc.",39.94,1928266974.0,,2018.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca
ACAD,ACADIA Pharmaceuticals Inc.,49.73,7725041640.0,,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,9.94,379674720.9,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.25,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,0.5,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
ACB,Aurora Cannabis Inc.,0.715,870356542.8,,2018.0,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb
ACBI,"Atlantic Capital Bancshares, Inc.",10.97,235685820.7,,,Finance,Major Banks,https://old.nasdaq.com/symbol/acbi
ACC,American Campus Communities Inc,31.7,4362060970.0,,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc
ACCO,Acco Brands Corporation,5.58,527017702.9,,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ACCP,"Accelerated Pharma, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/accp
ACEL,"Accel Entertainment, Inc.",9.02,705671636.1,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACEL.WS,"Accel Entertainment, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/acel.ws
ACER,Acer Therapeutics Inc.,1.945,19635117.32,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACGL,Arch Capital Group Ltd.,26.7,10898531276.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acgl
ACGLO,Arch Capital Group Ltd.,24.94,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglo
ACGLP,Arch Capital Group Ltd.,24.53,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglp
ACH,Aluminum Corporation of China Limited,5.13,3493052489.0,,2001.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ACHC,"Acadia Healthcare Company, Inc.",23.1,2050803978.0,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACHV,"Achieve Life Sciences, Inc. ",0.38,11914050.32,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACIA,"Acacia Communications, Inc.",68.0,2829414788.0,,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACIU,AC Immune SA,7.62,547568864.2,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIW,"ACI Worldwide, Inc.",25.79,2995002990.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACLS,"Axcelis Technologies, Inc.",21.56,707852530.0,,2000.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acls
ACM,AECOM,32.46,5148894855.0,,2007.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm
ACMR,"ACM Research, Inc.",36.03,653444980.1,,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACN,Accenture plc,174.74,111417000000.0,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACNB,ACNB Corporation,23.8,206343762.8,,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",1.2,57596427.6,,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ACP,Aberdeen Income Credit Strategies Fund,7.57,131960966.7,,2011.0,,,https://old.nasdaq.com/symbol/acp
ACRE,Ares Commercial Real Estate Corporation,6.89,230050265.1,,2012.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre
ACRS,"Aclaris Therapeutics, Inc.",1.14,47342857.08,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACRX,"AcelRx Pharmaceuticals, Inc.",1.42,114184835.5,,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACST,"Acasti Pharma, Inc.",0.58,52321480.42,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
ACT,AdvisorShares Vice ETF,20.95,9427500.0,,,,,https://old.nasdaq.com/symbol/act
ACTG,Acacia Research Corporation,2.53,125423748.1,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ACTT,Act II Global Acquisition Corp.,9.93,372375000.0,,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/actt
ACTTU,Act II Global Acquisition Corp.,10.59,0.0,,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttu
ACTTW,Act II Global Acquisition Corp.,0.699,15203250.0,,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttw
ACU,Acme United Corporation.,21.75,72908827.5,,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ACV,AllianzGI Diversified Income & Convertible Fund,20.06,207592153.7,,2015.0,,,https://old.nasdaq.com/symbol/acv
ACWI,iShares MSCI ACWI Index Fund,66.82,11158940000.0,,,,,https://old.nasdaq.com/symbol/acwi
ACWX,iShares MSCI ACWI ex US Index Fund,38.93,3137758000.0,,,,,https://old.nasdaq.com/symbol/acwx
ACY,AeroCentury Corp.,1.66,2566167.44,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
ADAP,Adaptimmune Therapeutics plc,3.58,297514439.4,83104592.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
ADBE,Adobe Inc.,344.88,166163000000.0,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
ADC,Agree Realty Corporation,61.89,3000232742.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc
ADES,"Advanced Emissions Solutions, Inc.",6.36,116649478.7,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
ADI,"Analog Devices, Inc.",100.91,37157089383.0,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/adi
ADIL,"Adial Pharmaceuticals, Inc",1.4468,15161889.62,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.2994,0.0,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
ADM,Archer-Daniels-Midland Company,36.34,20248931997.0,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm
ADMA,ADMA Biologics Inc,2.8,241766876.4,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
ADMP,Adamis Pharmaceuticals Corporation,0.34,25068977.92,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
ADMS,"Adamas Pharmaceuticals, Inc.",3.51,98325082.44,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADNT,Adient plc,10.75,1008279405.0,,2016.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt
ADP,"Automatic Data Processing, Inc.",139.82,60367879515.0,,,Technology,EDP Services,https://old.nasdaq.com/symbol/adp
ADPT,Adaptive Biotechnologies Corporation,29.54,3731430559.0,,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,35.7994,105608230.0,,,,,https://old.nasdaq.com/symbol/adre
ADRO,"Aduro Biotech, Inc.",3.11,251163929.7,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
ADS,Alliance Data Systems Corporation,36.49,1737931525.0,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
ADSK,"Autodesk, Inc.",177.87,39046275865.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adsk
ADSW,"Advanced Disposal Services, Inc.",32.32,2905678922.0,,2016.0,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw
ADT,ADT Inc.,5.25,4043275971.0,,2018.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt
ADTN,"ADTRAN, Inc.",9.69,465932671.2,,1994.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
ADUS,Addus HomeCare Corporation,79.4,1235405244.0,,2009.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
ADVM,"Adverum Biotechnologies, Inc.",14.06,1120318473.0,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
ADX,"Adams Diversified Equity Fund, Inc.",13.81,1503426368.0,,,,,https://old.nasdaq.com/symbol/adx
ADXN,Addex Therapeutics Ltd,8.5,6550584.5,770657.0,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
ADXS,"Advaxis, Inc.",0.6159,37105383.91,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
AE,"Adams Resources & Energy, Inc.",23.195,98243187.94,,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
AEB,Aegon NV,22.08,0.0,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb
AEE,Ameren Corporation,73.24,18071036410.0,,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",5.46,277104707.9,,,,,https://old.nasdaq.com/symbol/aef
AEFC,Aegon Funding Company LLC,23.33,0.0,,2019.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc
AEG,Aegon NV,2.39,4905589768.0,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg
AEGN,Aegion Corp,14.0,431252192.0,,,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
AEHR,Aehr Test Systems,1.65,37974687.3,,1997.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AEIS,"Advanced Energy Industries, Inc.",51.71,1986683928.0,,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AEL,American Equity Investment Life Holding Company,19.22,1754628492.0,,2003.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael
AEL^A,American Equity Investment Life Holding Company,22.16,0.0,,,,,https://old.nasdaq.com/symbol/ael^a
AEM,Agnico Eagle Mines Limited,53.88,12976722027.0,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem
AEMD,"Aethlon Medical, Inc.",1.5,14047176.0,,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
AEO,"American Eagle Outfitters, Inc.",8.5,1421227736.0,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",82.91,41026582805.0,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep
AEP^B,"American Electric Power Company, Inc.",50.5,0.0,,,,,https://old.nasdaq.com/symbol/aep^b
AER,Aercap Holdings N.V.,22.96,3021156907.0,,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",14.74,684355441.4,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AES,The AES Corporation,12.7,8442555683.0,,,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes
AESE,"Allied Esports Entertainment, Inc.",2.2301,53377155.82,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AEY,"ADDvantage Technologies Group, Inc.",2.37,24749812.83,,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
AEYE,"AudioEye, Inc.",6.65,59029077.45,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aeye
AEZS,AEterna Zentaris Inc.,0.83,16626236.3,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AFB,Alliance National Municipal Income Fund Inc,13.0,373684168.0,,2002.0,,,https://old.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,24.61,196880000.0,,,,,https://old.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",67.16,6034818686.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",25.82,0.0,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",24.25,24202955.0,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
AFGH,"American Financial Group, Inc.",25.64,0.0,,2015.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh
AFH,"Atlas Financial Holdings, Inc.",0.3433,4099967.36,,2013.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afh
AFI,"Armstrong Flooring, Inc.",1.57,33786753.25,,2016.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi
AFIN,"American Finance Trust, Inc.",6.55,710512992.3,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin
AFINP,"American Finance Trust, Inc.",19.0,22800000.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp
AFL,Aflac Incorporated,36.15,26118791087.0,,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl
AFMD,Affimed N.V.,2.24,170750540.8,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
